# x + y
2*(z^(x|(~y|z))) - (~(x&y)&(x^(y^z))) - 3*~(x|(y^z)) - (z^(x&(~y|z))) - 3*(y^~(x&(y|z))) + ~(x&(y^z)) + 3*(~(x^y)|(x^z)) + (z|~(x|~y)), x + y
-(~(x^y)&(x^z)) + 2*(y&(x^z)) + (z^~(~x&(y&z))) - (y^~(~x&(~y|z))) - (z^(x&y)) - (y^(~x&(~y|z))) + ((x&~y)|(x^(y^z))) + 2*((x&y)|~(y|~z)), x + y
-2*((x|~y)&(y^z)) + 3*((x&z)^(y|z)) - 3*~(x&z) - 3*~(x^(~y&z)) + 2*((x&~y)|~(x^(y^z))) + 2*~(x&(y&z)) + 2*~(x^z), x + y
(y^(x|(~y|z))) + 3*(y&(x^z)) - ~x + 2*(y&~(x^z)) + ((x|~y)&(x^(y^z))) - (y|(x^z)), x + y
-2*~(x&(~y|z)) + 3*(y^(x&(y|z))) + 3*(y^(~x&(y|z))) + (z^~(x&(y|z))) - 2*(z^~(x|~y)) + ~(x&(~y&z)) - ((x&y)^(x^(y&z))), x + y
6148914691236517206*(z^(~x|(~y|z))) + 6148914691236517202*((x&y)^~(x^(y&z))) + 6148914691236517205*(z^~(~x&(~y|z))) - 2*((x|~y)&(x^(y^z))) - 3*((x&z)|~(y|z)) + 6148914691236517211*~(~x&(y&z)) + 3*(y&z) + 12297829382473034409*(y^(x&(y^z))), x + y
8126155882273607138*~(~x|(~y|z)) + 14383666132572748047*((y&z)^~(~x&(y^z))) + 14383666132572748047*(~x&(y&z)) - 3*(~x&(~y|z)) + 10320588191435944477*((x&z)^(y|z)) + 8126155882273607140*(y^(x|(~y&z))) + 14383666132572748046*((y&~z)^(x|(y^z))) + 4063077941136803572*(y^~(x|(y&z))), x + y
((x&y)^(y|z)) + 2*(y&(x|~z)) + 2*((x&~y)|~(y^z)) - (z^~(x|(y&z))) - (~x|(~y|z)), x + y
2*~(x^(~y&z)) + (x^y) + 4*~(~x|(y^z)) + 2*(y^~(x|(~y&z))) - 2*((x&z)|~(y|z)) - 2*(~(x|~y)|~(y^z)), x + y
8*~(x|z) - 6*(y^~(~x&(y^z))) + 10*((y&z)^~(~x&(y^z))) - 5*(z^~(x&~y)) - 4*(y^(~x|(~y|z))) - 3*(z^(x|~y)) + 4*((x^y)|(x^z)) + 2*(x&z), x + y
-2*(y&(x^z)) + 2*((y&~z)|~(x|(~y&z))) - 2*(~y|(x^z)) - (x&(y&z)) + ((x&y)|~(y^z)) - ~(x&(y^z)) + 3*(x|z), x + y
-2*(~(x^y)&(x^z)) - 5*~y - 4*(~x&(~y|z)) + 7*((y&~z)^(~x|(y^z))) + 5*(~z|~(x^y)) - 2*(z^~(x|(~y&z))) + (x|~y) - 2*(y|~(x|z)), x + y
(y^~(~x&(~y&z))) - (y^(x|z)) + 2*~(x|~y) - (y^~(~x&(y&z))) + 2*((x|~y)&(x^(y^z))) - 2*(~(x|~y)|~(y^z)) + 2*~(~x&(~y&z)), x + y
6148914691236517205*((x&z)^~(x^(y&z))) + 12297829382473034412*(~x&(y&z)) + 6148914691236517206*((x&y)|~(y|z)) + 12297829382473034412*((x&z)|(y&~z)) + 12297829382473034411*((y&~z)^(x|(y^z))) + 6148914691236517205*(z^~(x|y)), x + y
3537871248949421784*~(x|y) + 7075742497898843568*(y&(x^z)) + 10613613746848265351*~(x^z) + 14908872824760129834*(z^~(x|~y)) + (y&z) + 11371001575810708050*~(~x&(~y&z)) + 11371001575810708047*~(x&~z) + 7075742497898843567*(z|(x^y)), x + y
1169449714664552173*(y^(x|(y|z))) + 8638647179522499721*((x&~y)|(y^z)) - 3*(y&~(x^z)) + 9808096894187051898*(y&(x|~z)) - (y^~(x&(y|z))) + 8638647179522499723*((y&~z)^(x|(y^z))) + (~(x|~y)|~(y^z)), x + y
18073791826416773215*((x|~y)&~(x^(y^z))) + 248634831528518934*((x|y)&~(x^(y^z))) + 18322426657945292149*(y^(x|(~y&z))) - ~(x^(~y|z)) + 18322426657945292151*~(~x&(~y|z)) + 248634831528518934*(x|~z) + 18198109242181032683*(y&z) + 124317415764259467*(z|~(x|y)), x + y
-7*~(y|z) + 2*((x&y)^~(x^(~y|z))) + 2*(y^(x|~z)) - 3*(y^(x&(y|z))) + ~(x&y) + 3*(z^~(x&y)) - 2*(z^~(x|~y)) + (z|~(x|y)), x + y
-(y^(x|z)) - (y^~(~x|(~y&z))) - 2*(z^(x|~y)) - (z^~(~x&(y&z))) + 2*(~y|(x^z)) - 2*(y^~(x&(~y|z))) + (x^(y^z)) + 3*(y|~z), x + y
2*~(~x|(~y|z)) - (y^(x|(y|z))) - (z^~(~x&(y&z))) + ~(x&(y&z)) + (x&(~y|z)) + (y^(x&~z)), x + y
-5*(y^~(~x&(y^z))) + (y^~(~x&(~y|z))) - 6*((y&~z)^(~x|(y^z))) + 6*~(x&y) - 3*(x^(y^z)) + 3*(z^~(x&(y|z))) - ~(~x&(y|z)) + 3*(y^(~x|(~y&z))), x + y
(~z&~(x^y)) - 3*~(x|(~y&z)) + ((x&z)^(y|z)) + (y^~(~x&(~y|z))) + (y^~(~x&(y|z))) - (y^~(~x&(y&z))) + 2*((x&z)^~(x^(~y&z))), x + y
3*((x&y)|~(y|z)) + ((y&~z)|~(~x|(~y&z))) - 2*(z^~(x&(y&z))) - 2*(y^~(x&(y|z))) + (~(x^y)|~(x^z)) + (y|(x^z)), x + y
(y^(x|(y&z))) - 5*~(y|~z) - 2*~(x&(~y|z)) - 3*~(x^(y^z)) + 8*(z^(x&y)) + 5*(z^(~x|(~y&z))) - (y^~(x|~z)) - 2*(y&~(x&~z)), x + y
-2*(z^(~x|(y&z))) + 3*(y^~(~x&(y&z))) + 4*(y&(x|~z)) - 2*(~(x^y)|(x^z)) + ((x&~y)|~(y^z)) - (z|(x^y)), x + y
(y^z) - 2*(z^~(~x&(y&z))) - 3*(~(x|~y)|(y^z)) - (~x|(y^z)) + 4*~(x&(y&z)) - (~(x|y)|(x^(y^z))) + 3*y, x + y
-2*(~(x|y)|(y^z)) + (~x&(y|z)) + ~(x&(y&z)) + 3*x - 2*((y&~z)^(x|(y^z))) + 2*(z^~(x|(~y&z))) - ((x^y)|~(x^z)), x + y
3*~(x|y) - 4*(y^(x|(~y|z))) - 6*~(x&(y|z)) + 7*~(x&y) + 2*((x|y)&(x^(y^z))) + 2*(y|(x^z)) - 2*z, x + y
-(x&~y) - ((x&z)^~(x^(y&z))) - ((x|y)&(x^(y^z))) - (z^~(x&(y&z))) - (x^(~y&z)) + 4*~(~x&(~y|z)) + 2*(~(x|y)|~(y^z)) - ((x&y)^(x^(y&z))), x + y
6148914691236517205*(y^~(~x&(~y&z))) + 12297829382473034410*(y^(x|(~y|z))) + 6148914691236517205*(z^~(x&(~y|z))) + 12297829382473034412*~(~x&(y&z)) + 6148914691236517206*(y^~(~x|(y&z))) + ((y&z)|(x&(y|z))) + 12297829382473034410*z, x + y
-(~(x&y)&~(x^(y^z))) + ((y&z)|(x&(y|z))) + ~(~x&(~y&z)), x + y
-(~(x&y)&(x^(y^z))) + 2*((x&z)^(x^(~y&z))) + 2*(y&(x|~z)) + 2*(y^~(x&(y&z))) - 3*(x|~y) + ((x&y)|~(y^z)), x + y
13893035545259321888*(~x&(~y&z)) + 16169889809484436753*((x^y)&~(x^z)) + 16169889809484436753*((x&y)|~(y|z)) + 2276854264225114864*(x^(y^z)) + 16169889809484436753*(y^(x&~z)) + 16169889809484436752*z + 2276854264225114863*(~x|(~y|z)) + 2276854264225114865*(z|(x&y)), x + y
13097196793912112240*((y&z)^~(~x&(y^z))) + 5349547279797439377*((x^y)&(x^z)) + 2*(x&y) + 5349547279797439376*~(x^y) + 7747649514114672863*((y&z)|(~x&(y|z))) + 5349547279797439377*(z|~(x|~y)) + 13097196793912112239*(z|~(x^y)) + 5349547279797439377*(~x|(y|z)), x + y
2*~(x|z) - 3*~(x|(y^z)) + 3*(z&~(x&y)) - 2*~(x&y) + 2*(z&~(x^y)) - 2*(z^~(x|~y)) - ((x&y)|~(y|~z)) + 3*~(~x&(~y&z)), x + y
((y&~z)|~(~x|(~y&z))) + ((y&z)|(x&(y|z))), x + y
(~z&(x^y)) + (z^~(x&(~y&z))) - ~(x&z) - (~x|(~y&z)) - (x&z) + ((x&z)^~(x^(~y&z))) + 2*(z|(x&y)), x + y
-7*((x|y)&(y^z)) - 8*(z^(x&(~y|z))) + 6*~(x&(y&z)) - 3*((x&z)|~(y|z)) + 2*(z^~(x|~y)) - 3*((x&y)|~(x^(y^z))) + 6*(x|(y&z)), x + y
-5*~(x|(y&z)) - 2*((x^y)&~(x^z)) + (y^~(~x&(y|z))) - 3*((x&~y)|~(x^(y^z))) - 4*(z^~(~x|(~y&z))) + 7*~(x&(y&z)) + 2*((x&y)|~(y|~z)), x + y
-2*(z^(~x|(y|z))) + 5*(y^~(~x&(y^z))) + ~(x|(y^z)) + 8*(x&y) - 2*((x&y)|~(y|z)) - 2*(z^(~x&(y|z))) - 2*~(~x&(y|z)), x + y
5*(x^(y|z)) + 2*((x|~y)&~(y^z)) + 7*(y^~(x&(~y|z))) - 5*~(x^(y&z)) - 3*(y^~(x&(y|z))) + 5*((x&z)|(y&~z)) - ~(x&~z) - 3*(z|(x^y)), x + y
2*(z^~(x&(~y&z))) - 4*(y^~(~x|(~y&z))) - 2*(z^(x|~y)) + 4*(~x&(~y|z)) - (x|~y) + 6*(y|(x&~z)) - 3*~(x&~y), x + y
~(x|(y&z)) - 2*(~y&~(x^z)) + (y^z) - ((x^y)|(x^z)) - (x^(~y&z)) + ~(~x&(y|z)) + 2*(x|(y&z)), x + y
-(x^y) + 2*(x|y), x + y
2*(~z&~(x^y)) - 2*(y^~(~x&(y|z))) - 4*(z^(~x|(~y&z))) + 3*~(x^(~y|z)) - (y&z) + 4*((x&z)^~(x^(~y&z))), x + y
15443271224356935875*(z^(~x|(y|z))) - 9*((x&y)^~(x^(y&z))) + 12439798375004320117*(x&(~y&z)) + 3003472849352615752*(y^z) + 15443271224356935870*(x^(y^z)) + 3003472849352615747*(z^~(x&(y|z))) - 2*(y^(x&(y^z))) + 3*(z|~(x|y)), x + y
(x&(~y&z)) + ((y&z)^~(~x&(y^z))) - (z^~(x&(y&z))) + (z&~(x^y)) + (z^~(x|(~y&z))) + (~(x|~y)|~(y^z)) + 2*(y&(x|z)) - 2*(z|~(x|y)), x + y
12297829382473034408*(~y&~(x^z)) + 12297829382473034411*(y^z) - 2*(z^(x&(y|z))) + (~(x|~y)|~(x^(y^z))) + 12297829382473034411*(y|~(x|z)) + 12297829382473034410*((y&z)|(~x&(y|z))) + 12297829382473034412*(z|~(x^y)) + (x|z), x + y
14757395258967641296*(z^(x|(y|z))) - (y^(x|(y&z))) + 7378697629483820647*~(y|~z) + 3689348814741910322*~(x&z) + 3689348814741910323*(y^~(x&(~y|z))) + 3689348814741910324*(z&~(x&~y)) + 11068046444225730971*(z^~(x|y)), x + y
-9*(z^(x|(~y|z))) + 7*(z^(x&y)) + 8*((y&~z)|~(~x|(~y&z))) - 4*((x&z)^(x^(y&z))) + 4*((x&y)^(x^(~y|z))) + 5*((x^y)|~(x^z)) + (z|(x&~y)) - 12*(z|~(x|~y)), x + y
6148914691236517205*~(x^(~y&z)) + 6148914691236517206*(y^(x&(~y|z))) + 6148914691236517206*((x&y)|~(y|z)) + 6148914691236517206*(z^(~x&(y|z))) + (y&(x|z)) + 6148914691236517205*((x&y)|~(y^z)), x + y
6148914691236517208*(~(x^y)&(x^z)) + 6148914691236517209*(y^~(~x&(~y&z))) + 6148914691236517202*~y + 12297829382473034410*(~(x|y)|(y^z)) + 6148914691236517205*~(x|(~y&z)) + 6148914691236517206*(z^~(x&y)) + 12297829382473034412*(z|~(x|~y)), x + y
6148914691236517207*~z + 12297829382473034410*(z^~(~x&(~y|z))) + ~(x^(y^z)) + 6148914691236517204*((y&~z)^(~x|(y^z))) + 2*(z&~(x&~y)) + 6148914691236517204*(~(x^y)|(x^z)) + 12297829382473034412*(x|z), x + y
18052859384511886483*(x&(~y&z)) + 787769378395330263*(x&~y) + 18052859384511886484*((y&z)^~(~x&(y^z))) + 393884689197665131*((x&z)^(y|z)) - (y^~(x&(~y|z))) + 393884689197665133*~(x^(y|z)) + 18052859384511886486*(x|(y|z)), x + y
-((x&y)^~(x^(y&z))) + (y&~(x&z)) + ((x&y)|~(y|z)) + ((x&y)|(y^z)), x + y
6*~(x|z) - 3*(z^~(x&(~y&z))) + ((x|y)&~(x^(y^z))) + (~(x|y)|~(x^(y^z))) + 2*((x^y)|(x^z)) + 5*~(~x|(~y&z)) + (z^(x&~y)) - 4*~(x&(~y&z)), x + y
6148914691236517205*(z^(x|(y|z))) - 4*(~x&(~y|z)) + 6148914691236517206*~x + 2*(x^(~y|z)) + 6148914691236517205*(y^~(x&(y|z))) + 6148914691236517206*(y^~(x|z)) + 6148914691236517206*(~(x|~y)|(x^(y^z))) + ~(y&~z), x + y
(y^~(~x&(~y&z))) - 3*(z^(~x|(y&z))) - 3*(y^(x|(~y|z))) - 11*(y&(x^z)) + 8*(z^~(~x|(~y&z))) - 2*(x|~y) + 7*(y|~(x|z)) - 3*(z^(x&~y)), x + y
-3*(~(x&y)&(x^(y^z))) - 2*~(x^y) + 3*((x&y)|(x^(y^z))) - (x&z) + (x|~y) + ~(x&~z), x + y
-4*(z^(x|(y&z))) - 2*(y^(~x|(y|z))) - 3*(y^(x|(y|z))) + 7*((x&z)^(x^(~y&z))) - (y^(x&(~y|z))) + 2*~(x&(y^z)), x + y
(y^z) - (y^~(~x|(~y&z))) + (~(x&~y)&~(x^(y^z))) + ~x - 2*(x^(~y|z)) + 2*((x&z)^(x^(y&z))), x + y
-(y^(~x|(~y|z))) + 6148914691236517207*(y^z) + 6148914691236517205*(z^(~x|(~y&z))) + 12297829382473034412*(x&(~y|z)) + 12297829382473034411*(~(x&~y)&~(y^z)) + 6148914691236517207*((x&y)|~(y^z)) + 6148914691236517205*(x|y) + 12297829382473034410*~(y&~z), x + y
-3*(~(x&y)&~(y^z)) + ~(x&y) - (y^(~x&(y|z))) + ((x|y)&~(y^z)) - ~(y^z) + 3*((x&y)|~(y^z)), x + y
-~(x|z) + 15599611184714770077*(y^(~x|(y|z))) + 15599611184714770078*(y&(x|~z)) + 2847132888994781539*~(x^y) + ((x&y)|~(y^z)) + 15599611184714770076*(z&~(x&~y)) + 2847132888994781540*(z|~(x|~y)), x + y
-2*~(x|(~y&z)) - 4*(x&(y&z)) + 2*(y^~(x|(y^z))) + ~(x^(~y|z)) + 3*(y&z), x + y
3*~z + 5*(y^(x|(y&z))) - 4*(y^(~x|(y|z))) + 8*~(x|(y^z)) - 10*((x&y)^(y|~z)) + (y^(x|(y^z))) + 3*~(x&(y^z)) - (x|(y&z)), x + y
-3*~(x|(y|z)) + ~(y|z) + (z^~(x&(~y|z))) + (y^~(x|z)), x + y
(y^~(~x&(y^z))) + 2*(y^z) - 2*~(y&z) + ~(x|(y^z)) + 2*((x&~y)|~(x^(y^z))) - 2*(~y|(x^z)) + 2*(x^(~y&z)), x + y
3*~(x|(y&z)) - 2*(z^~(x&(~y&z))) - 2*(y^~(x|(~y&z))) + ~(x^(y&z)) - ((x&y)|(x^(y^z))) + 3*x + 4*((x&z)^(x^(y&z))) - 3*(z^(x&~y)), x + y
12474375203189458563*(y^~(x&(y^z))) + 11944737741040186103*(y^~(~x&(~y&z))) + 11944737741040186102*~(x&(y|z)) + 5972368870520093053*(z^~(~x&(~y|z))) + 529637462149272462*~(x&y) + 12474375203189458566*((x&y)|~(y|z)) + 5972368870520093052*(y^(~x|(~y&z))), x + y
((x|~y)&(y^z)) + ~(x|(~y&z)) - 2*~x + ~(~x|(~y&z)) - (y^~(x&(~y|z))) + 2*(~x|(y&z)), x + y
5*~(~x|(y&z)) - 2*((x&z)^~(x^(y&z))) + 2*(y^(x&(y|z))) - 2*((x^y)|(x^z)) + 3*(z^(~x|(~y&z))) - 5*~(~x&(y|z)) + 3*(x|~y) + (y^~(x|(y&z))), x + y
5193217918846021440*(z^(x|(y|z))) + 5193217918846021439*(y^(~x|(y|z))) + 8060308236017508736*(y^(x|(~y&z))) + 8060308236017508737*(y^~(x|(~y&z))) - 2*(~(x&~y)&~(y^z)) + 5193217918846021441*(y|(x^z)) + 5193217918846021442*(z^~(x|y)), x + y
-(~(x^y)&(x^z)) - 4*(y^~(~x&(y^z))) + 5*(z^~(x&(~y&z))) + (~x&(~y|z)) - 2*(~y|(x^z)) + 2*(z|(x&~y)), x + y
2*(y^~(~x|(~y&z))) + (z^~(~x&(y&z))) - (z^~(~x&(~y|z))) - ~(x&y) + 2*((x&y)|~(y|~z)), x + y
12012235960490254534*~(x|(y&z)) + 6434508113219297081*(y^~(~x&(~y|z))) + 6434508113219297082*(x^(y^z)) + 12012235960490254534*(z^~(x|(y&z))) + 6434508113219297081*((x&y)|~(x^(y^z))) + 5577727847270957454*(x|(y&z)) + 6434508113219297083*(y|~(x^z)), x + y
10793470391852050866*(y^(~x|(y|z))) + 7653273681857500749*(y^~(x&~z)) + 10793470391852050868*(y&~(x&z)) + 10793470391852050869*(z^~(x|~y)) + 3826636840928750374*(y|~z) + 14620107232780801242*(z&~(x&~y)) + 14620107232780801243*~(~x&(y^z)) + 11479910522786251122*(z|~(x|~y)), x + y
6148914691236517205*(z^(x|y)) + 12297829382473034412*(~z|(x^y)) + 6148914691236517204*(~x|(~y&z)) + 12297829382473034411*((x&z)|(y&~z)) + 6148914691236517206*((x&y)|~(y|~z)) + ((y&z)|(~x&(y|z))), x + y
3*(x&(y^z)) + 3*(~x&(~y|z)) + (x^z) - ((x&z)^(y|z)) - ~(x&y) - (~y|(x^z)) + 3*((x|y)&(x^(y^z))) - (y^~(x&z)), x + y
-(y^(~x|(y&z))) + ~(x^(~y|z)) - 2*((x&y)^(x^(~y|z))) + 3*(y^~(x|(y&z))), x + y
-5*~(y|z) + 3*(~(x&y)&~(x^(y^z))) + 5*((x&y)|~(y|z)) + (~z|~(x^y)) + 2*((x&z)|~(y|z)) - 3*~(x^(y|z)) - (y^(~x|(~y&z))) - 2*~(y^z), x + y
2*(y^(x|(y&z))) - (y^(x&z)) - 4*(y^(x|(~y&z))) + 4*((x^y)|(x^z)) + 3*(y&z) - ((x&z)^(x^(y&z))), x + y
11838905497130270018*(y^(~x|(y|z))) + 6607838576579281596*~y - ~(x^y) + 6607838576579281598*(y^(~x|(~y&z))) + 11838905497130270020*(x|~y) - 1, x + y
-(y&~(x^z)) + 15460701490544078299*((x&z)|~(y|z)) + 2986042583165473319*(z^(~x&(y|z))) + 2*((x&z)^(x^(y&z))) + 2986042583165473316*((x&y)^(x^(y&z))) + 12474658907378604982*(y^(x&(y^z))) + 2986042583165473317*(z^~(x|(y&z))), x + y
(z^(x|(~y&z))) + (y&(x|~z)) + (x&z), x + y
-(~z&(x^y)) + (y^~(x&(~y&z))) - (z^~(~x|(~y&z))) - (z^(x&~y)) + (z^~(~x|(y&z))) + 3*(x|y) - ~(~x&(~y&z)), x + y
-~(~x|(y|z)) - (y^(~x|(~y|z))) + 2*((x&~y)|(y^z)) - (~x|(~y&z)) + ((x&y)|~(y^z)) + (z^~(x|y)), x + y
2*~(x|~z) - (x^y) - 6*~(~x|(y^z)) + 6*((x|y)&(x^(y^z))) + 2*(x|(~y&z)) + 4*((x&y)|~(y^z)) - 4*~(x&(~y&z)), x + y
-(~(x^y)&(x^z)) - ((x&y)^(y|~z)) + 12297829382473034412*((y&~z)|~(x|(~y&z))) + (x^(~y&z)) + 6148914691236517205*((x&z)|~(y|z)) + 6148914691236517206*~(x^(~y|z)) + 6148914691236517206*(x|(y&z)), x + y
17636107067185745874*(z^~(x&~y)) + 17636107067185745876*(y^~(~x|(~y&z))) + 810637006523805742*((x&y)^(y|~z)) + 17636107067185745874*(~x&(~y|z)) - 2*~(x&(y|z)) + 810637006523805742*(~x|(y^z)) + (y^(~x|(~y&z))) + ~(x&(~y&z)), x + y
17874074819089564376*((x|y)&(y^z)) + 12488719134013030157*~(y|~z) + 6530694194316508699*(x^(y|z)) + 5958024939696521458*(y^~(~x&(y&z))) + 12488719134013030158*(x^(y^z)) + 5385355685076534218*(z^(x&~y)) + 6530694194316508700*(x|(y&z)) + 12488719134013030158*(z|~(x^y)), x + y
-((y&z)^~(~x&(y^z))) + (x&(y|z)) - (z^~(x|(y&z))) + 2*~(~x&(~y&z)), x + y
-4*(~(x^y)&(x^z)) - 3*((x&y)^~(x^(~y|z))) - 5*((x&y)^(y|z)) - 7*((x|~y)&~(y^z)) - 8*(y^(~x|(y^z))) + 2*((y&~z)^(x|(y^z))) + 9*~(~x&(y&z)) + 6*(z|~(x|y)), x + y
7905747460161236407*~z + 7905747460161236408*~(~x|(y&z)) + 13176245766935394011*((x|y)&(y^z)) + 15811494920322472815*(y^~(~x|(y^z))) + 10540996613548315209*(~x&(~y|z)) + 7905747460161236405*(x^z) + 15811494920322472814*((y&~z)^(x|(y^z))) + 2635249153387078804*(y^(~x&(y^z))), x + y
(z^(~x|(y|z))) - (~(x|y)|~(x^(y^z))) - (z^~(x&y)) + ~(~x&(y|z)) - (~y|~(x^z)) + (x|~y) + (y^(x&~z)) + (z|~(x|~y)), x + y
-2*(y^~(~x|(~y&z))) + 4*((x|y)&~(x^(y^z))) + ((x|~y)&~(y^z)) + (y^~(x|(~y&z))) + ~(x^(y&z)) + 2*(z^~(~x|(y&z))) + 2*~(x&~z) - 5*(z|~(x^y)), x + y
-4*(~y&(x^z)) + 3*(z^(x|(y&z))) - (~y&~(x^z)) - ~(x^(y^z)) + ((y&~z)^(~x|(y^z))) + (x&(~y|z)) + ((x^y)|~(x^z)), x + y
-2*(~z&(x^y)) + (z^~(~x&(y&z))) - ~(x^(y^z)) + ~(~x&(~y|z)) + (x|y), x + y
12297829382473034412*(x&~z) + (z^(~x|(y|z))) + 12297829382473034410*~y + 1527285822992238812*(x^(~y|z)) + 1527285822992238813*~(~x|(y^z)) + 10770543559480795598*(~(x^y)|(x^z)) + 12297829382473034411*((x&y)|~(x^(y^z))) + 12297829382473034412*z, x + y
12297829382473034411*(z^(x|y)) + 12297829382473034410*((x|~y)&~(x^(y^z))) + ~y + 6148914691236517207*(~(x^y)&~(x^z)) + 6148914691236517207*~(~x|(~y&z)) - 3*(y^~(x&z)) + 6148914691236517206*((x&y)|(y^z)) + (~(x|y)|~(y^z)), x + y
15737053321168434333*(x&~y) + 2709690752541117284*((x&y)^~(x^(~y|z))) + 13027362568627317051*(y&~(x&z)) + 2709690752541117282*~(x^(~y&z)) + 13027362568627317051*(z^(~x&(~y|z))) + 2709690752541117283*~(x^(y|z)) + 2709690752541117284*(y&z), x + y
15596455759858983720*((x^y)&~(x^z)) - ~(x|(y^z)) + (y^(x&(~y|z))) + ((x&y)|~(y|z)) + (y^(~x&(y|z))) - (x|(y^z)) + 15596455759858983720*(y&z) + 2850288313850567897*(y^(x&(y^z))), x + y
12297829382473034411*(~(x&y)&(y^z)) + 12297829382473034413*(x&y) - ~(x^y) + 12297829382473034410*(z^(~x&(y|z))) + 12297829382473034411*~(~x&(~y|z)) + 12297829382473034411*(y|~(x^z)) + 6148914691236517206*(~x|(~y|z)), x + y
6148914691236517205*~(x|z) + 6148914691236517206*(~(x&y)&(x^(y^z))) + 2*((y&z)^~(~x&(y^z))) + 12297829382473034405*~(x|~z) + 6148914691236517206*~(x&y) + 6148914691236517203*((x|~y)&~(y^z)) + 12297829382473034409*(z&(x|~y)) + 6*(z&~(x&~y)), x + y
2*((x&z)^(x^(~y&z))) - ~(x|(~y&z)) + 12297829382473034410*(z^(x&(~y|z))) + 6148914691236517207*~x + 12297829382473034409*(y^(x|(~y&z))) + 6148914691236517204*(~(x|y)|(x^(y^z))) + 6148914691236517206*~(x^z) + 6148914691236517208*(y^(x&~z)), x + y
(x&~z) - (z^~(~x&(~y&z))) + ((y&z)^~(~x&(y^z))) + (y&(x|~z)) + ((y&z)|(~x&(y|z))), x + y
-5*(~(x&y)&~(y^z)) + 2*(z^~(x&y)) - 4*(y^~(x&(~y|z))) - 3*(x^(y^z)) + ~(x^(~y|z)) - (y^(x&~z)) + 5*(~(x|y)|~(y^z)) + 2*~(x&(~y&z)), x + y
5*(y&~z) - 4*((x&y)^~(x^(y&z))) - 2*((x&y)^~(x^(~y|z))) + 2*~(x^(~y&z)) - 2*((x|~y)&~(y^z)) + 4*(y^~(x&(y|z))) + ~(x^(~y|z)) - y, x + y
-2*(z^(~x|(~y|z))) + 3*~z + 2*(~x&(y&z)) - (y^~(~x&(y&z))) - (y^(x|(~y&z))) - (x^(~y&z)) + 2*((y&~z)^(x|(y^z))) + (z|(x^y)), x + y
4*~(x|z) - (y^~(x&(y^z))) + 8*((x|~y)&(y^z)) - 4*((x&z)^(x^(~y&z))) - 3*(x^z) + 2*(~z|(x^y)) + 7*((x|y)&~(y^z)) - 5*(z^~(x|(y&z))), x + y
-(z^~(~x&(~y&z))) + (~z|~(x^y)) - (y^~(~x|(y&z))) + 2*(x|y), x + y
10851962383945938466*(y^(~x|(y|z))) + 10851962383945938464*(z^(x|(~y&z))) + 10851962383945938467*((y&~z)|~(x|(~y&z))) + 7594781689763613150*(z^~(~x&(y&z))) + 10851962383945938466*(z^(x&(~y|z))) + 7594781689763613151*(x^z) + 7594781689763613149*((y&~z)^(~x|(y^z))) + 2*(x|(y&z)), x + y
12297829382473034409*(y^(x|(~y|z))) + 6148914691236517204*((x^y)&(x^z)) + 12297829382473034410*((x&y)^(y|~z)) + (y^(x&(y|z))) + 2*(z^(x&y)) + 12297829382473034413*((x|y)&(x^(y^z))) + 12297829382473034408*(z&(x|~y)) + 12297829382473034413*(y^~(x&(y&z))), x + y
11008709280150499791*(y^~(~x|(~y&z))) + 7438034793559051827*~(x&(y|z)) - 5*(x^y) + 2*(~x|(y^z)) + 7438034793559051827*(y&~(x&~z)) + 11008709280150499787*(~x|(y&z)) + 4*(y^~(~x|(y&z))), x + y
6148914691236517208*(x&~z) + 6148914691236517206*(y^~(~x&(y|z))) + (z^(x&y)) + 6148914691236517203*(~y|(x^z)) + 12297829382473034411*((x&z)|(y&~z)) + 12297829382473034411*(y^~(x|z)) + 12297829382473034412*(z|~(x|y)), x + y
11068046444225730969*(z^(x|(y&z))) + 7378697629483820646*(~(x&y)&(y^z)) + 14757395258967641293*((x&y)^(y|~z)) - (y^~(~x&(y&z))) + 11068046444225730969*(~(x&~y)&(x^(y^z))) + 14757395258967641293*~(x^y) + 7378697629483820647*(x|~y) + 3689348814741910325*(x|(y|z)), x + y
-3*~z + 11*((x&z)^(x^(~y&z))) - (z^(x&(y|z))) - 5*(~y|(x^z)) - 5*(z^~(x|~y)) - 10*((x|y)&~(y^z)) + 8*~(y^z) + 9*(y&~(x&~z)), x + y
4*(z^(~x|(~y|z))) + 4*(~x&(y^z)) - 6*((y&z)^~(x&(y^z))) - 2*(y^(~x|(y|z))) - (x^y) + 2*(y^~(~x&(y&z))) + 2*(x|~y), x + y
-3*~(y|z) + 3*(~z&(x^y)) - 3*(z^(~x|(y|z))) + (z^~(x&y)) - 4*((y&~z)^(x|(y^z))) + 4*(x|~y) + ((x&y)|~(x^(y^z))), x + y
-2*(z^(~x|(y&z))) + 3*(z^~(x&~y)) - ~(y&z) + ((x&y)^(y|z)) + 2*((x|y)&(x^(y^z))) + 2*(x|(~y|z)) + 2, x + y
3*~(~x|(y|z)) - ((y&z)^~(x&(y^z))) + 2*(y^(~x|(y&z))) - ~(x^(y^z)) + (y|~(x|z)) - ~(x&(y^z)) + 2*(y^(x&(y^z))), x + y
-3*(~(x&y)&(y^z)) + (y^(x|z)) - (~x&(y&z)) - (y^(~x&(y^z))) + 3*(y|z), x + y
