# x + y
2*~(x|~y) - (x^y) + 2*x, x + y
13368364212376386491*~(x|y) + 13368364212376386492*x + 5078379861333165125*(x|~y) + y, x + y
2304159449208169743*(x^y) + 17294664349105466744*~(x&y) + 1152079724604084872*~(x^y) + 17294664349105466746*(x|y), x + y
-2*~(x|y) + (x&~y) + ~(x^y) + ~(x&~y), x + y
-~(x|~y) - ~x + ~(x&y) + 2*y, x + y
14699415491708651182*~x + (x^y) + 14699415491708651184*(x&y) + 3747328582000900434*~(x&~y), x + y
14391852602200685755*(x^y) + 14391852602200685756*~(x^y) + 2*(x|y) + 14391852602200685756, x + y
12010399419880437298*(x&~y) + 12010399419880437298*~(x|~y) + 6436344653829114319*(x^y) + 2*(x&y), x + y
-~(x|y) + 2*~(x|~y) - ~(x&y) + 2*(x|~y), x + y
(x^y) + 2*(x|~y) + 2*y + 2, x + y
6148914691236517205*~y + 6148914691236517205*~x + 6148914691236517206*~(x^y) + 12297829382473034412*(x|y), x + y
6720965192852256314*(x&~y) + 6720965192852256314*~(x|~y) + 6720965192852256315*(x&y) + 11725778880857295303*(x|y), x + y
2*(x&~y) - 3*~y + ~x + 2*(x|~y), x + y
8941238505016192550*(x&~y) + 8941238505016192552*~(x|~y) + 9505505568693359065*(x^y) + 2*x, x + y
-3*~x + ~(x&y) - ~(x^y) + 3*~(x&~y), x + y
1514330097237941623*~(x&y) + 1514330097237941624*(x&y) + (x|y) + 1514330097237941623, x + y
~y - 3*~x - 2*~(x^y) + 4*~(x&~y), x + y
-~(x|y) - ~(x|~y) + ~(x&~y) + (x|y), x + y
~(x|y) - 2*~x + ~(x&y) + 2*y, x + y
340403807097239110*(x^y) + 340403807097239111*(x&y) + 18106340266612312507*(x|y), x + y
-2*~(x|y) - ~y + ~x + 2*(x|~y), x + y
2*(x&~y) - 2*~y + (x|~y) + ~(x&~y), x + y
~y + 2*~(x|~y) - ~x + 2*(x&y), x + y
8657697900990725741*(x^y) + 8657697900990725742*(x&y) + 9789046172718825876*(x|y), x + y
3*(x&~y) - 2*~y + ~(x|~y) + 2*~(x^y), x + y
14061928005169240190*(x&~y) + ~(x|~y) + 14061928005169240191*(x&y) + 4384816068540311427*x, x + y
-2*~y - (x^y) - 2*~(x&~y) - 4, x + y
-3*~(x|y) + (x&~y) + ~x + 2*~(x^y), x + y
-~(x&y) + y - ~(x&~y) - 2, x + y
~x + 2*(x&y) - ~(x^y) + x, x + y
8728303760049535351*~(x|y) + 8728303760049535354*(x^y) + 9718440313660016263*~(x&y) + 2*~(x^y), x + y
9624351602838384461*(x^y) + 8822392470871167156*~(x&y) + 8822392470871167158*(x&y) + 9624351602838384460*~(x^y), x + y
2629900277267960633*(x^y) + 2629900277267960634*~(x^y) + 2*(x|y) + 2629900277267960634, x + y
-2*~(x|y) + ~y + ~(x^y) + y, x + y
17563924388177062263*(x&y) + 882819685532489354*x + 882819685532489354*y + 17563924388177062263*(x|y), x + y
-2*~x + ~(x^y) - 2*(x|~y) - 3, x + y
3919846723638559539*(x^y) + 3919846723638559540*(x&y) + 14526897350070992078*(x|y), x + y
17087181997270751151*~y + x + 17087181997270751152*y + 17087181997270751151, x + y
5754897484949576071*~(x|~y) + 12691846588759975544*(x^y) + 12691846588759975545*y + 5754897484949576073*(x|y), x + y
7264929641017495102*~(x|y) + (x&y) + 7264929641017495103*(x|y) + 7264929641017495102, x + y
3560562778221213709*~(x|y) + (x|~y) + 3560562778221213711*y + 14886181295488337906*~(x&~y), x + y
-2*~(x|~y) - ~(x^y) + 2*y - 1, x + y
-~(x|y) - (x&~y) + (x|~y) + (x|y), x + y
-~y - ~(x^y) + 2*(x|~y) + y, x + y
-2*~y - 2*~(x|~y) + (x^y) - 2, x + y
-2*(x&~y) + ~x - ~(x^y) + 3*x, x + y
11642751786889253304*(x&~y) - (x^y) + 11642751786889253304*y + 6803992286820298314*(x|y), x + y
12297829382473034410*~x + 12297829382473034411*(x^y) + 6148914691236517206*(x|~y) + 12297829382473034412*y, x + y
12981741747219606172*~(x|y) + 12981741747219606173*(x^y) + 5465002326489945442*~(x&y) - 2, x + y
14241560380578216412*~(x|y) + ~(x&y) + 14241560380578216415*(x&y) + 4205183693131335203*~(x^y), x + y
-2*~y - 2*~(x^y) + 3*(x|~y) + ~(x&~y), x + y
3959620767460692081*(x^y) + 14487123306248859534*~(x&y) + 14487123306248859536*(x|y) + 14487123306248859534, x + y
11638650968737960399*~y + 6808093104971591216*(x^y) + 6808093104971591217*(x|~y) + 11638650968737960401*(x|y), x + y
16373510635021133094*~(x|~y) + 2073233438688418523*(x^y) + 2073233438688418524*(x&y) + 16373510635021133094*x, x + y
2*~y - ~(x&y) + 3*y - ~(x&~y), x + y
11389077333985761049*(x^y) + 2*(x&y) + 11389077333985761048*~(x^y) + 11389077333985761048, x + y
2*~(x|y) - 2*~x + (x^y) + 2*y, x + y
13984799590788446803*(x^y) + 13984799590788446804*(x&y) + 4461944482921104814*(x|y), x + y
-~(x|y) - (x&~y) + ~x + 2*x, x + y
2*~y - (x^y) + 4*y - 2*~(x&~y), x + y
~(x|~y) - ~x - ~(x&y) - 2, x + y
-2*~(x|y) - (x&~y) - ~(x|~y) - 2, x + y
-2*~(x|y) + 2*~(x|~y) - (x^y) + 2*(x|~y), x + y
14304710943698559404*(x&~y) + 4142033130010992212*~(x|~y) + 4142033130010992213*x + 14304710943698559405*y, x + y
6152737379067217722*(x^y) + 6152737379067217723*(x&y) + 12294006694642333895*(x|y), x + y
17354933752679492694*(x^y) + 1091810321030058921*~(x&y) + 1091810321030058923*(x|y) + 1091810321030058921, x + y
12211704765165294497*~(x|y) + 12211704765165294496*(x^y) + 6235039308544257119*~(x&y) + 2*(x|y), x + y
(x&~y) - 2*~(x&y) - (x|~y) - 3, x + y
17836616034891134869*~(x|y) + 17836616034891134870*(x&y) + 610128038818416747*~(x^y) + (x|y), x + y
(x&~y) - 2*~x - ~(x^y) + 3*~(x&~y), x + y
7571116166517626342*(x^y) + 7571116166517626343*(x&y) + 10875627907191925275*(x|y), x + y
5531994775598129893*(x^y) + 12914749298111421724*~(x&y) + 12914749298111421726*(x&y) + 5531994775598129892*~(x^y), x + y
(x&~y) + 2363650194004809204*~(x|~y) + 2363650194004809205*(x&y) + 16083093879704742413*y, x + y
3*(x&~y) + 3*~(x|~y) - 2*~(x&y) + 2*~(x^y), x + y
10809760274225372995*(x&~y) + 7636983799484178621*~(x|~y) + 7636983799484178622*x + 10809760274225372996*y, x + y
~y + 2*~(x|~y) - 3*~x + 2*~(x&~y), x + y
4*(x&~y) - 3*~y + ~x + 2*~(x^y), x + y
-2*~y - ~(x^y) + 2*(x|~y) - 1, x + y
10088421991417409986*~(x|~y) + 10088421991417409986*(x&y) + x + 8358322082292141631*y, x + y
2*~y + 3*(x^y) - 4*~(x&y) + 2*~(x&~y), x + y
7759790048555678283*(x&~y) + 7759790048555678283*~(x|~y) + 7759790048555678284*(x&y) + 10686954025153873334*(x|y), x + y
321846659349055633*~(x&y) + 321846659349055634*~(x^y) + 321846659349055635*(x|y) + 643693318698111267, x + y
~(x|~y) + ~(x&y) + 3*(x&y) - ~(x&~y), x + y
-~(x|y) - 2*~y + ~(x&y) + 2*(x|~y), x + y
16118140976113189123*(x^y) + 1164301548798181246*~(x&y) + 17282442524911370370*~(x^y) + 1164301548798181248*(x|y), x + y
-~(x&y) + x - (x|~y) - 2, x + y
-3*~(x|y) - 2*(x&~y) + ~(x&y) + 2*(x|~y), x + y
-~(x|y) + 17281628207900842924*~(x&y) + 17281628207900842925*(x&y) + 17281628207900842923, x + y
-2*~(x|y) + ~y + ~x + 2*(x&y), x + y
5077123922579737852*~(x|~y) - (x^y) + 5077123922579737852*x + 13369620151129813766*(x|y), x + y
8995075130814850731*(x^y) + 8995075130814850732*(x&y) + 9451668942894700886*(x|y), x + y
500744463825370271*~y + 500744463825370272*(x&y) + 17945999609884181345*(x|~y) + (x|y), x + y
6638514511856438786*(x&~y) - ~(x|~y) + 6638514511856438787*y + 11808229561853112831*(x|y), x + y
(x&~y) - ~y + (x|~y) + y, x + y
-2*~(x|y) + 2*~x - (x^y) + 2*x, x + y
12171011500753671599*x + 6275732572955880018*(x|~y) + 6275732572955880019*y + 12171011500753671598*~(x&~y), x + y
10745626758159427864*~x + 7701117315550123751*(x^y) + 7701117315550123752*~(x&~y) + 10745626758159427866*(x|y), x + y
18267238117495452522*(x^y) + 179505956214099095*~(x&y) + 179505956214099097*(x&y) + 18267238117495452521*~(x^y), x + y
10257072588900087439*(x&~y) + 8189671484809464177*~(x|~y) + 8189671484809464178*x + 10257072588900087440*y, x + y
7581255790545983837*(x^y) + 10865488283163567780*~(x&y) + 10865488283163567782*(x&y) + 7581255790545983836*~(x^y), x + y
~(x&y) + 2*~(x^y) + 3*y - 3*~(x&~y), x + y
-~x - ~(x&y) - (x|~y) - 3, x + y
2883440249341288530*~(x&y) + 5766880498682577061*(x&y) + 15563303824368263086*~(x^y) + 15563303824368263087*(x|y), x + y
8581982140169303981*(x^y) + 8581982140169303982*(x&y) + 9864761933540247636*(x|y), x + y
~y + ~x + 4*(x&y) - 2*~(x^y), x + y
5979035469027737105*~(x|y) + x + 5979035469027737106*y + 12467708604681814511*~(x&~y), x + y
-~y + 8449306814201811601*~x + 8449306814201811602*x + 8449306814201811600, x + y
17785734509114516345*(x&~y) + 17785734509114516345*(x&y) + 661009564595035272*x + y, x + y
8562285701567209190*~(x|y) + 8562285701567209191*x + 9884458372142342426*(x|~y) + y, x + y
11392629550531200672*(x&~y) - ~(x|~y) + 11392629550531200673*y + 7054114523178350945*(x|y), x + y
~y + 2*~(x|~y) + 3*(x&y) - ~(x&~y), x + y
2787691591296193978*~(x|y) + (x^y) + 2787691591296193980*(x&y) + 15659052482413357638*~(x^y), x + y
14784611482208023303*~y + 3662132591501528313*~x + 3662132591501528314*x + 14784611482208023304*y, x + y
8639194586116911255*~y + x + 8639194586116911256*y + 8639194586116911255, x + y
3*~x - 2*~(x&y) - ~(x^y) + 3*x, x + y
5435341402922922653*~(x|y) + 5435341402922922652*(x^y) + 13011402670786628963*~(x&y) + 2*(x|y), x + y
8216521209120615725*(x^y) + 5115111432294467945*~(x&y) + 13331632641415083671*~(x^y) + 5115111432294467947*(x|y), x + y
3*~(x|~y) - 3*~x + ~(x&y) + 2*~(x^y), x + y
9051405419088800996*~(x|~y) + (x^y) + 9051405419088800998*(x&y) + 9395338654620750620*y, x + y
3*(x&~y) - 2*~y - ~(x|~y) + 2*~(x&~y), x + y
2919673035312590196*(x&~y) + 2919673035312590194*~(x|~y) + 15527071038396961421*(x^y) + 2*y, x + y
~(x|~y) + 2*(x&y) - ~(x&~y) - 1, x + y
-~(x|y) - ~y + ~(x|~y) + 2*(x|~y), x + y
3392037726139202566*~(x|~y) + 15054706347570349051*(x^y) + 15054706347570349052*(x&y) + 3392037726139202566*x, x + y
2772157178630926654*~(x|y) - (x^y) + 2772157178630926656*(x|y) + 2772157178630926654, x + y
2*(x&y) - (x|~y) - ~(x&~y) - 2, x + y
14298310811455521941*(x^y) + 14298310811455521942*(x&y) + 4148433262254029676*(x|y), x + y
-2*~(x|y) - 2*(x&~y) + (x^y) + 2*(x|~y), x + y
7043331874189797542*(x&~y) + 5701706099759877037*(x^y) + 5701706099759877038*x + 12745037973949674580*y, x + y
4205439384214879437*(x&~y) - (x^y) + 4205439384214879437*y + 14241304689494672181*(x|y), x + y
1082890308748991124*~(x|y) + 17363853764960560492*~(x&y) + 17363853764960560493*(x&y) + 1082890308748991125*(x|y), x + y
2*(x&y) - 2*~(x^y) + (x|~y) + ~(x&~y), x + y
3283005713971874848*~(x|y) + 3283005713971874851*(x^y) + 15163738359737676766*~(x&y) + 2*~(x^y), x + y
17125747623757341171*(x^y) + 17125747623757341172*(x&y) + 1320996449952210446*(x|y), x + y
5843714945818132706*(x&~y) + 5843714945818132706*~(x|~y) + 12603029127891418909*(x^y) + 2*(x|y), x + y
~(x|~y) - 2*~(x&y) - ~(x&~y) - 3, x + y
3074439131027657769*~x + (x^y) + 3074439131027657771*(x&y) + 15372304942681893847*~(x&~y), x + y
12820964152091491096*~(x&y) + 12820964152091491097*~(x^y) + 12820964152091491098*(x|y) + 7195184230473430577, x + y
3997901661444660652*~(x&y) + 3997901661444660653*~(x^y) + 3997901661444660654*(x|y) + 7995803322889321305, x + y
13709609545486915484*~(x|y) + 13709609545486915485*x + 4737134528222636132*(x|~y) + y, x + y
-(x&~y) + (x|~y) + 2*(x|y) + 1, x + y
(x&~y) - 3*~y + ~(x&y) + 2*(x|~y), x + y
15521014841592870948*(x&~y) + 2925729232116680667*(x^y) + 2925729232116680668*x + 15521014841592870950*(x|y), x + y
7645500103555654064*~(x|y) + ~(x&y) + 7645500103555654067*(x&y) + 10801243970153897551*~(x^y), x + y
-2*(x&~y) - 2*~x + (x^y) - 2, x + y
16599645608528787071*(x^y) + 16599645608528787072*(x&y) + 1847098465180764546*(x|y), x + y
5920645100283638532*(x^y) + 5920645100283638533*~(x^y) + 2*(x|y) + 5920645100283638533, x + y
15019867887886387087*~(x|~y) + (x&y) + 15019867887886387087*x + 3426876185823164530*(x|y), x + y
5026887533217796703*~x + (x^y) + 5026887533217796705*(x&y) + 13419856540491754913*~(x&~y), x + y
12639182252442763854*~(x|y) + x + 12639182252442763855*y + 5807561821266787762*~(x&~y), x + y
12406826564534252405*~(x|~y) + 12406826564534252405*(x&y) + x + 6039917509175299212*y, x + y
6079254082217695240*(x^y) + 6079254082217695241*(x&y) + 12367489991491856377*(x|y), x + y
5900380692450832856*(x&~y) - ~(x|~y) + 5900380692450832857*y + 12546363381258718761*(x|y), x + y
-2*~y + ~(x|~y) - ~(x^y) + 3*(x|~y), x + y
(x&~y) + 2*(x&y) - (x|~y) - 1, x + y
-~(x&y) - y + ~(x&~y) + 2*(x|y), x + y
292485241581706416*~(x|y) + 292485241581706417*x + 18154258832127845200*(x|~y) + y, x + y
1991982247803389228*~(x|~y) + (x^y) + 1991982247803389230*(x&y) + 16454761825906162388*y, x + y
1825291052549035645*~(x|y) + 17534098547435033793*~(x&y) + 17534098547435033794*~(x^y) + 912645526274517824*(x|y), x + y
-3*~y + ~(x&y) - ~(x^y) + 3*(x|~y), x + y
~(x&y) + 2*(x&y) + x - (x|~y), x + y
2680599049081560572*(x^y) + 2680599049081560573*(x&y) + 15766145024627991045*(x|y), x + y
14751806116775901441*(x^y) + 14751806116775901442*(x&y) + 3694937956933650176*(x|y), x + y
12783910085126297381*~(x|y) + 5662833988583254233*~(x&y) + 5662833988583254234*~(x^y) + 5662833988583254232, x + y
-4*(x&~y) - 2*~x + 3*(x^y) + 2*(x|~y), x + y
17512106803341564075*~x + 934637270367987540*(x^y) + 934637270367987541*~(x&~y) + 17512106803341564077*(x|y), x + y
11167892234723250661*~(x|y) + ~(x&y) + 11167892234723250664*(x&y) + 7278851838986300954*~(x^y), x + y
6901677184193858019*~(x|~y) + 6901677184193858020*(x&y) + 11545066889515693597*y + (x|y), x + y
-(x&~y) - ~x + (x|y) - 1, x + y
378767085665798725*~(x|y) + 18257360530876652253*~(x&y) + 18257360530876652254*~(x^y) + 189383542832899364*(x|y), x + y
-2*~(x|y) + ~y + (x&y) + ~(x&~y), x + y
1957572690809989713*~(x|~y) + 1957572690809989714*x + y + 16489171382899561903*(x|y), x + y
16400703616320795918*(x^y) + 16400703616320795919*(x&y) + 2046040457388755699*(x|y), x + y
14779053109961262909*~x + 14779053109961262910*(x&y) + 3667690963748288707*~(x&~y) + (x|y), x + y
-2*~(x|y) + 9748009016638452768*(x^y) + 9748009016638452769*~(x^y) + 9748009016638452767, x + y
8167641939574014385*(x&~y) + 10279102134135537232*(x^y) + 10279102134135537233*(x&y) + 8167641939574014385*y, x + y
4*~(x|~y) - 2*~(x&y) + 3*(x|~y) - ~(x&~y), x + y
2*(x&~y) - ~(x&y) + y + ~(x&~y), x + y
5340497620323949926*~(x|~y) + (x^y) + 5340497620323949928*(x&y) + 13106246453385601690*y, x + y
~y - ~(x&y) + y + (x|y), x + y
-2*~y + (x|~y) - ~(x&~y) - 2, x + y
~(x|y) - ~x + y + (x|y), x + y
~x + 3*(x&y) - 2*~(x^y) + (x|~y), x + y
7714822985449415914*(x^y) + 7714822985449415915*(x&y) + 10731921088260135703*(x|y), x + y
6199485450654630713*~(x|y) + 6199485450654630714*(x^y) + 6199485450654630715*(x&y) + 6199485450654630713, x + y
8604598779294228233*(x^y) + 8604598779294228234*(x&y) + 9842145294415323384*(x|y), x + y
-2*~y + ~(x^y) - 2*~(x&~y) - 3, x + y
1662987944697246929*~(x|y) + 1662987944697246930*(x^y) + 1662987944697246931*(x&y) + 1662987944697246929, x + y
8593058938189756184*~x + 8593058938189756185*(x&y) + 9853685135519795432*~(x&~y) + (x|y), x + y
9771228142278791356*~(x|~y) + (x&y) + 9771228142278791356*x + 8675515931430760261*(x|y), x + y
2403440804525667666*~(x|~y) + 16043303269183883951*(x^y) + 16043303269183883952*(x&y) + 2403440804525667666*x, x + y
12962410340861496317*~(x|y) + 2742166866424027649*~(x&y) + 2742166866424027650*~(x^y) + 15704577207285523968*(x|y), x + y
611351228570634732*(x^y) + 611351228570634733*(x&y) + 17835392845138916885*(x|y), x + y
(x&~y) + ~(x&y) + 3*(x&y) - (x|~y), x + y
~(x|~y) + 2*x + ~(x&~y) + 1, x + y
11911298187131249472*(x^y) + 11911298187131249473*(x&y) + 6535445886578302145*(x|y), x + y
10707318898194154176*~(x|y) + 10707318898194154178*x + 7739425175515397439*(x|~y) + ~(x&~y), x + y
-~(x|y) + ~(x|~y) + (x&y) + (x|~y), x + y
5871474604080257503*~(x|~y) + (x&y) + 5871474604080257503*x + 12575269469629294114*(x|y), x + y
9386688681298706607*~(x|~y) - (x^y) + 9386688681298706607*x + 9060055392410845011*(x|y), x + y
336981137230214021*(x^y) + 336981137230214022*(x&y) + 18109762936479337596*(x|y), x + y
1774671187329719022*(x^y) + 1774671187329719023*~(x^y) + 2*(x|y) + 1774671187329719023, x + y
~y + 2*(x&y) - ~(x^y) + y, x + y
10321558408531744263*(x^y) + 10321558408531744264*(x&y) + 8125185665177807354*(x|y), x + y
13550949518298473332*~(x|y) + 13550949518298473333*(x^y) + 4895794555411078284*~(x&y) + 2*(x&y), x + y
17518182335431309334*(x&~y) + 928561738278242282*~(x|~y) + 928561738278242283*x + 17518182335431309335*y, x + y
106489300250982889*~(x|y) + ~(x&y) + 106489300250982892*(x&y) + 18340254773458568726*~(x^y), x + y
8257199320037161081*~(x|y) + (x&y) + 8257199320037161082*(x|y) + 8257199320037161081, x + y
6681266797043428058*~x + 6681266797043428059*x + y + 6681266797043428058, x + y
-~(x|y) - ~x + ~(x&~y) - 1, x + y
13638066192240126431*(x&~y) + x + 13638066192240126432*y + 4808677881469425185*(x|y), x + y
14903693670493545681*(x^y) + 14903693670493545682*(x&y) + 3543050403216005936*(x|y), x + y
5583097611531567425*(x^y) + 5583097611531567426*(x&y) + 12863646462177984192*(x|y), x + y
7194444332503570803*(x&~y) + 7194444332503570803*~(x|~y) + 11252299741205980814*(x^y) + 2*(x&y), x + y
13747316178387179785*~(x|y) + (x&y) + 13747316178387179786*(x|y) + 13747316178387179785, x + y
~(x^y) + y - ~(x&~y) + (x|y), x + y
11638267012031903775*~(x|y) + 6808477061677647840*(x^y) + 6808477061677647841*~(x^y) + 11638267012031903777*(x|y), x + y
8434704106499922608*~(x|y) + 8434704106499922609*(x&y) + 10012039967209629008*~(x^y) + (x|y), x + y
6208141591044857775*(x^y) + 6208141591044857776*~(x^y) + 2*(x|y) + 6208141591044857776, x + y
7183367973849616414*(x&~y) + 7183367973849616414*(x&y) + 11263376099859935203*x + y, x + y
6888598124576229034*(x&~y) - (x^y) + 6888598124576229034*y + 11558145949133322584*(x|y), x + y
50105471420192813*(x^y) + 50105471420192814*~(x^y) + 2*(x|y) + 50105471420192814, x + y
9919075327829190927*~y + 8527668745880360689*~x + 8527668745880360690*x + 9919075327829190928*y, x + y
6087901749788068833*(x^y) + 6087901749788068834*(x&y) + 12358842323921482784*(x|y), x + y
9512041930693390218*~(x|y) + 8934702143016161398*~(x&y) + 8934702143016161399*(x&y) + 9512041930693390219*(x|y), x + y
13348377375160362465*(x&y) + 5098366698549189152*x + 5098366698549189152*y + 13348377375160362465*(x|y), x + y
8779480363161448644*(x^y) + 8779480363161448645*(x&y) + 9667263710548102973*(x|y), x + y
13533422034425596282*(x^y) + 13533422034425596283*(x&y) + 4913322039283955335*(x|y), x + y
388730518989070538*(x&~y) + 18058013554720481077*(x^y) + 18058013554720481078*x + 388730518989070540*(x|y), x + y
18144503497314782627*(x&~y) + (x^y) + 18144503497314782629*(x&y) + 302240576394768989*x, x + y
3*(x&~y) - 3*~y + ~(x&y) + 2*~(x^y), x + y
2116975758577957732*~(x|y) + 2116975758577957733*(x^y) + 16329768315131593884*~(x&y) + 2*(x&y), x + y
9040576924135876985*(x^y) + 9040576924135876986*(x&y) + 9406167149573674632*(x|y), x + y
3797082626277502409*~(x|y) + 16548202760570800411*~(x&y) + 16548202760570800412*~(x^y) + 1898541313138751206*(x|y), x + y
12427919513684665406*~(x|y) + 12427919513684665407*(x^y) + 6018824560024886208*~(x&y) - 2, x + y
3966530202434661159*(x^y) + 3966530202434661160*(x&y) + 14480213871274890458*(x|y), x + y
17754095112469637946*(x&~y) + 17754095112469637948*~(x|~y) + 692648961239913669*(x^y) + 2*x, x + y
13803849207130837690*(x&~y) - (x^y) + 13803849207130837690*y + 4642894866578713928*(x|y), x + y
7192296410123021980*(x^y) + 7192296410123021981*(x&y) + 11254447663586529637*(x|y), x + y
18159823858390236324*~(x|y) + 286920215319315290*~(x&y) + 286920215319315291*~(x^y) + 286920215319315289, x + y
2519631105468733537*(x&~y) + 2519631105468733539*~(x|~y) + 15927112968240818078*(x^y) + 2*x, x + y
3648713961006715753*~(x|y) + 3648713961006715752*(x^y) + 14798030112702835863*~(x&y) + 2*(x|y), x + y
(x&~y) - 2*~y - ~(x|~y) - 2, x + y
14766095939928891834*(x&~y) + 3680648133780659782*~(x|~y) + 3680648133780659783*x + 14766095939928891835*y, x + y
10883526993758662249*(x&~y) + 10883526993758662247*~(x|~y) + 7563217079950889368*(x^y) + 2*y, x + y
15118219085942613108*~(x|~y) + 15118219085942613109*x + y + 3328524987766938508*(x|y), x + y
18326160849205625546*~(x|~y) + 18326160849205625547*(x&y) + 120583224503926070*y + (x|y), x + y
3509204076629069367*(x^y) + 3509204076629069368*(x&y) + 14937539997080482250*(x|y), x + y
8120329129272083713*(x^y) + 8120329129272083714*(x&y) + 10326414944437467904*(x|y), x + y
-~(x|y) + 11462494366892097277*~(x&y) + 11462494366892097278*(x&y) + 11462494366892097276, x + y
(x&~y) + (x|~y) + 2*y + 1, x + y
524685523241459861*~(x|~y) + 17922058550468091756*(x^y) + 17922058550468091757*(x&y) + 524685523241459861*x, x + y
10682514822413815869*~(x&y) + 10682514822413815870*~(x^y) + 10682514822413815871*(x|y) + 2918285571118080123, x + y
18422936774825128680*~x + (x^y) + 18422936774825128682*(x&y) + 23807298884422936*~(x&~y), x + y
8969814849579853077*(x^y) + 13961836648919625077*~(x&y) + 4484907424789926539*~(x^y) + 13961836648919625079*(x|y), x + y
6851937456617160656*(x^y) + 11594806617092390959*~(x&y) + 11594806617092390961*(x|y) + 11594806617092390959, x + y
1136914780256589877*~(x|y) + 1136914780256589878*x + 17309829293452961739*(x|~y) + y, x + y
13321179670031689824*(x&~y) + 13321179670031689824*~(x|~y) + 5125564403677861793*(x^y) + 2*(x&y), x + y
(x^y) + 732093189359695161*~(x&y) + 732093189359695163*(x&y) + 732093189359695161, x + y
1143025510992013091*~(x|y) + 17303718562717538524*(x^y) + 17303718562717538525*~(x^y) + 1143025510992013093*(x|y), x + y
12665093077239260238*~x + (x^y) + 12665093077239260240*(x&y) + 5781650996470291378*~(x&~y), x + y
-2*~x - 2*~(x^y) + (x|~y) + 3*~(x&~y), x + y
9228204029053301025*(x&~y) + (x^y) + 9228204029053301027*(x&y) + 9218540044656250591*x, x + y
18121500381179307731*~(x&y) + 18121500381179307733*(x&y) - ~(x^y) + 18121500381179307730, x + y
~x + (x&y) + 2*x - (x|~y), x + y
7664975653219288819*~(x|y) + 7664975653219288820*(x^y) + 10781768420490262795*~(x&y) - 2, x + y
7709844550572391847*(x^y) + 7709844550572391848*(x&y) + 10736899523137159770*(x|y), x + y
17669674591280786415*(x^y) - 2*~(x&y) + 17669674591280786414*~(x^y) + 17669674591280786412, x + y
8246386420118946593*(x&~y) + 8246386420118946591*~(x|~y) + 10200357653590605024*(x^y) + 2*y, x + y
14446560642294574367*(x^y) + 14446560642294574368*(x&y) + 4000183431414977250*(x|y), x + y
9698126428241092209*~(x|~y) - (x^y) + 9698126428241092209*x + 8748617645468459409*(x|y), x + y
1873638088996435364*~(x&y) + 1873638088996435365*~(x^y) + 1873638088996435366*(x|y) + 3747276177992870729, x + y
8681477692535092512*(x&~y) + 4882633190587229552*(x^y) + 4882633190587229553*x + 13564110883122322065*y, x + y
2443765681008353675*(x&~y) + x + 2443765681008353676*y + 16002978392701197941*(x|y), x + y
1245683048587015647*~(x|y) + 1245683048587015648*(x&y) + 17201061025122535969*~(x^y) + (x|y), x + y
11541663486291366650*(x^y) + 11541663486291366651*(x&y) + 6905080587418184967*(x|y), x + y
-~x - ~(x^y) + x + 2*~(x&~y), x + y
-2*~x + ~(x&y) + y + ~(x&~y), x + y
16137670828550177382*~(x|y) + 16137670828550177384*(x&y) + 2309073245159374233*~(x^y) - 1, x + y
-(x&~y) + 4486225667259308501*~(x|~y) + 4486225667259308502*x + 13960518406450243116*(x|y), x + y
4253485328935941472*~y + 4253485328935941473*(x&y) + 14193258744773610144*(x|~y) + (x|y), x + y
2*(x&~y) - 2*~y - (x^y) - 2, x + y
7302148052077592411*(x&~y) + 7302148052077592411*~(x|~y) + 11144596021631959206*(x^y) + 2*(x&y), x + y
353527778286636534*(x&~y) - (x^y) + 353527778286636534*y + 18093216295422915084*(x|y), x + y
956253194386424380*(x&y) + 17490490879323127237*~(x^y) + 17490490879323127238*(x|y) + 17490490879323127237, x + y
7942605106560944357*~y + 10504138967148607258*(x^y) + 10504138967148607259*(x|~y) + 7942605106560944359*(x|y), x + y
1065543164216022545*~(x|y) + (x^y) + 1065543164216022547*(x&y) + 17381200909493529071*~(x^y), x + y
3798027886293517403*~(x&y) + 3798027886293517405*(x&y) - ~(x^y) + 3798027886293517402, x + y
16062396261586330351*~(x&y) + 16062396261586330353*(x&y) - ~(x^y) + 16062396261586330350, x + y
11797190876811727000*(x^y) + 6649553196897824615*~(x&y) + 6649553196897824617*(x|y) + 6649553196897824615, x + y
4*(x&~y) - 2*~y - (x^y) + 2*~(x&~y), x + y
16003884583928513460*(x^y) + 16003884583928513461*(x&y) + 2442859489781038157*(x|y), x + y
4686465379367156305*(x^y) + 2*(x&y) + 4686465379367156304*~(x^y) + 4686465379367156304, x + y
6290633753654146376*(x^y) + 6290633753654146377*(x&y) + 12156110320055405241*(x|y), x + y
3189585439383057444*~(x&y) + 3189585439383057445*(x&y) + (x|y) + 3189585439383057444, x + y
(x^y) + 9893252347283496083*~(x&y) + 9893252347283496085*(x&y) + 9893252347283496083, x + y
-2*~y - 2*~(x|~y) - ~(x^y) - 3, x + y
3520982392118611704*~(x|y) + 3520982392118611705*(x^y) + 3520982392118611706*(x&y) + 3520982392118611704, x + y
8492708141074634190*(x^y) + 8492708141074634191*(x&y) + 9954035932634917427*(x|y), x + y
80378104731280745*~(x|y) + 80378104731280746*(x&y) + 18366365968978270871*~(x^y) + (x|y), x + y
15654088787526421371*~(x|y) + 2792655286183130243*~(x&y) + 2792655286183130244*~(x^y) + 2792655286183130242, x + y
