# x + y
13664254869414482676*((~(x^y)&~t)|(~(x|(y|z))&t)) + 6832127434707241344*((~(y^z)&~t)|((~z&(x^y))&t)) + 15713893099826655077*(((z^~(x|(y&z)))&~t)|(~(~x|(~y|z))&t)) + 10248191152060862011*((~(x^(y&z))&~t)|(((x^y)&~(x^z))&t)) + 3416063717353620669*(((z&(x|y))&~t)|((y^(x|z))&t)) + 10248191152060862013*(((z^~(x|(~y&z)))&~t)|((y^(~x|(~y|z)))&t)) + 1366425486941448269*((~(x&(y&z))&~t)|((x^z)&t)) + 4099276460824344790*(((z&~(x&~y))&~t)|((y^(x&z))&t)) + 6148914691236517211*(((y^(x&(y|z)))&~t)|((~(x|~y)|~(x^(y^z)))&t)) + 12297829382473034411*(((y^~(x&~z))&~t)|((x&(y&z))&t)) + 15030680356355930937*((~(x^(~y&z))&~t)|(((x|~y)&~(y^z))&t)) + 17763531330238827490*((((y&z)|(x&(y|z)))&~t)|(((x&z)|(y&~z))&t)) + 15030680356355930947*(((~x|(y&z))&~t)|(((y&~z)^(x|(y^z)))&t)) + 6832127434707241334*((~(~x&(y|z))&~t)|((z^~(x|(~y&z)))&t)) + 3416063717353620677*((((x&y)^(x^(~y|z)))&~t)|((~(x&~y)&~(y^z))&t)) + 3416063717353620670*(((x|z)&~t)|(((x|y)&~(y^z))&t)), x + y
11068046444225730970*(((~(x^y)&~(x^z))&~t)|(~(x|z)&t)) + 7378697629483820647*(((y^(x&(y|z)))&~t)|((~z&~(x^y))&t)) + 7378697629483820646*(((y^(~x|(~y|z)))&~t)|((y&~z)&t)) + 3689348814741910327*(((x&(~y&z))&~t)|(~(x|y)&t)) + (((z^~(x&(y|z)))&~t)|((y^(x|(y&z)))&t)) + 3689348814741910327*(((~z&~(x^y))&~t)|(~(x&z)&t)) + 14757395258967641294*(((y^~(x|~z))&~t)|((y^~(~x&(y|z)))&t)) + 3689348814741910323*((((x&z)^(x^(~y&z)))&~t)|((~(x|~y)|~(x^(y^z)))&t)) + 7378697629483820644*((~(x&~z)&~t)|((~(x|~y)|(y^z))&t)) + 3689348814741910329*((~(x&(y|z))&~t)|(~(~x|(~y&z))&t)) + 3689348814741910318*(((z^~(x&(y&z)))&~t)|(((x&y)|(x^(y^z)))&t)) + 11068046444225730971*((~(~x|(~y|z))&~t)|(((x&z)|(y&~z))&t)) + 7*((~(~x|(~y&z))&~t)|((z^~(x|~y))&t)) + 11068046444225730964*(((z^(x|~y))&~t)|((~y|~(x^z))&t)) + 7378697629483820649*(((y^(x|~z))&~t)|((z|(x&y))&t)) - 4*(((y^(x|(y|z)))&~t)|((z|~(x^y))&t)), x + y
5088756985850910790*(((~(x&~y)&(x^(y^z)))&~t)|((z^(~x|(y|z)))&t)) + 12721892464627276975*(((z|(x&~y))&~t)|(~(x|y)&t)) + 1272189246462727698*(((z^(~x|(y&z)))&~t)|((y^(x|(y&z)))&t)) + 5724851609082274634*(((x&(~y&z))&~t)|((~x&(y&z))&t)) + 8905324725239093884*((((x&z)|~(y|z))&~t)|(~(x|(y^z))&t)) + 11449703218164549275*(((~z|(x^y))&~t)|(((y&~z)|~(x|(~y&z)))&t)) + 11449703218164549283*(((x&(y|z))&~t)|(((y&~z)|~(x|(~y&z)))&t)) + 15266270957552732374*(((z^(~x|(~y|z)))&~t)|(~(x|~z)&t)) + 1272189246462727698*(((~(x^y)|~(x^z))&~t)|(((x&z)^~(y&~z))&t)) + 3180473116156819242*(((~(x^y)&~(x^z))&~t)|((y^(x|(~y&z)))&t)) + 13994081711090004677*(((~(x|y)|~(x^(y^z)))&~t)|((~(x|y)|~(x^(y^z)))&t)) + 15902365580784096220*(((x&y)&~t)|((y^(~x&(~y|z)))&t)) + 8269230102007730035*((((x&~y)|(y^z))&~t)|((y&~(x&~z))&t)) + 1272189246462727701*(((y^~(~x|(y&z)))&~t)|((y^(x&~z))&t)) + 13994081711090004673*(((y^~(x|~z))&~t)|((~(x|y)|~(y^z))&t)) + 15902365580784096221*(((y^(x&(~y|z)))&~t)|(~(x&(~y&z))&t)), x + y
3848030484193175282*(((z|~(x|~y))&~t)|(~(~x|(~y|z))&t)) + 5910892187059619764*((((x&~y)|(y^z))&~t)|((y&~z)&t)) + 6386937195413414644*(((y^~(x|(y&z)))&~t)|(((y&z)^~(x&(y^z)))&t)) + 2618247545945871840*((~(x|(y|z))&~t)|(((x&y)^~(x^(~y|z)))&t)) + 13567282738083154094*(((x|~z)&~t)|((y^z)&t)) + 15352451519409884896*(((z^(x&y))&~t)|((y^~(~x|(y^z)))&t)) + 3371985475839380401*((((x&y)|~(y^z))&~t)|((~x&(y|z))&t)) + 12972226477640910491*(((z&~(x^y))&~t)|((y^~(~x&(~y|z)))&t)) + 872749181981957282*(((x&~z)&~t)|((~z|(x^y))&t)) + 9560570584438713849*(((y^~(~x|(y&z)))&~t)|((~y|(x^z))&t)) + 7259686377395371928*(((z&(x|~y))&~t)|((z^(~x|(~y&z)))&t)) + 18050039900081389215*(((y^(~x|(~y|z)))&~t)|((y^~(x|(~y&z)))&t)) + 1071101268796038484*((~(x&(y^z))&~t)|((y^(~x&(y|z)))&t)) + 15749155693038047293*(((z&(x|y))&~t)|((x&(~y|z))&t)) + 10274638096969406170*(((~z&~(x^y))&~t)|(~(y^z)&t)) + 2935610884848401760*(((y^(x|z))&~t)|((y^~(x|(y&z)))&t)), x + y
9147145821674157830*(((~(x&~y)&(x^(y^z)))&~t)|(~(x|z)&t)) + 2134334025057303492*((~(~x|(y|z))&~t)|(~(x|(y&z))&t)) + 3353953467947191207*(((~z|~(x^y))&~t)|(((x&y)^~(x^(y&z)))&t)) + 4116215619753371016*((~(~x|(y^z))&~t)|((y^(x|(~y|z)))&t)) + 1829429164334831560*(((z^~(~x&(~y|z)))&~t)|(~(x|(y^z))&t)) + 5793192353726966622*((((x|~y)&~(x^(y^z)))&~t)|(((x^y)&(x^z))&t)) + 11433932277092697278*((~(x&y)&~t)|((y^~(~x|(y^z)))&t)) + 5488287493004494696*((~(y&~z)&~t)|(((x&z)^~(y&~z))&t)) + 16922219770097191986*(((y^(x|(y^z)))&~t)|((y^(x|(~y&z)))&t)) + 7470169087700562220*(((~(x&~y)&~(y^z))&~t)|((~(x|y)|(x^(y^z)))&t)) + 15702600327207304267*(((y|(x&z))&~t)|(((x&~y)|(x^(y^z)))&t)) + 6860359366255618367*(((y^(~x|(y&z)))&~t)|(((x&y)|~(y|~z))&t)) + 11433932277092697289*(((~(x&~y)&~(x^(y^z)))&~t)|((x|~y)&t)) + 10061860403841573614*((((y&~z)|~(~x|(~y&z)))&~t)|(~(y^z)&t)) + 3506405898308427169*((~(x|(~y&z))&~t)|((y|(x&~z))&t)) + 304904860722471924*(((~(x&~y)&(y^z))&~t)|((x|(~y|z))&t)), x + y
14757395258967641297*(((z^~(~x&(~y&z)))&~t)|((z^(x|(y|z)))&t)) + 15811494920322472807*((~(x&(~y|z))&~t)|((~(x&y)&(x^(y^z)))&t)) + 15284445089645057058*(((z^(x&y))&~t)|((~(x&y)&(x^(y^z)))&t)) + 1581149492032247282*(((z^~(x|y))&~t)|((y&~(x&z))&t)) + 10013946782870899447*(((z^(x&y))&~t)|(~(x&z)&t)) + 7378697629483820648*(((x^(y|z))&~t)|((z^~(x&(y&z)))&t)) + 13703295597612809772*(((y^(~x|(y^z)))&~t)|(~(x^(y&z))&t)) + 4216398645419326083*((~(x|z)&~t)|(~(~x&(y|z))&t)) + 5797548137451573361*(((y^~(~x&(y&z)))&~t)|(~(~x&(~y|z))&t)) + 17392644412354720098*((~(x|(y^z))&~t)|((x|~z)&t)) + 8432797290838652166*(((x&(y|z))&~t)|((~(x&~y)&~(y^z))&t)) + 3689348814741910324*((~(x|~y)&~t)|(((x|y)&~(y^z))&t)) + 3689348814741910323*(((z^~(x|~y))&~t)|(((x&y)|~(y^z))&t)) + 8959847121516067927*((((x&y)|(x^(y^z)))&~t)|(~(~x&(~y&z))&t)) + 15284445089645057056*(((~x|(y|z))&~t)|(z&t)) + 3689348814741910324*(((y^~(x|(~y&z)))&~t)|((z|(x&~y))&t)), x + y
3689348814741910321*(((y|~(x|~z))&~t)|(~(x|(y&z))&t)) + 11068046444225730971*(((y^~(~x&(y^z)))&~t)|(((x|~y)&~(x^(y^z)))&t)) + 14757395258967641297*(((z|~(x|~y))&~t)|(~(x|~y)&t)) + 3689348814741910320*(((z|~(x|~y))&~t)|(((x&z)^~(y&~z))&t)) + 3689348814741910323*(((~x&(~y|z))&~t)|((x^y)&t)) - (((y|~z)&~t)|(~(x^(y^z))&t)) - 2*(((~(x&y)&~(y^z))&~t)|(~(x^z)&t)) + 3689348814741910326*(((y&~z)&~t)|((y^(~x|(y^z)))&t)) + 7378697629483820645*((~(~x|(~y|z))&~t)|((y&(x|z))&t)) + 3689348814741910324*((~(x&~x)&~t)|((~(x^y)|(x^z))&t)) + 3689348814741910321*(((y^(x|(y&z)))&~t)|((y|~(x|~z))&t)) + 4*((((x&z)^(x^(y&z)))&~t)|(~(x&(~y&z))&t)) + 7378697629483820647*((((x&z)^~(y&~z))&~t)|(((x&y)^(x^(y&z)))&t)) - ((~(~x|(~y&z))&~t)|(((x^y)|~(x^z))&t)) + 11068046444225730970*(((z^~(x&y))&~t)|((y|~(x^z))&t)), x + y
14236676357187251545*((~(x|~z)&~t)|(~(x|(y|z))&t)) + 2215825113959105298*((y&~t)|(~(x|y)&t)) + 14292071985036229181*(((y&z)&~t)|((~(x&y)&(x^(y^z)))&t)) + 9749630501420063317*((~(~x&(~y&z))&~t)|(((y&z)^~(~x&(y^z)))&t)) + 2603594508901948726*((~(x&z)&~t)|((x^(y|z))&t)) + 4930210878559009291*((((x&y)|~(y|~z))&~t)|((z^(x&(y|z)))&t)) + 16230918959750446314*(((y^~(~x|(~y&z)))&~t)|((x^z)&t)) + 17781996539521820030*((~(~x&(y^z))&~t)|((z^~(~x&(y|z)))&t)) + 1218703812677507911*((((x&y)|~(y|z))&~t)|((~(x&y)&~(x^(y^z)))&t)) + 8032366038101756707*((((y&~z)^(~x|(y^z)))&~t)|((y^~(~x&(~y|z)))&t)) + 3489924554485590849*((((x&z)^(y|z))&~t)|(((y&~z)^(~x|(y^z)))&t)) + 4043880832975367169*(((x&(~y&z))&~t)|((x^(y^z))&t)) + 5151793389954919822*(((~(x^y)|(x^z))&~t)|((z^(~x&(y|z)))&t)) + 8198552921648689606*((((x|~y)&~(x^(y^z)))&~t)|((~(x^y)|~(x^z))&t)) + 2603594508901948729*(((y^~(~x&(y^z)))&~t)|((y^~(~x|(y&z)))&t)) + 16895666493938177908*((~(x|~z)&~t)|(~(~x&(y^z))&t)), x + y
4958802170352030005*(((z^(x|(y&z)))&~t)|((z^(~x|(~y|z)))&t)) + 16661575292382820814*(((y^(x&~z))&~t)|((y^(~x|(y&z)))&t)) + 12694533556101196811*(((z^(x|(~y&z)))&~t)|((~x&(y&z))&t)) + 11702773122030790808*((((x&y)^(y|~z))&~t)|(((x&y)^(y|~z))&t)) + 1983520868140812005*((((x&y)^(y|~z))&~t)|(~(x|~z)&t)) + 198352086814081197*(((~(x&y)&~(x^(y^z)))&~t)|(~(x|~z)&t)) + 7735731385749166807*((~(x|(~y|z))&~t)|((~x&(y|z))&t)) + 18050039900081389216*(((~x|(y|z))&~t)|((y^~(~x&(y|z)))&t)) + 16264871118754658414*(((y^(x|~z))&~t)|((y&(x|~z))&t)) + 9719252253889978808*(((z^~(x&(y|z)))&~t)|(~(x^z)&t)) + 7934083472563248007*(((~(x|~y)|(x^(y^z)))&~t)|(~(x^(~y|z))&t)) + 11504421035216709611*(((z^~(x|y))&~t)|((~(x|~y)|~(y^z))&t)) + 4363745909909786403*(((x&(y&z))&~t)|((y&(x|z))&t)) + 4363745909909786405*((((x&z)|~(y|z))&~t)|((y|~(x|~z))&t)) + 13686293990171602814*((((y&z)|(x&(y|z)))&~t)|(~(~x&(y^z))&t)) + 5950562604422436004*(((x^(~y&z))&~t)|(~(y&~z)&t)), x + y
1785168781326730805*(((x|y)&~t)|((~x&(~y&z))&t)) + 11306068948402628411*(((y&(x|z))&~t)|(~(x|y)&t)) + 12496181469287115610*(((y^(x|(y|z)))&~t)|((~y&(x^z))&t)) + 14876406511056090006*(((z&(x^y))&~t)|((y^~(~x&(~y&z)))&t)) + 15471462771498333619*(((y^(x|(y|z)))&~t)|(((y&z)^~(~x&(y^z)))&t)) + 17851687813267308022*(((z^~(x|~y))&~t)|((y^(~x|(~y|z)))&t)) + 17256631552825064420*((~(x&(y|z))&~t)|(~(x|(y^z))&t)) + 1190112520884487209*(((x&z)&~t)|(~(x|~y)&t)) + 12496181469287115610*(((x|~z)&~t)|((z^(x&(~y|z)))&t)) + 8330787646191410401*((((x&~y)|(x^(y^z)))&~t)|(((x|y)&~(x^(y^z)))&t)) + 5950562604422436009*(((z^(~x|(~y|z)))&~t)|(~(x^(y^z))&t)) + 10115956427518141207*((~(x&~y)&~t)|((y^(x|(y^z)))&t)) - 9*(((x|(y^z))&~t)|((~y|(x^z))&t)) + 17256631552825064408*(((~y&~(x^z))&~t)|(~(x&~y)&t)) + 10711012687960384810*((~(x^y)&~t)|((z^~(x|y))&t)) + 8925843906633654016*(((x&(y^z))&~t)|((x|z)&t)), x + y
2049638230412172402*((((x&~y)|(y^z))&~t)|((x&~x)&t)) - ((~(x^y)&~t)|((z^~(x&(~y&z)))&t)) + 6148914691236517207*(((~x|(y|z))&~t)|((y^(x&z))&t)) + 8198552921648689606*(((~y|~(x^z))&~t)|((z^(x&y))&t)) + 10248191152060862006*(((y^(x|z))&~t)|(((x|y)&(x^(y^z)))&t)) + 16397105843297379218*((((y&~z)|~(~x|(~y&z)))&~t)|(~(~x|(~y&z))&t)) + 4099276460824344804*(((z^(x|y))&~t)|((z&~(x^y))&t)) + 4099276460824344802*(((x|~y)&~t)|((z&~(x^y))&t)) + 4099276460824344804*((((x&~y)|~(y^z))&~t)|(~(x^(y&z))&t)) + 4099276460824344806*(((z|(x&~y))&~t)|((z^~(x&(y|z)))&t)) + 8198552921648689606*(((z|(x&~y))&~t)|((y^(~x|(~y&z)))&t)) + 6148914691236517207*((((x^y)&~(x^z))&~t)|(((x&z)^~(x^(~y&z)))&t)) + 6148914691236517204*((~(x^(y|z))&~t)|((y^(x&~z))&t)) + 2049638230412172399*((y&~t)|(((x&y)|~(x^(y^z)))&t)) + 12297829382473034411*((((x&z)^~(y&~z))&~t)|((z|~(x|y))&t)) + 14347467612885206815*(((y^(~x|(~y&z)))&~t)|((z|(x&y))&t)), x + y
13127217875709587895*((~z&~t)|((~z&~(x^y))&t)) + 7292898819838659940*(((z|(x^y))&~t)|((y^~(~x&(~y&z)))&t)) + 4289940482258035260*((~(y^z)&~t)|((y^(x|(y|z)))&t)) + 7721892868064463467*((~(y^z)&~t)|(~(x|~y)&t)) + 14843194068612801998*(((z^~(x|y))&~t)|((y^~(~x|(y^z)))&t)) + 2144970241129017630*(((z&~(x&y))&~t)|((x^(~y|z))&t)) + 6606508342677374300*(((y^~(~x&(y&z)))&~t)|((y&~(x^z))&t)) + 16301773832580533986*((~(x&~z)&~t)|((x&z)&t)) + 7721892868064463468*((((x&z)^~(x^(~y&z)))&~t)|(~(x^z)&t)) + 9352070251322516864*((~(x|(y^z))&~t)|((y^(~x|(y^z)))&t)) + 3174555956870946094*((z&~t)|((y^~(x&(y&z)))&t)) + 10896448824935409560*(((y^~(~x&(y|z)))&~t)|((y&(x|z))&t)) + 12526626208193462957*(((y^(~x|(y^z)))&~t)|((y^~(x|(y&z)))&t)) + 18360945264064390912*(((x&y)&~t)|(((y&z)|(x&(y|z)))&t)) + 1887573812193535514*(((~x&(~y|z))&~t)|((x|(y&z))&t)) + 5405325007645124427*(((y^~(x&(y^z)))&~t)|((z|(x&~y))&t)), x + y
3689348814741910251*(((y&~(x^z))&~t)|((y&~z)&t)) + 14757395258967641292*((((y&~z)^(x|(y^z)))&~t)|(((x^y)&~(x^z))&t)) + 3689348814741910341*(((z^~(~x&(y&z)))&~t)|((y^(x|(y|z)))&t)) + 3689348814741910272*((((x&z)|~(y|z))&~t)|((y^~(~x|(~y&z)))&t)) + 7378697629483820662*((((x&z)^~(x^(~y&z)))&~t)|(((y&~z)|~(x|(~y&z)))&t)) + 3689348814741910370*(((z^~(x|(~y&z)))&~t)|(~x&t)) + 14757395258967641290*(((y^~(x|z))&~t)|(~(x^(~y&z))&t)) + 7*(((z^~(x&(~y&z)))&~t)|((~(x|y)|(x^(y^z)))&t)) + 14757395258967641235*(((z^~(x&~y))&~t)|((y^~(x&(y|z)))&t)) + 11068046444225731009*(((z^~(x&~y))&~t)|(((x&y)|(x^(y^z)))&t)) + 3689348814741910344*(((z^(~x|(~y&z)))&~t)|((z^~(x&(~y|z)))&t)) + 14757395258967641321*((~(~x|(y^z))&~t)|(((x&z)^(x^(y&z)))&t)) + 7378697629483820664*(((~(x^y)|~(x^z))&~t)|((y|(x&~z))&t)) + 11068046444225730940*(((x^(~y|z))&~t)|((~x|(y&z))&t)) + 11068046444225730980*(((~z&~(x^y))&~t)|((y|~(x|~z))&t)) - 34*((~(x|(y&z))&~t)|(z&t)), x + y
1941762534074689641*(((y^~(x|(y&z)))&~t)|((x&~z)&t)) + 970881267037344821*((z&~t)|((y^~(~x|(~y&z)))&t)) + 12621456471485482684*(((z|(x&y))&~t)|((z^(x&(~y|z)))&t)) + 6796168869261413752*(((z^(x|y))&~t)|(~(x^(y^z))&t)) + 15534100272597517150*(((x&(y^z))&~t)|((y^(x|(~y&z)))&t)) + 2*((((y&~z)|~(x|(~y&z)))&~t)|((~(x|y)|~(x^(y^z)))&t)) + 1941762534074689646*((((y&z)|(~x&(y|z)))&~t)|((y^~(x|(~y&z)))&t)) + 9708812670373448221*(((z^~(~x|(~y&z)))&~t)|((x^(y^z))&t)) + 4854406335186724106*(((y^(x|(~y|z)))&~t)|(~(x^y)&t)) + 8737931403336103396*((((x&~y)|~(x^(y^z)))&~t)|((y^~(x&(y&z)))&t)) + 10679693937410793041*(((z^(x&~y))&~t)|((z^~(x|(~y&z)))&t)) + 5825287602224068932*((~y&~t)|((y^~(x|(y&z)))&t)) + 7767050136298758572*((~(x|(~y|z))&~t)|((z^~(x|y))&t)) + 4*((~(~x&(y&z))&~t)|(~(~x&(y^z))&t)) + 8737931403336103397*((((x|y)&~(y^z))&~t)|(~(y&~z)&t)) + 15534100272597517151*(((z^(~x|(y&z)))&~t)|((x|z)&t)), x + y
11770779551795618649*((~(x&(~y|z))&~t)|((x&(~y&z))&t)) + 14054662151397753614*(((~(x|~y)|~(x^(y^z)))&~t)|((y^(x|(y&z)))&t)) + 13878978874505281692*(((~x|(~y&z))&~t)|((y^~(~x|(~y&z)))&t)) + 4040715368526854163*(((y^(~x|(y^z)))&~t)|((z^~(~x&(y&z)))&t)) + 8081430737053708327*(((y^~(~x|(y&z)))&~t)|((z^(x&(~y|z)))&t)) + 1229782938247303441*(((y^~(~x|(y&z)))&~t)|(~x&t)) + 15635811643430000893*((((x|y)&~(y^z))&~t)|((y^~(~x&(y|z)))&t)) + 5446181583666629526*(((x&(~y|z))&~t)|(((x|y)&~(x^(y^z)))&t)) + 4743448476096741845*((((x&y)|~(y|z))&~t)|((y^~(x|(y^z)))&t)) + 6675964521913932966*(((y^~(x|~z))&~t)|((x&(y|z))&t)) + 16338544750999888575*(((y&~(x&z))&~t)|(((x&z)^(x^(y&z)))&t)) + 2635249153387078804*(((z&~(x&~y))&~t)|(((x&y)^(x^(~y|z)))&t)) + 6851647798806404885*(((z^~(x|y))&~t)|(((x&y)^(x^(~y|z)))&t)) + 16338544750999888574*(((~x&(~y&z))&~t)|((y^(~x&(y^z)))&t)) + 1756832768924719201*(((y^(x&(~y|z)))&~t)|(~(x&~x)&t)), x + y
10789605024245209431*(((y^~(x&(y|z)))&~t)|(~(~x|(~y|z))&t)) + 15314278098928684359*~(x|(y&(~z|t))) + 11485708574196513270*(((z^(x&(y|z)))&~t)|((~(x&y)&(x^(y^z)))&t)) + 1044155324926955757*(((y^z)&~t)|((~y&~(x^z))&t)) + 2784414199805215338*((((x|~y)&(y^z))&~t)|(~y&t)) + 13574019224050424769*(((z^(x|~y))&~t)|((y^(~x|(~y|z)))&t)) + 14966226323953032446*(((z^(x|y))&~t)|((~(x|y)|(y^z))&t)) + 16358433423855640117*(((x&~z)&~t)|(((x^y)&(x^z))&t)) + 12181812124147817106*(((y|(x^z))&~t)|(((x&~y)|~(x^(y^z)))&t)) + 3828569524732171096*(((y|~(x|z))&~t)|((~(x^y)&~(x^z))&t)) + 6264931949561734512*(((y|~(x^z))&~t)|(((y&~z)^(x|(y^z)))&t)) + 18098692298733899692*(((z|~(x|~y))&~t)|((~(x|y)|~(y^z))&t)) + 5916880174586082596*((((x&y)^(x^(y&z)))&~t)|(~(x&(y^z))&t)) + 16706485198831292033*(((x&z)&~t)|((y^(~x&(y^z)))&t)) + 17402588748782595856*((((x|y)&(y^z))&~t)|((z^~(x|(y&z)))&t)) + 5568828399610430681*((((y&~z)^(~x|(y^z)))&~t)|(~(x&~x)&t)), x + y
9636358844475138905*~(x|(y|(~z|t))) + 15418174151160222241*(((z^~(x&(y&z)))&~t)|(~(~x|(~y|z))&t)) + 15418174151160222248*((~y&~t)|((z^(x|(~y|z)))&t)) + 9911683382888714308*(((x&y)&~t)|((~(x&~y)&(y^z))&t)) + 1651947230481452376*((~(x|~z)&~t)|((z^(~x|(y&z)))&t)) + 17070121381641674631*(((z^(x&~y))&~t)|((x^(~y|z))&t)) + 13215577843851619069*((((x&~y)|(x^(y^z)))&~t)|(((x&~y)|~(x^(y^z)))&t)) + 7709087075580111123*((~(x&(y&z))&~t)|(((y&~z)^(~x|(y^z)))&t)) + 7984411613993686520*((~z&~t)|((z^~(~x|(~y&z)))&t)) + 275324538413575396*(((~y&(x^z))&~t)|((y^~(x&z))&t)) + 11838955151783742077*(((y^~(x&(~y|z)))&~t)|((y^(~x&(y|z)))&t)) + 9085709767647988115*((~x&~t)|((z^(~x&(~y|z)))&t)) + 6332464383512234140*(((y^~(x&(y|z)))&~t)|((z^(~x&(y|z)))&t)) + 7433762537166535725*(((x&~z)&~t)|((z^~(x|y))&t)) + 1376622692067876988*(((y^~(~x|(~y&z)))&~t)|(((x&y)|~(x^(y^z)))&t)) + 550649076827150793*((((x|y)&(y^z))&~t)|(~(x&~z)&t)), x + y
7515340178177965469*(((~(x&~y)&~(x^(y^z)))&~t)|((~z&~(x^y))&t)) + 3416063717353620671*(((z^(~x&(y|z)))&~t)|((y&~z)&t)) + 17763531330238827484*((((x&y)^(x^(y&z)))&~t)|((z^(x|(y|z)))&t)) + 9564978408590137872*(((~(x^y)&~(x^z))&~t)|((y^(~x|(y&z)))&t)) + 17763531330238827484*(((y&(x|z))&~t)|((x&~y)&t)) + 4099276460824344803*(((x|~y)&~t)|((y&(x^z))&t)) + 16397105843297379214*((~(x|z)&~t)|((~x&(y|z))&t)) + 17080318586768103345*(((z^~(x|y))&~t)|((z^(x&y))&t)) + 2049638230412172400*(((y|~z)&~t)|(((x|y)&(x^(y^z)))&t)) + 17763531330238827482*((~(x|(y^z))&~t)|((x&y)&t)) + 15713893099826655077*((((x^y)|~(x^z))&~t)|((x^(y^z))&t)) + 17763531330238827473*(((~x&(~y&z))&~t)|(((x&z)|~(y|z))&t)) + 5465701947765793078*(((y^~(x|(~y&z)))&~t)|(((x&z)|~(y|z))&t)) + 15713893099826655085*(((y^~(~x&(y&z)))&~t)|((x|~y)&t)) + 17763531330238827484*(((~x|(y&z))&~t)|((y^~(x|(y&z)))&t)) + 3*((y&t)|~x), x + y
6776354965852488349*((~(~x&(~y|z))&~t)|((~(x&~y)&(y^z))&t)) + 18070279908939968929*((~(~x&(y^z))&~t)|((~y&~(x^z))&t)) + 3011713318156661489*(((y^(~x|(y^z)))&~t)|((y^~(x&~z))&t)) + 9788068284009149838*((((x&y)|~(y|z))&~t)|((z^(x&(y|z)))&t)) + 9788068284009149838*(((z^~(x&~y))&~t)|((y^~(~x&(~y|z)))&t)) + 7152819130622071036*(((x|z)&~t)|(~(x^(~y&z))&t)) + 3764641647695826861*((~(~x|(~y|z))&~t)|(((x|y)&~(x^(y^z)))&t)) + 16564423249861638185*(((~(x^y)&~(x^z))&~t)|((x^(y&z))&t)) + 15811494920322472812*(((y^(~x|(~y|z)))&~t)|(~(x&(y&z))&t)) + 376464164769582687*((~(x^(y^z))&~t)|(((x&y)|~(y|z))&t)) + 376464164769582686*((((x&y)|~(x^(y^z)))&~t)|(~(x^(~y|z))&t)) + 4894034142004574920*((~(~x|(y^z))&~t)|(~(~x&(~y|z))&t)) + 376464164769582686*((((y&~z)|~(~x|(~y&z)))&~t)|(~(~x&(~y|z))&t)) + 1505856659078330744*((((x&z)|(y&~z))&~t)|((x|(y^z))&t)) + 5270498306774157604*(((z|(x&~y))&~t)|(((x&y)|~(x^(y^z)))&t)) + 5646962471543740291*(((y^(x|(y^z)))&~t)|(~(~x&(y^z))&t)), x + y
4099276460824344799*(((~x&(~y&z))&~t)|(~(y|z)&t)) + 6148914691236517204*(((z&(x^y))&~t)|((z^(x|(y&z)))&t)) + 4099276460824344805*(((~(x&y)&~(y^z))&~t)|((~y&~(x^z))&t)) + 10248191152060862016*((((x&y)|~(x^(y^z)))&~t)|((z^~(~x&(y&z)))&t)) + 12297829382473034410*(((~y|~(x^z))&~t)|(~(x&z)&t)) + 2049638230412172393*(((~(x^y)|(x^z))&~t)|(~(x^(y^z))&t)) + 2049638230412172411*((~(~x&(y&z))&~t)|((~z|(x^y))&t)) + 12297829382473034416*((((y&~z)^(x|(y^z)))&~t)|((y^~(x&(y|z)))&t)) + 14347467612885206815*((~(x|(y|z))&~t)|((~z|~(x^y))&t)) + 10248191152060862020*(((~(x&y)&(x^(y^z)))&~t)|((z&~(x&~y))&t)) + 12297829382473034392*(((~(x|y)|(y^z))&~t)|(((x&y)^(x^(~y|z)))&t)) + 10248191152060862022*(((y^~(x|(y&z)))&~t)|(((x&y)^(x^(~y|z)))&t)) + 4099276460824344793*((~(y^z)&~t)|((y|(x^z))&t)) + 8198552921648689619*((~(x|(y|z))&~t)|((z|(x&y))&t)) + 8198552921648689601*((((x|~y)&(x^(y^z)))&~t)|((x|(~y|z))&t)) + 12297829382473034404*(((~(x^y)&~(x^z))&~t)|((y|z)&t)), x + y
