# 49374 + 3735936685*x
49374*(x&~y) + 18446744073709502242*~(x&y) + 3735887311*x, 49374 + 3735936685*x
3735936685*~(x^y) + 3735936685*y + 18446744066237678246*~(x&~y) + 18446744069973664305, 49374 + 3735936685*x
18446744073709502242*~y + 18446744073709502242*(x^y) + 18446744073709452868*(x&y) + 3735986059*x, 49374 + 3735936685*x
3735936685*~(x^y) + 18446744069973614931*y + 7471873370*(x|y) + 3735986059, 49374 + 3735936685*x
3735936685*(x&~y) + 18446744069973614931*(x^y) + 3735936685*(x|y) + 49374, 49374 + 3735936685*x
18446744073709502242*~x + 3735887311*(x^y) + 7471774622*(x&y) + 18446744069973664305*y, 49374 + 3735936685*x
18446744069973614931*~(x|y) + 3735887311*~(x&y) + 7471823996*(x&y) + 18446744069973614931*y, 49374 + 3735936685*x
18446744069973614931*~(x|y) + 13393289233917725770*~(x|~y) + 13393289237653662455*(x|~y) + 13393289233917775144, 49374 + 3735936685*x
18446744069973614931*(x^y) + 3735936685*y + 18446744066237678246*~(x&~y) + 18446744066237727620, 49374 + 3735936685*x
3735887311*~(x|y) + 18446744066237727620*~x + 3735887311*~(x&y) + 3735887311*y, 49374 + 3735936685*x
3735887311*(x&~y) + 3735936685*~(x^y) + 3735936685*y + 18446744069973565557*~(x&~y), 49374 + 3735936685*x
3735986059*~y + 18446744069973565557*~(x&y) + 18446744073709502242*(x|~y) + 3735936685*(x|y), 49374 + 3735936685*x
18446744073709502242*~y + 18446744069973565557*~(x|~y) + 49374*(x^y) + 3735887311*(x|y), 49374 + 3735936685*x
6945304780760682740*~x + 6945304784496619425*x + 6945304780760732114, 49374 + 3735936685*x
18446744073709502242*~(x|y) + 18446744073709502242*(x^y) + 18446744073709502242*(x&y) + 3735936685*x, 49374 + 3735936685*x
49374*~(x^y) + 3735887311*(x|~y) + 3735936685*y + 18446744069973565557*~(x&~y), 49374 + 3735936685*x
18446744069973614931*~(x|y) + 3735936685*(x&~y) + 18446744069973614931*(x^y) + 18446744069973664305, 49374 + 3735936685*x
18446744069973614931*~y + 18446744073709502242*(x^y) + 18446744069973565557*~(x^y) + 7471873370*(x|~y), 49374 + 3735936685*x
18446744069973664305*~(x|y) + 18446744073709502242*~y + 3735936685*(x|~y) + 18446744073709502242*~(x&~y), 49374 + 3735936685*x
18446744069973565557*~y + 18446744069973614931*~(x^y) + 7471873370*(x|~y) + 18446744073709502242*y, 49374 + 3735936685*x
16460257064128706245*~(x|~y) + 1986487005844908686*~x + 1986487009580845371*(x|y) + 1986487005844958060, 49374 + 3735936685*x
18446744069973664305*~(x|~y) + 18446744069973614931*~x + 3735887311*~(x&y) + 3735887311*y, 49374 + 3735936685*x
3735936685*~(x^y) + 18446744069973614931*~(x&~y) + 3735936685*(x|y) + 49374, 49374 + 3735936685*x
3735887311*~(x|~y) + 3735936685*(x&y) + 3735887311*(x|~y) + 18446744069973614931*~(x&~y), 49374 + 3735936685*x
11229240174491982703*~(x|y) + 11229240174491982703*~(x|~y) + 7217503899217519539*~x + 3735887311*x, 49374 + 3735936685*x
7471823996*(x&~y) + 18446744069973664305*(x^y) + 18446744073709502242*~(x&y) + 3735887311*y, 49374 + 3735936685*x
3735887311*(x^y) + 18446744069973614931*~(x&y) + 18446744073709502242*~(x^y) + 3735936685*(x|~y), 49374 + 3735936685*x
3735936685*(x&~y) + 13772388924579468627*~(x&y) + 13772388928315405312*(x&y) + 13772388924579518001, 49374 + 3735936685*x
11808224671730452732*~x + 11808224675466389417*(x&y) + 6638519398243162199*~(x&~y) + 18446744069973664305, 49374 + 3735936685*x
18446744073709502242*(x&~y) + 18446744073709502242*~(x|~y) + 18446744073709502242*~(x^y) + 3735936685*x, 49374 + 3735936685*x
18446744073709502242*~(x|y) + 3735887311*(x&~y) + 18446744073709502242*~(x|~y) + 3735887311*(x&y), 49374 + 3735936685*x
3735887311*~y + 7471873370*(x&y) + 18446744069973614931*~(x^y) + 18446744073709502242*y, 49374 + 3735936685*x
7471823996*~y + 7471823996*(x^y) + 18446744062501790935*~(x&y) + 3735887311*~(x&~y), 49374 + 3735936685*x
13201287270613981233*~(x|y) + 13201287274349967292*x + 5245456803095521009*(x|~y) + 18446744073709502242*(x|y), 49374 + 3735936685*x
18446744069973565557*~(x|y) + 3735887311*(x&~y) + 3735936685*~(x^y) + 18446744073709502242*y, 49374 + 3735936685*x
18446744066237678246*~(x|y) + 18446744069973614931*(x^y) + 18446744069973614931*y + 18446744066237727620, 49374 + 3735936685*x
3372163426828302376*~(x|y) + 3735936685*x + 3372163426828302376*(x|y) + 3372163426828351750, 49374 + 3735936685*x
18446744073709502242*~y + 3735887311*x + 49374*(x|~y) + 18446744073709502242*~(x&~y), 49374 + 3735936685*x
13149895850806531567*~(x|~y) + 18446744073709502242*~x + 13149895854542418878*x + 5296848222903020049*(x|y), 49374 + 3735936685*x
18446744073709502242*~(x|y) + 3735936685*(x&~y) + 18446744069973614931*(x^y) + 3735887311*(x|y), 49374 + 3735936685*x
11072757482152650901*~x + 11072757485888587586*x + 11072757482152700275, 49374 + 3735936685*x
49374*(x&~y) + 3735887311*~y + 18446744069973614931*~(x&y) + 3735887311*(x|y), 49374 + 3735936685*x
8978966097319092164*(x&~y) + 18446744069973614931*~(x&y) + 8978966093583155479*~(x&~y) + 8978966089847268168, 49374 + 3735936685*x
17625573714771220663*(x&~y) + 3735936685*(x&y) + 17625573711035283978*~(x&~y) + 17625573711035333352, 49374 + 3735936685*x
14997340342990819636*~x + 14997340342990869010*(x&y) + 3735887311*x + 3449403730718682606*~(x&~y), 49374 + 3735936685*x
266670794897052893*~(x|~y) + 266670798632989578*x + 18180073278812498723*(x|y) + 49374, 49374 + 3735936685*x
49374*~y + 3735936685*(x^y) + 18446744069973565557*~(x&y) + 3735887311*(x|~y), 49374 + 3735936685*x
17221110218876097506*x + 1225633858569390795*(x|~y) + 1225633858569390795*(x|y) + 1225633858569440169, 49374 + 3735936685*x
18446744069973565557*~(x|y) + 3735936685*~y + 18446744073709502242*(x^y) + 3735887311*(x&y), 49374 + 3735936685*x
18446744073709502242*~x + 3735887311*(x&y) + 18446744069973664305*y + 3735887311*(x|y), 49374 + 3735936685*x
3735986059*(x&y) + 18446744069973565557*~(x^y) + 3735936685*(x|~y) + 18446744073709502242*(x|y), 49374 + 3735936685*x
18446744073709502242*~(x|~y) + 49374*(x^y) + 18446744073709502242*~(x&y) + 3735887311*x, 49374 + 3735936685*x
18446744069973614931*~(x|~y) + 49374*(x&y) + 18446744073709502242*~(x^y) + 3735887311*(x|y), 49374 + 3735936685*x
18446744069973565557*~(x|y) + 49374*~y + 18446744073709502242*(x^y) + 3735887311*(x|~y), 49374 + 3735936685*x
3735887311*~y + 3735936685*~(x^y) + 7471823996*y + 18446744066237678246*~(x&~y), 49374 + 3735936685*x
18446744069973614931*~x + 18446744069973664305*(x&y) + 3735887311*~(x^y) + 3735887311*(x|y), 49374 + 3735936685*x
18446744069973614931*~(x|y) + 18446744073709502242*(x^y) + 18446744073709502242*~(x^y) + 3735936685*(x|~y), 49374 + 3735936685*x
10267972048832751129*(x&~y) + 18446744073709502242*~x + 10267972048832751129*(x&y) + 8178772028612687798*x, 49374 + 3735936685*x
3735887311*~(x|~y) + 18446744066237727620*~x + 3735887311*~(x&y) + 3735887311*~(x^y), 49374 + 3735936685*x
7471873370*(x&~y) + 18446744069973565557*~y + 3735936685*~(x^y) + 18446744073709502242*y, 49374 + 3735936685*x
18446744069973614931*~(x|~y) + 18446744073709502242*(x^y) + 18446744073709502242*~(x^y) + 3735936685*(x|y), 49374 + 3735936685*x
3735936685*(x&~y) + 18446744073709502242*~y + 18446744069973614931*~(x|~y) + 3735887311*y, 49374 + 3735936685*x
2667623885029180380*~(x|y) + 18446744073709502242*~x + 2667623888765067691*x + 15779120188680371236*(x|~y), 49374 + 3735936685*x
3735936685*x + 49374*y + 18446744073709502242*~(x&~y) + 18446744073709502242*(x|y), 49374 + 3735936685*x
8918389880992495937*~x + 8918389884728432622*x + 8918389880992545311, 49374 + 3735936685*x
18446744069973614931*~(x|y) + 3735936685*(x&~y) + 3735936685*~(x^y) + 49374, 49374 + 3735936685*x
49374*(x&y) + 3735887311*~(x^y) + 18446744069973614931*~(x&~y) + 3735887311*(x|y), 49374 + 3735936685*x
18446744069973614931*~(x|y) + 18446744066237727620*~(x|~y) + 3735887311*(x^y) + 3735887311*~(x&~y), 49374 + 3735936685*x
7471823996*~y + 18446744069973614931*(x^y) + 11207760681*y + 18446744066237678246*~(x&~y), 49374 + 3735936685*x
3735887311*~y + 3735887311*~(x|~y) + 7471823996*(x&y) + 18446744069973614931*~(x&~y), 49374 + 3735936685*x
3735887311*~(x|y) + 3735936685*(x&y) + 18446744069973614931*~(x&~y) + 3735887311*(x|y), 49374 + 3735936685*x
7471873370*(x&~y) + 3735936685*~(x^y) + 3735936685*y + 3735986059, 49374 + 3735936685*x
11611529731677096579*~(x|~y) + 3417607169148234489*~x + 15029136904561267753*(x|~y) + 3417607172884171174*(x|y), 49374 + 3735936685*x
3735936685*~y + 18446744073709502242*(x^y) + 7471873370*(x&y) + 18446744069973565557*~(x^y), 49374 + 3735936685*x
18446744073709502242*~(x|y) + 3735936685*~y + 18446744069973614931*~(x&y) + 3735887311*(x|y), 49374 + 3735936685*x
7471873370*(x&y) + 18446744069973614931*~(x^y) + 18446744069973614931*y + 18446744069973664305, 49374 + 3735936685*x
18446744069973614931*~x + 8352666999524669031*~(x&y) + 8352666999524669031*(x&y) + 8352666995788781720, 49374 + 3735936685*x
3735986059*(x&y) + 18446744073709502242*(x|~y) + 18446744069973565557*y + 3735936685*(x|y), 49374 + 3735936685*x
18446744073709502242*~y + 18446744069973565557*~(x|~y) + 3735936685*(x^y) + 3735887311*(x&y), 49374 + 3735936685*x
3735887311*(x&~y) + 18446744069973565557*~(x|~y) + 18446744073709502242*~(x^y) + 3735936685*y, 49374 + 3735936685*x
18446744069973664305*~(x|y) + 49374*(x&y) + 3735887311*(x|~y) + 18446744073709502242*~(x&~y), 49374 + 3735936685*x
3435073498714137025*~x + 3435073502450073710*x + 3435073498714186399, 49374 + 3735936685*x
3735936685*~y + 18446744066237628872*(x^y) + 18446744069973565557*~(x^y) + 7471873370*(x|y), 49374 + 3735936685*x
3735887311*~y + 3735887311*~(x|~y) + 18446744066237727620*~x + 3735887311*~(x&~y), 49374 + 3735936685*x
3735887311*~y + 3735887311*~(x|~y) + 18446744069973614931*~x + 3735887311*(x&y), 49374 + 3735936685*x
18446744073709502242*~y + 18446744066237678246*~(x|~y) + 3735936685*(x^y) + 3735887311*y, 49374 + 3735936685*x
3735936685*~y + 18446744066237678246*~(x&y) + 18446744069973614931*~(x^y) + 18446744066237727620, 49374 + 3735936685*x
3735936685*(x&~y) + 3735887311*(x^y) + 18446744069973614931*~(x&y) + 3735887311*~(x^y), 49374 + 3735936685*x
6814315747829942159*~x + 6814315751565878844*x + 6814315747829991533, 49374 + 3735936685*x
9851850400414756577*~(x|y) + 18446744073709502242*~x + 9851850404150643888*x + 8594893673294795039*(x|~y), 49374 + 3735936685*x
3761288059778350503*~(x|~y) + 14685456013931151739*~x + 14685456017667088424*x + 3761288059778350503*(x|~y), 49374 + 3735936685*x
11060182726336702275*~(x|y) + 3693280671818431641*~x + 3693280675554368326*(x|~y) + 14753463401891070601*(x|y), 49374 + 3735936685*x
13559614672761376121*~(x&y) + 13559614672761376121*(x&y) + 3735936685*x + 13559614672761425495, 49374 + 3735936685*x
18446744073709502242*(x^y) + 3735936685*(x&y) + 18446744069973565557*~(x^y) + 3735936685*(x|~y), 49374 + 3735936685*x
3735887311*~y + 18446744073709502242*~x + 7471774622*(x&y) + 18446744069973664305*~(x^y), 49374 + 3735936685*x
16088777045887585756*~(x|y) + 18446744073709502242*~(x|~y) + 16088777049623522441*x + 2357967027821916486*(x|~y), 49374 + 3735936685*x
5317760764546172216*~(x|y) + 18446744069973614931*~x + 5317760764546172216*(x|y) + 5317760760810284905, 49374 + 3735936685*x
1478361510448831611*~(x|y) + 18446744073709502242*~x + 1478361514184718922*x + 16968382563260720005*(x|~y), 49374 + 3735936685*x
18446744069973614931*~(x|~y) + 3735936685*(x^y) + 18446744069973614931*~(x&y) + 18446744069973664305, 49374 + 3735936685*x
18446744073709502242*~(x|y) + 18446744069973614931*(x^y) + 18446744069973614931*y + 7471823996*(x|y), 49374 + 3735936685*x
49374*~(x^y) + 3735986059*x + 18446744073709452868*(x|~y) + 18446744073709502242*y, 49374 + 3735936685*x
18446744069973614931*~y + 18446744066237678246*~(x|~y) + 7471823996*(x^y) + 3735887311*~(x^y), 49374 + 3735936685*x
2845143126550827354*~(x|y) + 18446744073709502242*~(x|~y) + 2845143130286764039*x + 15601600947158674888*(x|~y), 49374 + 3735936685*x
18446744073709502242*~y + 3735936685*(x|~y) + 3735887311*y + 18446744069973614931*~(x&~y), 49374 + 3735936685*x
3735887311*(x&~y) + 1072462292729320858*~x + 1072462296465257543*(x&y) + 17374281780980181384*~(x&~y), 49374 + 3735936685*x
13510837825642803242*~(x&y) + 13510837825642803242*(x&y) + 3735936685*x + 13510837825642852616, 49374 + 3735936685*x
98748*(x&~y) + 18446744073709502242*~y + 18446744073709502242*(x^y) + 3735887311*x, 49374 + 3735936685*x
7471873370*(x&~y) + 18446744069973565557*(x^y) + 18446744073709502242*~(x^y) + 3735936685*y, 49374 + 3735936685*x
18446744073709502242*~(x&y) + 3735887311*x + 18446744073709502242*y + 49374*(x|y), 49374 + 3735936685*x
18446744069973614931*~(x|y) + 3735936685*(x&y) + 18446744069973614931*y + 18446744069973664305, 49374 + 3735936685*x
8039781602467699889*(x&~y) + 18446744069973614931*~(x&y) + 8039781598731763204*~(x&~y) + 8039781594995875893, 49374 + 3735936685*x
18446744069973614931*~(x|y) + 3735887311*~y + 18446744069973614931*~(x|~y) + 3735887311*y, 49374 + 3735936685*x
16464492137052641512*~x + 16464492140788578197*(x&y) + 1982251932920973419*~(x&~y) + 18446744069973664305, 49374 + 3735936685*x
18446744073709502242*(x&~y) + 3735936685*~(x^y) + 18446744069973565557*~(x&~y) + 3735936685*(x|y), 49374 + 3735936685*x
18446744066237628872*~y + 3735936685*(x^y) + 7471873370*(x|~y) + 18446744069973565557*y, 49374 + 3735936685*x
10344984632893462544*~(x|y) + 10344984629157575233*~(x|~y) + 8101759440816039698*~x + 3735887311*(x|y), 49374 + 3735936685*x
18446744066237678246*~(x|y) + 3735936685*~y + 18446744073709502242*(x^y) + 3735887311*~(x^y), 49374 + 3735936685*x
7161993657350401341*~(x|y) + 18446744073709502242*~x + 7161993661086288652*x + 11284750416359150275*(x|~y), 49374 + 3735936685*x
18446744069973664305*~(x|y) + 3735887311*(x&~y) + 18446744073709502242*~x + 3735887311*~(x^y), 49374 + 3735936685*x
18446744069973614931*~(x|y) + 49374*(x&y) + 3735887311*(x|~y) + 18446744073709502242*y, 49374 + 3735936685*x
18446744066237727620*~(x|y) + 3735887311*~y + 18446744073709502242*~(x|~y) + 3735887311*~(x^y), 49374 + 3735936685*x
18446744069973614931*~(x|y) + 18446744069973614931*~(x&y) + 18446744069973614931*y + 18446744066237727620, 49374 + 3735936685*x
4633997866621533999*~(x|y) + 4633997870357520058*x + 13812746207087968243*(x|~y) + 18446744073709502242*(x|y), 49374 + 3735936685*x
18446744073709452868*~(x|y) + 49374*~y + 18446744073709502242*(x^y) + 3735887311*x, 49374 + 3735936685*x
11555924455347083935*~(x|~y) + 6890819618362418307*~x + 6890819622098354992*x + 11555924455347083935*(x|~y), 49374 + 3735936685*x
18446744073709502242*~(x|y) + 49374*~(x^y) + 3735887311*x + 18446744073709502242*~(x&~y), 49374 + 3735936685*x
12306837711047192169*~y + 6139906362662310073*~x + 6139906366398246758*x + 12306837711047192169*y, 49374 + 3735936685*x
18446744069973614931*~y + 18446744069973614931*~(x|~y) + 18446744069973614931*~(x&~y) + 18446744066237727620, 49374 + 3735936685*x
2928751204962763357*~y + 15517992868746738885*~x + 15517992872482675570*x + 2928751204962763357*y, 49374 + 3735936685*x
11597392327363166862*~(x|y) + 18446744069973614931*~x + 11597392327363166862*(x|y) + 11597392323627279551, 49374 + 3735936685*x
3436878737187968661*~y + 15009865336521533581*~x + 15009865340257470266*x + 3436878737187968661*y, 49374 + 3735936685*x
3735986059*(x&~y) + 18446744069973565557*~y + 3735936685*(x|~y) + 18446744073709502242*(x|y), 49374 + 3735936685*x
6665722377824060626*~(x|y) + 18446744069973614931*~x + 6665722377824060626*(x|y) + 6665722374088173315, 49374 + 3735936685*x
3735936685*(x&~y) + 3735986059*(x&y) + 18446744073709502242*~(x^y) + 18446744073709502242*(x|y), 49374 + 3735936685*x
18446744069973614931*~(x&y) + 18446744066237727620*~(x^y) + 7471823996*(x|~y) + 3735887311*~(x&~y), 49374 + 3735936685*x
18446744073709502242*~(x|y) + 18446744066237727620*~(x|~y) + 3735887311*(x^y) + 3735887311*y, 49374 + 3735936685*x
11910282440780881750*~(x|~y) + 11910282444516818435*(x|~y) + 3735936685*(x|y) + 11910282444516867809, 49374 + 3735936685*x
11066010028651751479*~x + 7380734045057750763*(x^y) + 7380734045057750763*~(x^y) + 11066010032387688164*x, 49374 + 3735936685*x
17262294990458384667*~(x|y) + 17262294990458384667*~(x|~y) + 1184449083251117575*~x + 3735887311*x, 49374 + 3735936685*x
18446744069973614931*~x + 1046018367153758216*~(x&y) + 1046018367153758216*(x&y) + 1046018363417870905, 49374 + 3735936685*x
3735887311*~(x|y) + 18446744069973614931*~x + 3735887311*(x^y) + 3735887311*(x&y), 49374 + 3735936685*x
16833174881820525831*~(x&y) + 16833174885556462516*(x&y) + 18446744069973614931*~(x&~y) + 16833174878084638520, 49374 + 3735936685*x
3735887311*(x^y) + 7471873370*(x&y) + 18446744073709502242*~(x^y) + 18446744069973614931*y, 49374 + 3735936685*x
18446744069973614931*~x + 18446744069973664305*(x^y) + 3735887311*~(x&y) + 3735887311*(x|y), 49374 + 3735936685*x
18446744069973614931*(x^y) + 18446744069973614931*y + 7471873370*(x|y) + 49374, 49374 + 3735936685*x
18446744069973614931*~(x|y) + 7471823996*(x&~y) + 18446744069973614931*(x^y) + 3735887311*~(x&~y), 49374 + 3735936685*x
4197291262134761271*x + 14249452815310727030*(x|~y) + 14249452815310727030*(x|y) + 14249452815310776404, 49374 + 3735936685*x
12966354242027328349*~(x|y) + 3735936685*(x|~y) + 12966354245763265034*(x|y) + 12966354245763314408, 49374 + 3735936685*x
11952475531296056105*~(x|y) + 11952475531296056105*~(x|~y) + 11952475535031992790*x + 11952475531296105479, 49374 + 3735936685*x
4796279262875152968*~x + 16048604442271950445*~(x&y) + 2398139635173488482*x + 16048604442271950445*~(x&~y), 49374 + 3735936685*x
9456396207628598451*~x + 9456396211364535136*x + 9456396207628647825, 49374 + 3735936685*x
18446744073709502242*~y + 49374*(x^y) + 3735986059*x + 18446744073709452868*(x|y), 49374 + 3735936685*x
18446744073709502242*~x + 3735887311*(x^y) + 18446744069973664305*~(x&y) + 3735887311*(x|~y), 49374 + 3735936685*x
18446744069973614931*~(x&y) + 18446744069973614931*~(x^y) + 3735936685*(x|~y) + 18446744069973664305, 49374 + 3735936685*x
1238158154809047983*~(x|y) + 18446744073709502242*~(x|~y) + 1238158158544984668*x + 17208585918900454259*(x|~y), 49374 + 3735936685*x
18446744066237678246*~(x|y) + 3735887311*(x^y) + 7471823996*~(x^y) + 18446744069973614931*y, 49374 + 3735936685*x
10310696224809091606*~x + 8136047848900410636*(x^y) + 8136047848900410636*~(x^y) + 10310696228545028291*x, 49374 + 3735936685*x
18446744069973614931*~(x|~y) + 49374*y + 18446744073709502242*~(x&~y) + 3735887311*(x|y), 49374 + 3735936685*x
13282792514902514417*(x&y) + 5163951562542973884*x + 5163951558807037199*~(x&~y) + 5163951558807086573, 49374 + 3735936685*x
1237694667434284992*~x + 1237694671170221677*x + 1237694667434334366, 49374 + 3735936685*x
49374*~(x|y) + 18446744073709502242*~y + 3735936685*x + 18446744073709502242*~(x&~y), 49374 + 3735936685*x
18446744066237678246*~(x|y) + 7471823996*~y + 18446744069973614931*(x^y) + 3735887311*y, 49374 + 3735936685*x
18446744066237678246*~(x|~y) + 3735936685*(x^y) + 3735936685*y + 49374, 49374 + 3735936685*x
18446744066237727620*~(x|~y) + 3735887311*~(x&y) + 7471823996*y + 18446744069973614931*~(x&~y), 49374 + 3735936685*x
49374*~(x|~y) + 18446744073709502242*(x^y) + 3735936685*x + 18446744073709502242*~(x&~y), 49374 + 3735936685*x
18446744069973565557*~(x|y) + 3735936685*~(x^y) + 18446744069973614931*y + 3735887311*(x|y), 49374 + 3735936685*x
18446744073709452868*(x&~y) + 18446744073709502242*~(x^y) + 3735986059*x + 18446744073709502242*y, 49374 + 3735936685*x
2624279401119379545*(x&~y) + 15822464672590122697*~x + 15822464676326059382*x + 2624279401119379545*~(x&~y), 49374 + 3735936685*x
3597693801938718419*(x&~y) + 18446744069973614931*~(x&y) + 3597693798202781734*~(x&~y) + 3597693794466894423, 49374 + 3735936685*x
12297829379982393496*~x + 12297829383718330181*(x^y) + 6148914693727108746*(x|~y) + 12297829383718330181*y, 49374 + 3735936685*x
18446744069973664305*~(x|~y) + 3735887311*(x^y) + 3735936685*(x&y) + 18446744073709502242*~(x&~y), 49374 + 3735936685*x
3735887311*(x^y) + 7471823996*~(x^y) + 3735936685*y + 18446744066237678246*~(x&~y), 49374 + 3735936685*x
18446744069973614931*~(x|~y) + 3735936685*(x^y) + 18446744073709502242*~(x&y) + 3735887311*(x&y), 49374 + 3735936685*x
3735986059*(x&~y) + 18446744073709502242*~y + 18446744069973614931*(x^y) + 3735887311*(x|y), 49374 + 3735936685*x
18446744069973614931*~(x|y) + 3735936685*(x&~y) + 18446744073709502242*(x^y) + 3735887311*~(x^y), 49374 + 3735936685*x
17784195550448023233*(x&~y) + 17784195542976199237*~x + 662548526997415694*~(x&y) + 3735887311*~(x&~y), 49374 + 3735936685*x
8949297904297719541*~(x|~y) + 8949297908033656226*(x|~y) + 3735936685*(x|y) + 8949297908033705600, 49374 + 3735936685*x
18446744069973614931*~(x|~y) + 49374*(x^y) + 18446744073709502242*~(x&y) + 3735887311*(x|y), 49374 + 3735936685*x
14425806920979425999*(x&~y) + 4020937152730125617*~(x&y) + 4020937156466062302*x + 4020937152730174991, 49374 + 3735936685*x
16983381880250227872*(x&~y) + 18446744073709502242*~x + 16983381880250227872*(x&y) + 1463362197195211055*x, 49374 + 3735936685*x
3613753815893447084*~x + 3613753819629383769*x + 3613753815893496458, 49374 + 3735936685*x
3735936685*(x&~y) + 18446744069973614931*~y + 18446744069973614931*~(x|~y) + 18446744069973664305, 49374 + 3735936685*x
10669167905339230603*~x + 10669167909075167288*(x|~y) + 10669167909075167288*(x|y) + 2891591740704895649, 49374 + 3735936685*x
14804455200195984308*~(x|y) + 14804455203931920993*x + 3642288873513567308*(x|~y) + 49374, 49374 + 3735936685*x
6148914689991188519*~(x&y) + 6148914693727125204*(x|~y) + 6148914689991188519*~(x&~y) + 6148914693727125204*(x|y), 49374 + 3735936685*x
5833436201040760897*~x + 5833436204776697582*x + 5833436201040810271, 49374 + 3735936685*x
18446744069973565557*~(x|y) + 3735936685*~y + 3735936685*(x&y) + 18446744073709502242*(x|y), 49374 + 3735936685*x
3735887311*(x&~y) + 15712871433414069475*~x + 15712871437150006160*(x&y) + 2733872640295432767*~(x&~y), 49374 + 3735936685*x
18446744069973614931*~(x|y) + 3735936685*~(x^y) + 18446744069973614931*~(x&~y) + 18446744069973664305, 49374 + 3735936685*x
748584903148064906*~(x|y) + 748584899412177595*~(x|~y) + 17698159170561437336*~x + 3735887311*(x|y), 49374 + 3735936685*x
49374*(x&~y) + 18446744069973664305*~(x|~y) + 18446744073709502242*~(x&y) + 3735887311*(x|y), 49374 + 3735936685*x
16554970139422031114*~(x&y) + 16554970139422031114*(x&y) + 3735936685*x + 16554970139422080488, 49374 + 3735936685*x
6234103900762756320*(x&~y) + 3735936685*(x&y) + 6234103897026819635*~(x&~y) + 6234103897026869009, 49374 + 3735936685*x
3735936685*(x&~y) + 18446744073709502242*~(x|~y) + 3735936685*(x&y) + 18446744073709502242*(x|~y), 49374 + 3735936685*x
13759414807246432752*~x + 13759414807246482126*(x&y) + 3735887311*x + 4687329266463069490*~(x&~y), 49374 + 3735936685*x
5783988274070744539*~x + 5783988274070793913*(x&y) + 3735887311*x + 12662755799638757703*~(x&~y), 49374 + 3735936685*x
18446744069973664305*~(x|y) + 18446744073709502242*~(x&y) + 18446744073709502242*~(x^y) + 3735936685*(x|~y), 49374 + 3735936685*x
18446744069973614931*~y + 18446744062501790935*~(x|~y) + 7471823996*(x^y) + 3735887311*~(x&~y), 49374 + 3735936685*x
3735887311*(x&~y) + 18446744069973614931*~y + 3735936685*(x|~y) + 18446744073709502242*~(x&~y), 49374 + 3735936685*x
18446744073709502242*~(x|y) + 49374*~y + 18446744073709502242*~(x&y) + 3735887311*x, 49374 + 3735936685*x
8579400726070343825*~x + 8579400729806280510*x + 8579400726070393199, 49374 + 3735936685*x
18446744069973664305*~(x|~y) + 18446744069973614931*~x + 3735887311*(x^y) + 3735887311*~(x&~y), 49374 + 3735936685*x
7471922744*(x&~y) + 18446744069973565557*(x^y) + 18446744073709502242*(x|~y) + 3735936685*y, 49374 + 3735936685*x
12297829383718330181*~y + 12297829379982393496*~x + 12297829383718330181*~(x^y) + 6148914693727108746*(x|y), 49374 + 3735936685*x
18446744069973614931*~y + 3735936685*~(x^y) + 18446744066237678246*~(x&~y) + 18446744066237727620, 49374 + 3735936685*x
3735936685*(x^y) + 7471873370*(x|~y) + 3735936685*y + 7471922744, 49374 + 3735936685*x
7471873370*(x&~y) + 18446744069973614931*(x^y) + 3735936685*y + 49374, 49374 + 3735936685*x
18446744073709502242*~y + 18446744069973614931*~(x|~y) + 18446744073709502242*y + 3735936685*(x|y), 49374 + 3735936685*x
18446744066237727620*~(x|y) + 7471823996*~y + 18446744069973614931*~(x&y) + 3735887311*~(x&~y), 49374 + 3735936685*x
18446744073709502242*(x^y) + 3735887311*x + 18446744073709502242*~(x&~y) + 49374*(x|y), 49374 + 3735936685*x
12320779065926222727*~(x|y) + 12320779069662159412*x + 6125965007783328889*(x|~y) + 49374, 49374 + 3735936685*x
1547715125209315379*~x + 1547715128945252064*x + 1547715125209364753, 49374 + 3735936685*x
18446744073709502242*(x&~y) + 18446744069973614931*~(x|~y) + 18446744073709502242*~(x&~y) + 3735936685*(x|y), 49374 + 3735936685*x
3735936685*(x&~y) + 18446744073709502242*~y + 3735936685*(x&y) + 18446744073709502242*y, 49374 + 3735936685*x
7471823996*(x&~y) + 18446744069973664305*~y + 18446744073709502242*~(x&y) + 3735887311*~(x^y), 49374 + 3735936685*x
49374*(x&~y) + 3735887311*(x^y) + 18446744069973614931*~(x&y) + 3735887311*(x|~y), 49374 + 3735936685*x
3735887311*~(x|y) + 3735887311*(x&~y) + 18446744069973614931*~x + 3735887311*y, 49374 + 3735936685*x
3592815427053271805*~x + 3592815430789208490*x + 3592815427053321179, 49374 + 3735936685*x
3532964616655104767*~(x|~y) + 18446744073709502242*~x + 3532964620390992078*x + 14913779457054446849*(x|y), 49374 + 3735936685*x
17711224764427108032*~y + 735519309282394210*~x + 735519313018330895*x + 17711224764427108032*y, 49374 + 3735936685*x
9511666880157321217*(x&~y) + 9511666880157321217*(x&y) + 8935077197288167084*x + 49374, 49374 + 3735936685*x
11572408638656062532*~(x|~y) + 11572408642391999217*x + 6874335435053489084*(x|y) + 49374, 49374 + 3735936685*x
3735936685*(x&~y) + 18446744069973565557*(x^y) + 18446744073709502242*~(x^y) + 3735936685*(x|y), 49374 + 3735936685*x
