# 49374 + 3735936685*(x^y)
18446744066237678246*~(x|z) + 18446744069973614931*(z^~(~x&(~y&z))) + 14943697366*~(x|~y) + 18446744069973614931*~(x^(y^z)) + 18446744069973614931*~(~x|(y^z)) + 18446744069973614931*((x|~y)&(x^(y^z))) + 14943697366*(x|~y) + 18446744066237678246*(z|(x&y)), 49374 + 3735936685*(x^y)
3735936685*~(x|(y|z)) + 11207661933*(y^(~x|(y&z))) + 18446744069973664305*((x|~y)&~(x^(y^z))) + 18446744066237727620*~(x&(~y|z)) + 11207711307*(y^(x&(y|z))) + 18446744069973664305*(~(x|y)|~(x^(y^z))) + 18446744069973614931*(z^(~x&(~y|z))) + 3735887311*~(~x&(y^z)), 49374 + 3735936685*(x^y)
3735837937*~z + 7471675874*(~y&~(x^z)) + 18446744069973664305*((x|~y)&(y^z)) + 14943351748*(y^(x&z)) + 18446744058766249242*(~(x|~y)|~(x^(y^z))) + 98748*(y^(x|(y^z))) + 18446744069973763053*x + 3735739189*(x|(~y|z)), 49374 + 3735936685*(x^y)
3735887311*~(~x|(y|z)) + 3735936685*(x&(~y&z)) + 18446744069973664305*(x&z) + 18446744073709502242*(y^(~x|(~y&z))) + 3735887311*(y^(x&(y^z))), 49374 + 3735936685*(x^y)
7471873370*(z&(x^y)) + 12297829379982393496*~(x^(y^z)) + 12297829383718330181*(~x|(~y&z)) + 12297829383718330181*(z^(x&y)) + 6148914693727108746*((x|y)&(x^(y^z))) + 12297829383718330181*(y^~(x&(y|z))) + 18446744069973614931*z, 49374 + 3735936685*(x^y)
11207908803*(y^~(~x&(y^z))) + 18446744069973614931*((x|~y)&~(x^(y^z))) + 18446744066237530124*(y^z) + 3735986059*~(x|~y) + 3735936685*(y&(x^z)) + 18446744069973565557*(z^~(x&y)) + 7471972118*((x&y)|~(y|~z)) + 18446744069973516183*((x&~y)|~(y^z)), 49374 + 3735936685*(x^y)
7471922744*(y^z) + 18446744069973565557*~(x&(y&z)) + 18446744066237628872*((x&y)|(y^z)) + 3735936685*(x|y) + 3735936685*(~x|(~y|z)), 49374 + 3735936685*(x^y)
18446744069973614931*~(x|(y&z)) + 3735986059*(z^(~x|(y&z))) + 49374*(x&(y^z)) + 18446744073709452868*(~(x&y)&(y^z)) + 18446744073709452868*(z^~(~x&(y&z))) + 3736035433*(x^(y|z)) + 18446744073709502242*(z|(x&~y)), 49374 + 3735936685*(x^y)
18446744069973664305*(~z&~(x^y)) + 18446744073709502242*(y^~(x&(y^z))) + 3735936685*(z^~(~x|(~y&z))) + 3735887311*(y|~(x^z)) + 18446744069973614931*(z|(x&y)), 49374 + 3735936685*(x^y)
18446744069973664305*~(~x|(y|z)) + 18446744073709403494*(x^(y|z)) + 3735986059*((x|y)&~(x^(y^z))) + 18446744069973516183*(x&z) + 7471972118*~(x^(~y|z)) + 18446744069973516183*((x&z)|(y&~z)) + 18446744073709502242*~(y^z) + 98748*((y&z)|(~x&(y|z))), 49374 + 3735936685*(x^y)
18446744069973664305*~(x|y) + 3735887311*(y^~(x&(~y&z))) + 3735887311*((x|y)&~(x^(y^z))) + 18446744069973565557*~(x^(y&z)) + 3735936685*(y^(~x|(y^z))) + 18446744069973614931*(~(x&~y)&~(y^z)) + 7471873370*((x&z)^~(x^(~y&z))) + 18446744069973614931*((x&y)|~(x^(y^z))), 49374 + 3735936685*(x^y)
18446744069973614931*(y^~(x&(y^z))) + 7471823996*~(~x|(y&z)) + 18446744069973664305*((y&z)^~(~x&(y^z))) + 7471823996*~(x|(~y&z)) + 3735887311*(x|~y) + 18446744069973614931*(y|~(x^z)), 49374 + 3735936685*(x^y)
18446744069973664305*(~(x^y)&(x^z)) + 3735887311*(~y|(x^z)) + 11207711307*(x^(y^z)) + 18446744066237727620*(~(x|y)|(x^(y^z))) + 18446744069973614931*(y^(~x&(y|z))) + 18446744069973664305*(z|(x&~y)) + 3735887311*(z|~(x^y)), 49374 + 3735936685*(x^y)
18446744073709502242*((x|~y)&~(x^(y^z))) + 3735936685*((x^y)&(x^z)) + 18446744069973614931*(~x&(~y|z)) + 3735887311*~(x&y) + 49374*(~y|(x^z)) + 3735936685*(y^(~x&(y^z))) + 18446744069973565557*(z^~(~x|(y&z))), 49374 + 3735936685*(x^y)
18446744073709502242*~(x|~z) + 3735936685*(x^y) + 18446744073709502242*(x|~z), 49374 + 3735936685*(x^y)
13867379440105491686*(~y&(x^z)) + 9201824448217869387*(y^(x|(y|z))) + 18446744073709502242*((x&z)^~(y&~z)) + 3735936685*(~x&(y|z)) + 13824284262831678844*((y&~z)|~(~x|(~y&z))) + 13824284255359805474*(y^~(x|~z)) + 9244919629227569540*((x&z)|(y&~z)), 49374 + 3735936685*(x^y)
18446744051294129002*(~y&~(x^z)) + 18679535303*~(x&(y|z)) + 14943598618*((x&~y)|~(x^(y^z))) + 11207711307*~(~x|(y^z)) + 18679485929*(y^(~x&(~y|z))) + 18446744032614593699*~(x&(~y&z)) + 7471823996*(y|~(x^z)) + 3735887311*(z|~(x|y)), 49374 + 3735936685*(x^y)
7471823996*~(~x|(y|z)) + 18446744069973614931*~(x|(y&z)) + 18446744066237678246*(~y|(x^z)) + 18446744062501741561*(z^(~x|(~y&z))) + 3735936685*~(y&~z) + 18446744062501741561*(z|(x&y)) + 18679634051*(~x|(y|z)), 49374 + 3735936685*(x^y)
12297829383718346639*(~(x&~y)&(y^z)) + 6148914689991204977*~x + 18446744069973614931*((x&z)^(y|z)) + 12297829391190170635*(y^~(~x&(y&z))) + 7471823996*((x|y)&(x^(y^z))) + 12297829379982409954*((x&y)|~(y|z)) + 12297829372510585958*(y^~(x&(y&z))) + 12297829387454233950*(y^(~x|(~y&z))), 49374 + 3735936685*(x^y)
3736134181*(~(x&y)&(x^(y^z))) + 18446744073709502242*((x^y)&~(x^z)) + 18446744069973664305*(z^~(x&(~y&z))) + 3735837937*((x&~y)|(y^z)) + 18446744073709403494*((x&y)^(y|~z)) + 3736035433*(~(x&y)&~(x^(y^z))) + 7471972118*((x&z)|~(y|z)) + 18446744066237530124*(y^~(x&(y&z))), 49374 + 3735936685*(x^y)
8302006418391344190*(z^(x|(y|z))) + 10144737659054144111*(y^(x|z)) + 2767335469061161587*((x|~y)&(y^z)) + 12912073128115305698*~x + 16604012836782688380*~(x^(~y&z)) + 7377402186256996465*((x|y)&~(x^(y^z))) + 7377402182521059780*(z^~(x&y)) + 11069341891188442462*((x|~y)&(x^(y^z))), 49374 + 3735936685*(x^y)
18446744073709502242*~(x|(y|z)) + 18446744066237628872*(~z&(x^y)) + 3735936685*(x&~z) + 3735936685*((y&~z)|~(x|(~y&z))) + 3735887311*~(x|~z) + 11207810055*~(x^(~y|z)) + 18446744066237628872*(x&(y|z)) + 18446744069973614931*~(x&(y^z)), 49374 + 3735936685*(x^y)
18446744069973664305*~(~x|(~y|z)) + 18446744069973664305*(z&(x^y)) + 3735936685*(y^(x|(~y&z))) + 18446744073709502242*(~(x|~y)|(y^z)) + 18446744069973614931*(y^~(x&z)) + 3735887311*~(~x&(y^z)), 49374 + 3735936685*(x^y)
18446744073709502242*(x&~z) + 3735887311*(y^~(x&(~y&z))) + 98748*~(y|~z) + 7471823996*(z&~(x&y)) + 3735986059*((x|y)&(x^(y^z))) + 18446744073709452868*(z^(~x&(y|z))) + 7471922744*((x&~y)|~(y^z)) + 18446744062501692187*~(y&~z), 49374 + 3735936685*(x^y)
18446744069973565557*(z^(~x|(y&z))) + 18446744069973614931*(~(x&y)&~(y^z)) + 18446744073709502242*(y&(x^z)) + 7471873370*(y^~(~x&(y|z))) + 18446744073709502242*((x|~y)&(x^(y^z))), 49374 + 3735936685*(x^y)
3735986059*~(x|(y&z)) + 49374*~(x&(~y|z)) + 18446744073709452868*(y^(x&(~y|z))) + 18446744066237480750*((y&~z)^(~x|(y^z))) + 3735986059*(y^~(~x&(y&z))) + 18446744066237480750*(y^~(x|(~y&z))) + 18446744073709502242*(y&~(x&~z)) + 7472070866*((x&y)|~(x^(y^z))), 49374 + 3735936685*(x^y)
14041093732547516073*(y&~z) + 14041093725075593329*(z^(~x|(y|z))) + 4405650344898021602*(z^~(x&~y)) + 5229793039015634932*~(x|(y^z)) + 8811300689795944456*(~(x&~y)&~(x^(y^z))) + 3735887311*(y^~(~x&(y|z))) + 14041093728811530014*((x&y)|~(y|~z)) + 4405650344897972228*(~x|(y&z)), 49374 + 3735936685*(x^y)
18446744073709502242*(~(x^y)&(x^z)) + 3735887311*(x&~y) + 3735936685*(y^~(~x|(~y&z))) + 18446744073709502242*((x&y)^(y|~z)) + 3735837937*(x&(y&z)) + 18446744069973664305*~(~x|(y^z)), 49374 + 3735936685*(x^y)
14943647992*(x&~z) + 18446744069973614931*((y&z)^~(x&(y^z))) + 14943697366*~x + 18446744062501790935*((y&~z)^(~x|(y^z))) + 18446744058765854250*((x&y)|(x^(y^z))) + 7471873370*((y&~z)^(x|(y^z))) + 7471823996*(z^~(x|~y)) + 18446744073709502242*(z|~(x|y)), 49374 + 3735936685*(x^y)
6148914689991254351*(~x&(~y&z)) + 18446744073709502242*(y^~(x&(~y&z))) + 12297829383718346639*(~(x|y)|(y^z)) + 6148914689991204977*(z^(x|~y)) + 12297829379982409954*(y^~(x|~z)) + 12297829379982409954*((x&y)|~(y|~z)) + 18446744073709502242*(y|z) + 12297829387454283324*(x|(y|z)), 49374 + 3735936685*(x^y)
18446744062501790935*(y^~(x&(y^z))) + 18446744069973664305*~(x|~z) + 18446744069973614931*(y^~(x&z)) + 18446744066237727620*(z^~(x|~y)) + 3735936685*(x|(y^z)) + 18446744058765903624*((y&z)|(x&(y|z))) + 14943647992*(x|(~y|z)) + 7471774622*(y|z), 49374 + 3735936685*(x^y)
3735903769*((x&y)^~(x^(y&z))) + 18446744069973631389*((x&y)^~(x^(~y|z))) + 18446744066237727620*(z&~(x^y)) + 18446744069973598473*~(x^z) + 7471840454*((y&~z)^(x|(y^z))) + 7471856912*(y|(x&~z)) + 18446744066237661788*(z^~(~x|(y&z))) + 3735920227*z, 49374 + 3735936685*(x^y)
18446744069973614931*~(~x|(~y|z)) + 3735837937*(~x&(~y&z)) + 18446744069973614931*(~(x^y)&~(x^z)) + 3735887311*(z^(~x|(~y&z))) + 18446744069973664305*(z&~(x^y)) + 3735887311*(x|(y&z)), 49374 + 3735936685*(x^y)
7471823996*(y^~(~x&(~y&z))) + 7471873370*(y&(x^z)) + 18446744066237678246*(z^(x|~y)) + 18446744069973614931*(x|(~y&z)) + 18446744069973565557*(y|~(x|~z)) + 7471873370*(y|(x^z)), 49374 + 3735936685*(x^y)
6148914693727158120*(x&~y) + 12297829383718379555*(y&(x^z)) + 18446744073709502242*~(x&z) + 6148914689991221435*~(~x|(y^z)) + 6148914689991172061*(y^~(x|(~y&z))) + 12297829383718379555*(y^~(x|(y^z))) + 6148914689991172061*(x&(y|z)) + 6148914693727108746*(y^~(~x|(y&z))), 49374 + 3735936685*(x^y)
3735936685*(z^(~x|(~y|z))) + 18446744069973614931*(z^(x|(y&z))) + 3735936685*(y^(x|z)) + 18446744069973614931*~(y&z) + 18446744069973614931*(z^(~x|(~y&z))) + 18446744069973614931*(~x|(~y|z)) + 18446744066237727620, 49374 + 3735936685*(x^y)
16458*~(x|(~y|z)) + 18446744069973582015*(z^(x|(y&z))) + 3735953143*~(~x|(y&z)) + 3735953143*(x^(y|z)) + 18446744073709518700*(~x|(y^z)) + 18446744073709535158*(z^~(x&y)) + 18446744073709518700*(y^~(~x|(y&z))), 49374 + 3735936685*(x^y)
12297829379982344122*(z^~(~x&(~y&z))) + 6148914697463193553*~x + 12297829387454316240*(y^(x&(~y|z))) + 6148914689991122687*(y^(x|(y^z))) + 12297829391190401047*~(~x|(y^z)) + 12297829379982294748*(y&~(x^z)) + 18446744069973516183*~(y^z) + 12297829379982393496*(y|(x^z)), 49374 + 3735936685*(x^y)
11068046444225711220*((x&z)^(x^(~y&z))) + 11068046444225711220*(z^(x|(~y&z))) + 3689348818477856883*((x&y)^(y|z)) + 7378697629483791022*(~x|(~y&z)) + 11068046444225711220*(~(x^y)&~(x^z)) + 14757395262703568103*((x|y)&(x^(y^z))) + 14757395255231694733*(~(x&~y)&(x^(y^z))) + 14757395258967631418*(y|(x&z)), 49374 + 3735936685*(x^y)
7471774622*((x|~y)&~(x^(y^z))) + 18446744073709502242*~(y|~z) + 18446744069973614931*(y&~(x^z)) + 3735837937*((x|y)&(x^(y^z))) + 3735986059*~(x^(~y|z)) + 18446744066237727620*~(~x&(y|z)) + 3735887311*((x|y)&~(y^z)), 49374 + 3735936685*(x^y)
6148914693727141662*(y^~(~x|(~y&z))) + 12297829379982409954*~x + 12297829383718346639*((x&y)^(y|z)) + 18446744069973664305*(x&y) + 12297829383718297265*(x^(~y&z)) + 6148914693727092288*(y|~(x^z)), 49374 + 3735936685*(x^y)
15811494920856171001*(y^~(~x&(y^z))) + 13176245768002790386*(z^(x|(~y&z))) + 13176245768002790386*((x|y)&~(x^(y^z))) + 10540996611413473086*(~z|~(x^y)) + 18446744069973614931*(x&(y|z)) + 3735936685*~(~x&(~y|z)) + 15811494920856171001*((y&~z)^(x|(y^z))) + 10540996615149409771*~(x&~z), 49374 + 3735936685*(x^y)
3735936685*~y + 3735837937*(~x&(y&z)) + 18446744073709502242*(z^~(x&(y|z))) + 18446744069973614931*~(~x&(y|z)) + 3735887311*~(~x&(~y|z)) + 3736035433*((x&y)|~(x^(y^z))) + 49374*(z|(x^y)) + 18446744069973516183*(z|~(x^y)), 49374 + 3735936685*(x^y)
3735936685*~(x|~y) + 18446744069973614931*(x^(~y|z)) + 3735887311*(y^~(~x&(~y|z))) + 49374*(~(x|y)|~(x^(y^z))) + 18446744069973664305*(y^(x&(y^z))) + 3735837937*(~x|(y|z)), 49374 + 3735936685*(x^y)
15348907565968881875*~(y&z) + 9246751201467778487*(y^(x&(~y|z))) + 12297829379982393496*~(~x|(y^z)) + 15395665891458999922*(~(x|y)|(x^(y^z))) + 15348907569704867934*(y^(x&~z)) + 12297829379982393496*y + 6148914689991172061*~(x&(y^z)) + 12297829383718330181*(z&(x|y)), 49374 + 3735936685*(x^y)
9526190160607465449*(z^(x|y)) + 9526190156871528764*(~y&~(x^z)) + 17841107837411933015*(y^~(~x&(~y&z))) + 18446744069973614931*(z^~(~x&(y|z))) + 8920553916837973478*(y^~(x|~z)) + 9526190149399704768*((x&z)|~(y|z)) + 7471823996*((x&~y)|~(y^z)), 49374 + 3735936685*(x^y)
7471873370*(~z&(x^y)) + 18446744066237678246*(~y&(x^z)) + 18446744073709502242*((x&z)^~(y&~z)) + 7471873370*(z^~(~x|(~y&z))) + 18446744069973614931*(~y|(x^z)) + 18446744069973565557*((x&z)|(y&~z)) + 3735936685*(y^(~x|(y^z))), 49374 + 3735936685*(x^y)
7471922744*(z^(x|(y&z))) + 11207810055*((x|y)&(y^z)) + 18446744073709502242*((x&z)^~(y&~z)) + 14943796114*~(~x|(y^z)) + 18446744066237628872*((y&~z)|~(~x|(~y&z))) + 18446744062501692187*(x|(~y&z)) + 3735936685*z, 49374 + 3735936685*(x^y)
18446744062501692187*(z^(x|~y)) + 18679732799*~(x&(y|z)) + 18446744062501692187*(z^~(~x&(~y|z))) + 14943796114*(x^(y&z)) + 11207859429*(x&y) + 18446744069973565557*((x&z)|(y&~z)) + 18446744066237628872*~(y&~z), 49374 + 3735936685*(x^y)
18446744073709502242*(z^(~x|(~y|z))) + 6148914693727141662*(y^~(~x&(y^z))) + 6148914693727141662*((x^y)&(x^z)) + 12297829379982409954*(y^~(x&(y|z))) + 12297829383718346639*((x&y)|(x^(y^z))) + 12297829383718297265*(z|(x&y)), 49374 + 3735936685*(x^y)
15811494922990977857*(z^(x|(y|z))) + 13176245768536467413*~(x|y) + 7905747455891608588*(y^~(x|(~y&z))) + 10540996614082006343*(x&(~y|z)) + 15811494922990977857*((x|y)&~(y^z)) + 7905747459627545273*(~(x|~y)|~(y^z)) + 5270498305173034829*(y|(x^z)) + 7905747463363432584*(y|~(x^z)), 49374 + 3735936685*(x^y)
3735936685*(x&(~y&z)) + 18446744073709502242*(z^(x|~y)) + 18446744069973614931*(z&~(x&y)) + 3735936685*(y^(x|(~y&z))) + 49374*(z^~(x&(y|z))) + 18446744069973516183*((x&~y)|(x^(y^z))) + 18446744073709502242*(z^~(x|(y&z))) + 3735986059*(z|(x^y)), 49374 + 3735936685*(x^y)
18446744069973614931*(x&(y^z)) + 1040105319038492348*(y^(~x|(~y|z))) + 16366533446840327601*((x^y)|(x^z)) + 14286322816235166901*(x&z) + 2080210626869224015*(x|(~y&z)) + 17406638758406946579*~(x&(~y&z)) + 3120315949643653048*(y^(x&(y^z))) + 18446744069973614931*~(x&~z), 49374 + 3735936685*(x^y)
6148914689991221435*(~(x|y)|(y^z)) + 18446744073709502242*(x^(~y|z)) + 6148914689991270809*~(x&(~y|z)) + 6148914693727108746*(y^(x&(~y|z))) + 6148914693727108746*~(x&y) + 6148914689991221435*(y^~(x&(y|z))) + 12297829383718280807*(y^(~x&(~y|z))), 49374 + 3735936685*(x^y)
11207711307*((y&z)^~(~x&(y^z))) + 3735936685*(~(x&y)&(y^z)) + 18446744066237727620*(y^(~x|(~y|z))) + 3735887311*(x^(y|z)) + 18446744069973664305*(y^(x&(~y|z))) + 18446744069973614931*(~(x^y)|~(x^z)) + 3735887311*(y|z), 49374 + 3735936685*(x^y)
12297829383718379555*~(x|(y|z)) + 12297829387454316240*(x&~y) + 12297829383718330181*(z^(~x|(y&z))) + 12297829379982393496*(y^(~x|(y|z))) + 3735986059*(~x&(y|z)) + 12297829383718379555*~(x^(y^z)) + 6148914689991122687*~(x&(y&z)) + 18446744073709502242*(y&z), 49374 + 3735936685*(x^y)
18446744069973614931*~(x|(~y&z)) + 7471823996*(x^z) + 3735936685*(y&~(x^z)) + 18446744069973614931*(y^(~x&(y|z))) + 18446744069973614931*(x^(~y&z)) + 3735887311*~(x^z), 49374 + 3735936685*(x^y)
18446744069973614931*(y^(~x|(y&z))) + 12297829383718379555*(z^(~x|(y&z))) + 18446744073709502242*~(y|~z) + 6148914689991172061*~(x|(y^z)) + 12297829383718330181*(y&~(x&z)) + 12297829383718330181*~(x&(y|z)) + 6148914693727158120*(~y|(x^z)) + 18446744073709502242*(x|~z), 49374 + 3735936685*(x^y)
3735887311*~(x|(y^z)) + 18446744069973614931*(z^~(~x&(y&z))) + 3735936685*((x&~y)|~(x^(y^z))) + 18446744069973614931*(y^(~x|(~y&z))) + 18446744069973614931*(x|(~y&z)) + 7471823996*(x|(y^z)), 49374 + 3735936685*(x^y)
3735887311*(z^(x|y)) + 3735887311*(z^~(x&(~y&z))) + 18446744069973614931*(~x&(~y|z)) + 18446744069973565557*(x&(y&z)) + 3735936685*((x|y)&(x^(y^z))) + 18446744066237727620*(z^~(x&(y&z))) + 7471823996*(~(x&~y)&~(y^z)), 49374 + 3735936685*(x^y)
4099276462484717220*~(x|y) + 10248191152475955113*~(~x|(y&z)) + 2049638234978295295*(y&~(x&z)) + 6148914693727125204*~(x^(~y|z)) + 14347467611224785022*((x&y)|(y^z)) + 2049638231242358610*((x&z)^(x^(y&z))) + 8198552917497659818*(y|~(x|z)) + 6148914693727125204*(z^~(x|(y&z))), 49374 + 3735936685*(x^y)
1358379531051817453*~(~x|(y|z)) + 15729985019077740706*~(~x|(y&z)) + 17088364550129558159*(~(x&y)&~(x^(y^z))) + 1358379527315880768*~(x&(y&z)) + 17088364542657684789*(y^~(x&(~y|z))) + 17088364550129558159*(~(x&~y)&(x^(y^z))) + 1358379527315880768*(x&(y|z)) + 1358379527315930142*(y^(~x|(y^z))), 49374 + 3735936685*(x^y)
18446744069973614931*(y^~(~x|(y^z))) + 7471823996*((x|y)&~(x^(y^z))) + 3735887311*(y^~(x&(~y|z))) + 18446744069973614931*~(~x&(y&z)) + 18446744062501790935*(y&(x|z)) + 11207760681*(y|(x&~z)), 49374 + 3735936685*(x^y)
18446744066237678246*~(x|(y&z)) + 11207810055*(~(x&~y)&(y^z)) + 18446744066237678246*(z^(x|y)) + 18446744069973664305*(~(x&y)&(y^z)) + 11207760681*(y^(x|(~y|z))) + 18446744066237678246*((x|~y)&(y^z)) + 18446744069973614931*(z^(~x|(~y&z))) + 3735887311*(y|z), 49374 + 3735936685*(x^y)
18446744069973614931*(~(x&y)&~(y^z)) + 14943746740*(z^~(~x&(~y|z))) + 14943746740*(~(x|y)|~(x^(y^z))) + 11207810055*(z^~(x&y)) + 11207810055*(x&(~y|z)) + 7471873370*(z^~(x|(y&z))) + 29887542854, 49374 + 3735936685*(x^y)
2665189575556549433*((x&z)^(x^(~y&z))) + 15781554501888938868*(y^z) + 2665189568084626689*(~x&(y|z)) + 2665189571820612748*(y&~(x^z)) + 15781554505624924927*((x|~y)&(x^(y^z))) + 18446744069973565557*(x^(~y&z)) + 2665189564348690004*((x&z)|~(y|z)) + 15781554509360812238*((x^y)|~(x^z)), 49374 + 3735936685*(x^y)
3807844926795531707*~(x|(~y|z)) + 7418196333501677983*(z^(x|y)) + 11028547743943760944*((x&y)^(y|~z)) + 11028547740207873633*(y^(x|(y^z))) + 14836392663267468655*(y^~(x&z)) + 14638899146914019909*(y^(~x&(~y|z))) + 11028547743943760944*((y&~z)^(x|(y^z))) + 14836392667003355966*(z|~(x^y)), 49374 + 3735936685*(x^y)
18446744069973565557*~(~x|(y|z)) + 18446744066237727620*(x&(~y&z)) + 3735936685*(y^(x|(~y|z))) + 3735887311*((x|y)&~(x^(y^z))) + 3735936685*((y&~z)|~(~x|(~y&z))) + 18446744066237678246*(y^(~x&(~y|z))) + 3735887311*(z^~(x|(~y&z))), 49374 + 3735936685*(x^y)
6148914693727125204*~(x^(~y&z)) + 12297829379982426412*(y^~(x|~z)) + 12297829379982426412*(y^(~x|(~y&z))) + 12297829387454250408*(x|(y^z)) + 6148914689991188519*~(~x&(y&z)) + 12297829383718313723*(y^~(x|(y&z))), 49374 + 3735936685*(x^y)
18679634051*((x^y)&(x^z)) + 18446744055029917565*(z^~(~x&(y&z))) + 11207760681*(z^~(x&(y&z))) + 18446744058765854250*(z&~(x^y)) + 18446744062501790935*(y|~(x^z)) + 18446744069973614931*~(y&~z) + 18446744069973614931*(x|z) + 22415521362*(~x|(y|z)), 49374 + 3735936685*(x^y)
3735887311*(y^(~x|(y&z))) + 3735936685*((x&y)^(y|z)) + 3735887311*(y^~(~x|(y&z))) + 3735936685*((y&z)|(x&(y|z))) + 18446744069973614931*(z|~(x^y)) + 18446744069973614931*(y|z), 49374 + 3735936685*(x^y)
3735887311*~(~x|(y|z)) + 18446744069973763053*(~z&(x^y)) + 7471774622*(y^(x|(y&z))) + 18446744069973664305*(y^(~x|(~y|z))) + 18446744073709502242*((x&~y)|(y^z)) + 3735887311*(x^(~y|z)) + 49374*((x|y)&~(x^(y^z))) + 18446744073709502242*(y|~z), 49374 + 3735936685*(x^y)
10811394608907715862*(y^(x|z)) + 7635349461065899069*(z^(x|~y)) + 10811394620115476543*(~x|(y^z)) + 18446744066237678246*((x|~y)&~(y^z)) + 3176045162785514159*(x&y) + 15270698922131798138*((x&~y)|(x^(y^z))) + 3176045166521450844*(z^(x&~y)) + 15270698903452164087*(y^(~x&(y^z))), 49374 + 3735936685*(x^y)
7471823996*(z^~(x&(~y&z))) + 7471823996*(~x&(~y|z)) + 7471823996*(z&~(x&y)) + 18446744058765903624*(~(x|y)|~(x^(y^z))) + 18446744066237727620*(~(x|y)|(x^(y^z))) + 3735887311*(y^(~x|(~y&z))) + 3735887311*~(x&(~y&z)), 49374 + 3735936685*(x^y)
3735887311*(y^~(x&(y^z))) + 3735936685*((x&y)^~(x^(y&z))) + 18446744069973614931*(y^~(~x&(~y&z))) + 18446744066237678246*~(x&(~y|z)) + 7471823996*(y^(x&(y|z))) + 18446744069973565557*(x&(y&z)) + 3735936685*~(y^z), 49374 + 3735936685*(x^y)
3735936685*(y^~(~x|(y^z))) + 18446744069973614931*~x + 14943697366*(~(x|~y)|(y^z)) + 7471873370*((x&~y)|(x^(y^z))) + 3735887311*~(~x&(y&z)) + 11207760681*((x|y)&~(y^z)) + 18446744051293980880*(x|(y|z)), 49374 + 3735936685*(x^y)
18446744073709502242*(z^(x|(y|z))) + 18446744066237579498*(y^(~x|(y|z))) + 3735986059*(~(x|y)|(y^z)) + 7471873370*(y^~(~x|(~y&z))) + 18446744069973614931*(~(x|y)|(x^(y^z))) + 7471873370*(y^(~x|(y^z))) + 18446744069973565557*y, 49374 + 3735936685*(x^y)
18446744073709502242*~z + 3735936685*((x&y)^~(x^(~y|z))) + 3735887311*~(y|~z) + 18446744069973614931*((x&y)|~(y|~z)) + 3735887311*(y&z), 49374 + 3735936685*(x^y)
4352058461656154448*(~(x&y)&(x^(y^z))) + 15199201691489116271*(~(x&y)&~(x^(y^z))) + 3247542385956372030*(y^(x|(~y&z))) + 7599600847612526478*~(~x|(~y&z)) + 10847143226097025138*(y^~(x&(y|z))) + 7599600843876589793*(z|(x&y)) + 7599600843876639167, 49374 + 3735936685*(x^y)
18446744066237678246*(z^(x|(y&z))) + 18446744066237678246*(y^~(x&~z)) + 14943697366*(y^(~x|(~y|z))) + 18446744069973614931*((x&z)|~(y|z)) + 3735887311*(y&~(x&~z)) + 3735936685*(z|(x&~y)) + 18446744069973614931*~(y&~z), 49374 + 3735936685*(x^y)
7471823996*(y&~(x&z)) + 3735887311*(x^z) + 18446744069973614931*(y^(~x&(~y|z))) + 11207711307*(z^(~x&(~y|z))) + 18446744066237727620*((x&y)|~(x^(y^z))), 49374 + 3735936685*(x^y)
12297829383718330181*~(~x|(y&z)) + 12297829387454316240*(z^(x|~y)) + 12297829376246456811*(y&~(x&z)) + 6148914693727108746*~(x&z) + 12297829379982393496*((x|~y)&~(y^z)) + 7471873370*(y^(x&(y^z))) + 12297829379982393496*((x&y)|~(x^(y^z))) + 12297829379982393496*~(y&~z), 49374 + 3735936685*(x^y)
18446744069973516183*(z^(x|(y&z))) + 3735986059*(y^(x|(y&z))) + 18446744073709502242*(y^(x|(y|z))) + 3735986059*(x^z) + 18446744073709403494*~(x^(~y&z)) + 98748*(~x|(~y&z)) + 18446744073709502242*((y&z)|(~x&(y|z))), 49374 + 3735936685*(x^y)
18446744069973664305*(~x&(~y&z)) + 3735887311*((x^y)&~(x^z)) + 3735887311*((y&~z)^(~x|(y^z))) + 18446744069973614931*~(x^y) + 7471774622*(x^(~y&z)) + 18446744069973664305*(x|(~y&z)), 49374 + 3735936685*(x^y)
11207760681*~(~x|(~y|z)) + 18446744055029917565*(y^(x|(y|z))) + 14943697366*(y^(x|(~y|z))) + 18679634051*(z^(x&(~y|z))) + 18446744051293980880*~(x&(~y|z)) + 18446744069973614931*((y&~z)^(~x|(y^z))) + 18446744062501741561*~(~x|(y^z)) + 11207760681*(~x|(y|z)), 49374 + 3735936685*(x^y)
61314042059746331*~(x|z) + 18385430035385741970*(z^(~x|(y&z))) + 61314042059746331*(~z|(x^y)) + 18385430035385692596*(~x|(~y&z)) + 11207760681*~(~x|(~y&z)) + 18385430024177931915*((x&y)|~(y|z)) + 61314042059746331*(y^(~x|(y^z))) + 18446744069973614931*((x&y)|(y^z)), 49374 + 3735936685*(x^y)
7471823996*(y^~(x&(y^z))) + 3735887311*(y&(x^z)) + 18446744062501790935*(x^(~y|z)) + 3735887311*(~(x&y)&~(x^(y^z))) + 18446744069973614931*~(~x|(y^z)) + 18446744069973565557*(~(x&~y)&(x^(y^z))) + 7471873370*((y&z)|(~x&(y|z))), 49374 + 3735936685*(x^y)
