# 49374 + 3735936685*(x^y)
11045209123311650142*~y + 3735936685*(x^y) + 11045209123311650142*y + 11045209123311699516, 49374 + 3735936685*(x^y)
18446744066237727620*~(x|y) + 3735936685*~y + 3735887311*~x + 18446744073709502242*(x|~y), 49374 + 3735936685*(x^y)
3735887311*~y + 3735887311*~(x|~y) + 3735887311*(x&y) + 18446744069973614931*~(x^y), 49374 + 3735936685*(x^y)
18446744073709502242*~(x|y) + 18446744073709502242*(x&~y) + 3735936685*(x^y) + 18446744073709502242*y, 49374 + 3735936685*(x^y)
15311888605180588940*(x&~y) + 3134855476000786672*~(x|~y) + 3134855472264849987*(x|~y) + 15311888601444652255*~(x&~y), 49374 + 3735936685*(x^y)
18446744069973614931*~y + 18446744069973565557*~x + 7471873370*~(x&y) + 18446744073709502242*x, 49374 + 3735936685*(x^y)
18446744073709502242*~(x|y) + 49374*(x&~y) + 3735887311*(x^y) + 18446744073709502242*x, 49374 + 3735936685*(x^y)
7471873370*(x&~y) + 18446744069973614931*~y + 3735887311*~x + 18446744073709502242*x, 49374 + 3735936685*(x^y)
3735887311*~x + 3735887311*(x&y) + 18446744066237727620*~(x^y) + 3735887311*(x|~y), 49374 + 3735936685*(x^y)
3735936685*~(x|~y) + 18446744069973614931*y + 3735936685*(x|y) + 49374, 49374 + 3735936685*(x^y)
18446744073709502242*~(x|y) + 3735936685*(x&~y) + 3735936685*~(x|~y) + 18446744073709502242*(x|y), 49374 + 3735936685*(x^y)
18446744073709502242*~(x|y) + 3735887311*(x&~y) + 3735887311*~(x|~y) + 18446744073709502242*(x&y), 49374 + 3735936685*(x^y)
98748*~(x|~y) + 18446744073709502242*~x + 3735887311*(x^y) + 18446744073709502242*y, 49374 + 3735936685*(x^y)
725166803227369615*(x^y) + 725166799491432930*~(x^y) + 725166799491482304, 49374 + 3735936685*(x^y)
18446744066237727620*~y + 7471823996*~(x&y) + 3735887311*(x|~y) + 18446744069973614931*~(x&~y), 49374 + 3735936685*(x^y)
18446744073709502242*~y + 18446744073709502242*~(x|~y) + 18446744069973565557*(x&y) + 3735936685*(x|y), 49374 + 3735936685*(x^y)
18446744073709502242*~y + 18446744073709502242*~(x|~y) + 3735936685*(x^y) + 18446744073709502242*(x&y), 49374 + 3735936685*(x^y)
18446744069973664305*(x&y) + 18446744069973614931*~(x^y) + 3735887311*x + 3735887311*~(x&~y), 49374 + 3735936685*(x^y)
18446744069973614931*~(x|y) + 3735887311*(x&~y) + 18446744069973614931*(x&y) + 3735887311*~(x&~y), 49374 + 3735936685*(x^y)
18446744073709502242*~y + 18446744073709452868*~(x|~y) + 3735986059*(x^y) + 18446744073709502242*x, 49374 + 3735936685*(x^y)
8813252641824493132*~(x|~y) + 9633491435620995169*(x^y) + 9633491431885058484*~(x&~y) + 9633491431885107858, 49374 + 3735936685*(x^y)
18446744073709502242*~y + 18446744069973565557*(x&y) + 49374*x + 3735887311*(x|y), 49374 + 3735936685*(x^y)
18446744066237678246*~(x|y) + 7471823996*~x + 3735887311*x + 18446744069973614931*y, 49374 + 3735936685*(x^y)
18446744066237727620*(x&y) + 3735887311*x + 3735936685*y + 18446744073709502242*~(x&~y), 49374 + 3735936685*(x^y)
6148914693727125204*~(x&y) + 6148914689991188519*(x|~y) + 6148914689991188519*~(x&~y) + 6148914693727125204*(x|y), 49374 + 3735936685*(x^y)
18446744073709502242*~x + 18446744069973565557*(x&y) + 49374*y + 3735887311*(x|y), 49374 + 3735936685*(x^y)
3735986059*~(x|~y) + 18446744069973614931*~x + 3735887311*~(x&y) + 18446744073709502242*y, 49374 + 3735936685*(x^y)
15034973805421502275*(x&~y) + 15034973805421551649*~(x|~y) + 3411770272023936652*(x^y) + 18446744073709502242*~(x&~y), 49374 + 3735936685*(x^y)
18446744069973614931*~(x|y) + 3735887311*~(x|~y) + 18446744069973614931*(x&y) + 3735887311*(x|~y), 49374 + 3735936685*(x^y)
18446744066237727620*~(x|y) + 7471823996*~y + 18446744069973614931*(x|~y) + 3735887311*~(x&~y), 49374 + 3735936685*(x^y)
14060972954711369351*(x^y) + 4385771122734069576*~(x&y) + 4385771122734069576*(x&y) + 14060972950975432666*~(x^y), 49374 + 3735936685*(x^y)
3735887311*~y + 3735936685*~(x|~y) + 3735887311*y + 18446744069973614931*~(x&~y), 49374 + 3735936685*(x^y)
4357337558324186230*(x&~y) + 4357337558324235604*~(x|~y) + 14089406519121252697*(x^y) + 18446744073709502242*~(x&~y), 49374 + 3735936685*(x^y)
3735986059*(x&~y) + 18446744069973614931*~y + 3735887311*~(x&y) + 18446744073709502242*x, 49374 + 3735936685*(x^y)
9076421756691794810*~x + 18446744069973614931*~(x^y) + 9076421756691794810*x + 9076421752955907499, 49374 + 3735936685*(x^y)
3735936685*(x&~y) + 18446744069973614931*(x&y) + 3735936685*y + 49374, 49374 + 3735936685*(x^y)
8998655488549446914*~(x|y) + 3735936685*(x^y) + 8998655488549446914*(x|y) + 8998655488549496288, 49374 + 3735936685*(x^y)
3735936685*(x&~y) + 3735887311*~x + 3735887311*x + 18446744069973614931*(x|~y), 49374 + 3735936685*(x^y)
3735986059*~(x|~y) + 18446744073709502242*~(x&y) + 18446744069973565557*y + 3735936685*(x|y), 49374 + 3735936685*(x^y)
12381737520413408434*(x&~y) + 12381737516677471749*~(x^y) + 6065006553296143182*(x|~y) + 18446744069973664305, 49374 + 3735936685*(x^y)
18446744069973664305*~(x|y) + 3735887311*~x + 18446744069973614931*~(x^y) + 3735887311*(x|~y), 49374 + 3735936685*(x^y)
3735986059*~(x|~y) + 18446744073709502242*~x + 18446744069973614931*y + 3735887311*(x|y), 49374 + 3735936685*(x^y)
451046954133202714*~(x|y) + 451046957869139399*(x^y) + 17995697119576348902*~(x&y) + 49374, 49374 + 3735936685*(x^y)
18446744069973664305*~(x|y) + 3735887311*(x&~y) + 3735887311*~x + 18446744073709502242*~(x^y), 49374 + 3735936685*(x^y)
16766864328163115551*(x&~y) + 18446744069973614931*~(x^y) + 16766864328163115551*~(x&~y) + 16766864324427228240, 49374 + 3735936685*(x^y)
18446744069973614931*~(x|y) + 3735887311*~y + 18446744069973614931*(x&y) + 3735887311*y, 49374 + 3735936685*(x^y)
7471823996*~y + 7471823996*x + 18446744062501790935*(x|~y) + 3735887311*~(x&~y), 49374 + 3735936685*(x^y)
8401163036526918377*(x^y) + 14246162557314036083*~(x&y) + 4200581516395466159*~(x^y) + 14246162557314036083*(x|y), 49374 + 3735936685*(x^y)
3997733793367310840*(x^y) + 3997733789631374155*~(x^y) + 3997733789631423529, 49374 + 3735936685*(x^y)
14447700096799663199*(x&~y) + 3999043980645775728*(x^y) + 3999043976909839043*~(x^y) + 14447700096799663199*~(x&~y), 49374 + 3735936685*(x^y)
18446744069973664305*~(x|~y) + 3735887311*~x + 18446744069973614931*~(x^y) + 3735887311*(x|y), 49374 + 3735936685*(x^y)
14752341449831454717*~(x|y) + 18446744069973614931*~(x^y) + 14752341449831454717*(x|y) + 14752341446095567406, 49374 + 3735936685*(x^y)
3735936685*(x&~y) + 18446744073709502242*~y + 3735887311*~(x|~y) + 18446744073709502242*(x&y), 49374 + 3735936685*(x^y)
3735936685*~y + 18446744069973614931*~x + 18446744066237678246*(x|~y) + 18446744066237727620, 49374 + 3735936685*(x^y)
49374*(x&~y) + 18446744073709502242*~y + 3735936685*(x^y) + 18446744073709502242*(x|y), 49374 + 3735936685*(x^y)
18028939790955982434*~(x|~y) + 18028939787220045749*(x|~y) + 18446744069973614931*~(x&~y) + 18028939783484158438, 49374 + 3735936685*(x^y)
3735986059*(x&~y) + 18446744073709502242*~y + 18446744069973614931*x + 3735887311*(x|y), 49374 + 3735936685*(x^y)
18446744069973664305*(x&~y) + 3735887311*~(x&y) + 18446744069973614931*~(x^y) + 3735887311*x, 49374 + 3735936685*(x^y)
6737584467261297459*(x&~y) + 3735936685*(x^y) + 6737584467261297459*~(x&~y) + 6737584467261346833, 49374 + 3735936685*(x^y)
18446744069973614931*~(x|y) + 14598320125719258451*~(x&y) + 14598320121983321766*(x&y) + 14598320121983371140, 49374 + 3735936685*(x^y)
18446744069973614931*~(x|y) + 18446744069973614931*x + 18446744069973614931*~(x&~y) + 18446744066237727620, 49374 + 3735936685*(x^y)
3735936685*~y + 3735936685*x + 18446744066237678246*(x|~y) + 18446744069973664305, 49374 + 3735936685*(x^y)
3450874770887644494*~y + 3735936685*(x^y) + 3450874770887644494*y + 3450874770887693868, 49374 + 3735936685*(x^y)
18446744069973565557*~(x|y) + 3735936685*~y + 18446744069973614931*x + 3735887311*(x|y), 49374 + 3735936685*(x^y)
3735887311*~y + 18446744069973614931*~x + 18446744066237678246*(x&y) + 7471823996*y, 49374 + 3735936685*(x^y)
18446744069973614931*~y + 18446744069973614931*~x + 7471873370*~(x&y) + 49374, 49374 + 3735936685*(x^y)
18406855764313301325*~(x&y) + 18366967451181163723*(x&y) + 39888309396200917*~(x^y) + 39888313132137602*(x|y), 49374 + 3735936685*(x^y)
650016407209714435*~y + 3735936685*(x^y) + 650016407209714435*y + 650016407209763809, 49374 + 3735936685*(x^y)
3735936685*~(x|~y) + 18446744069973664305*~x + 3735887311*~(x&y) + 18446744073709502242*~(x&~y), 49374 + 3735936685*(x^y)
18446744069973565557*~y + 3735936685*~(x&y) + 18446744069973565557*y + 3735936685*(x|y), 49374 + 3735936685*(x^y)
3735936685*(x&~y) + 3735986059*~(x|~y) + 18446744073709502242*~x + 18446744073709502242*(x|y), 49374 + 3735936685*(x^y)
18446744062501790935*~(x|y) + 7471823996*~y + 18446744069973614931*x + 3735887311*~(x&~y), 49374 + 3735936685*(x^y)
10409317405557729226*~(x|y) + 10409317409293616537*(x^y) + 8037426668151822390*~(x&y) + 18446744073709502242*~(x^y), 49374 + 3735936685*(x^y)
15182049936006098541*~(x|y) + 3735936685*(x^y) + 15182049936006098541*(x|y) + 15182049936006147915, 49374 + 3735936685*(x^y)
18446744069973565557*~(x|y) + 49374*~x + 3735887311*~(x&y) + 18446744073709502242*y, 49374 + 3735936685*(x^y)
16102932020830095143*(x^y) + 16102932017094158458*(x&y) + 2343812056615393158*(x|y) + 49374, 49374 + 3735936685*(x^y)
7471823996*~y + 18446744069973614931*(x|~y) + 7471823996*y + 18446744069973614931*~(x&~y), 49374 + 3735936685*(x^y)
445838322205788236*(x^y) + 445838318469851551*~(x^y) + 445838318469900925, 49374 + 3735936685*(x^y)
3735887311*~y + 7471823996*~(x|~y) + 18446744069973614931*~x + 18446744073709502242*(x&y), 49374 + 3735936685*(x^y)
18178856332154489058*~x + 3735936685*(x^y) + 18178856332154489058*x + 18178856332154538432, 49374 + 3735936685*(x^y)
7471823996*(x&~y) + 18446744069973614931*x + 3735936685*y + 18446744073709502242*~(x&~y), 49374 + 3735936685*(x^y)
11207760681*(x&~y) + 18446744069973614931*~y + 18446744069973614931*x + 3735887311*~(x&~y), 49374 + 3735936685*(x^y)
3735887311*~(x|y) + 3735936685*(x&~y) + 18446744069973614931*(x|~y) + 3735887311*(x|y), 49374 + 3735936685*(x^y)
6488346818655252418*(x&~y) + 3735936685*(x^y) + 6488346818655252418*~(x&~y) + 6488346818655301792, 49374 + 3735936685*(x^y)
848812964380950358*~(x|y) + 848812960645063047*(x&y) + 17597931109328551884*~(x^y) + 3735887311*(x|y), 49374 + 3735936685*(x^y)
18446744069973614931*~(x|y) + 18446744073709502242*~y + 3735936685*~(x&y) + 18446744073709502242*y, 49374 + 3735936685*(x^y)
3735887311*~y + 7471774622*~(x|~y) + 18446744069973664305*~x + 18446744073709502242*~(x^y), 49374 + 3735936685*(x^y)
4152939142077335298*~(x&y) + 4152939142077335298*(x&y) + 18446744069973614931*~(x^y) + 4152939138341447987, 49374 + 3735936685*(x^y)
3735986059*~(x|~y) + 18446744069973565557*~x + 3735936685*~(x&y) + 18446744073709502242*(x|y), 49374 + 3735936685*(x^y)
13302426468465042980*(x^y) + 13302426464729106295*~(x^y) + 13302426464729155669, 49374 + 3735936685*(x^y)
3735936685*~y + 7471873370*~(x|~y) + 3735936685*x + 3735986059, 49374 + 3735936685*(x^y)
3735887311*~y + 7471823996*~(x|~y) + 18446744069973664305*~x + 18446744073709502242*~(x&~y), 49374 + 3735936685*(x^y)
7379771136712646235*(x&~y) + 11066972940732792692*(x^y) + 11066972936996856007*~(x^y) + 7379771136712646235*~(x&~y), 49374 + 3735936685*(x^y)
15474232683438329575*~(x|y) + 18446744069973614931*~(x^y) + 15474232683438329575*(x|y) + 15474232679702442264, 49374 + 3735936685*(x^y)
18446744066237727620*~(x|y) + 18446744066237727620*(x&y) + 3735887311*(x|~y) + 3735887311*~(x&~y), 49374 + 3735936685*(x^y)
3735936685*~(x|~y) + 3735936685*~(x&y) + 3735936685*x + 3735986059, 49374 + 3735936685*(x^y)
18446744073709502242*~(x|~y) + 18446744069973614931*(x&y) + 18446744073709502242*(x|~y) + 3735936685*(x|y), 49374 + 3735936685*(x^y)
18446744066237727620*(x&y) + 3735936685*x + 18446744073709502242*(x|~y) + 3735887311*y, 49374 + 3735936685*(x^y)
18446744069973664305*~(x|y) + 49374*~(x|~y) + 3735887311*~(x&y) + 18446744073709502242*~(x&~y), 49374 + 3735936685*(x^y)
1795570676584542105*~(x&y) + 1795570672848605420*(x&y) + 3735936685*(x|y) + 1795570676584591479, 49374 + 3735936685*(x^y)
3735887311*(x^y) + 18446744073709502242*(x&y) + 49374*x + 18446744073709502242*(x|~y), 49374 + 3735936685*(x^y)
18446744073709502242*(x&~y) + 18446744073709502242*~x + 3735986059*(x^y) + 18446744073709502242*(x|y), 49374 + 3735936685*(x^y)
18446744073709502242*~(x|y) + 49374*~y + 3735887311*(x^y) + 18446744073709502242*(x|~y), 49374 + 3735936685*(x^y)
18446744069973614931*(x|~y) + 18446744069973614931*y + 3735936685*(x|y) + 18446744069973664305, 49374 + 3735936685*(x^y)
18446744069973614931*~x + 18446744066237678246*(x&y) + 3735936685*y + 18446744069973664305, 49374 + 3735936685*(x^y)
3634271603556228241*~(x&y) + 3634271599820291556*~(x^y) + 3634271603556228241*(x|y) + 7268543203376569171, 49374 + 3735936685*(x^y)
18446744069973614931*~y + 3735936685*~x + 18446744066237678246*~(x&~y) + 18446744066237727620, 49374 + 3735936685*(x^y)
3735936685*~(x|~y) + 18446744069973614931*~x + 3735887311*~(x&y) + 18446744073709502242*(x&y), 49374 + 3735936685*(x^y)
3735887311*(x&~y) + 18446744069973664305*(x&y) + 18446744073709502242*~(x^y) + 3735887311*y, 49374 + 3735936685*(x^y)
18446744069973614931*~y + 18446744066237678246*(x&y) + 3735936685*x + 18446744069973664305, 49374 + 3735936685*(x^y)
5031996177097427481*~(x|~y) + 5031996173361490796*(x|~y) + 18446744069973614931*~(x&~y) + 5031996169625603485, 49374 + 3735936685*(x^y)
3735936685*~y + 7471922744*~(x|~y) + 18446744069973565557*~x + 18446744073709502242*(x|y), 49374 + 3735936685*(x^y)
18446744073709452868*~(x|y) + 49374*~x + 3735887311*(x^y) + 18446744073709502242*y, 49374 + 3735936685*(x^y)
18446744073709502242*~(x|~y) + 3735986059*(x^y) + 18446744073709502242*~(x&y) + 18446744073709502242*x, 49374 + 3735936685*(x^y)
3735887311*~y + 7471823996*~(x|~y) + 3735887311*(x&y) + 18446744069973614931*~(x&~y), 49374 + 3735936685*(x^y)
7471774622*(x&~y) + 18446744069973664305*~y + 3735887311*~x + 18446744073709502242*~(x^y), 49374 + 3735936685*(x^y)
11601175204879584633*(x^y) + 11601175201143647948*~(x^y) + 11601175201143697322, 49374 + 3735936685*(x^y)
15612596927055138389*(x&~y) + 2834147150390349912*(x^y) + 2834147146654413227*(x|~y) + 2834147146654462601, 49374 + 3735936685*(x^y)
7471823996*(x&~y) + 18446744069973614931*~y + 3735936685*~x + 18446744073709502242*~(x&~y), 49374 + 3735936685*(x^y)
3735936685*~y + 18446744069973614931*x + 7471873370*(x|y) + 3735986059, 49374 + 3735936685*(x^y)
3735887311*~x + 18446744069973614931*(x&y) + 7471823996*x + 18446744069973614931*(x|~y), 49374 + 3735936685*(x^y)
12297829383718330181*~y + 12297829383718330181*~x + 12297829379982393496*~(x^y) + 6148914693727108746*(x|y), 49374 + 3735936685*(x^y)
18446744073709502242*~y + 3735936685*~(x&y) + 3735887311*y + 18446744069973614931*~(x&~y), 49374 + 3735936685*(x^y)
18446744069973565557*~(x|y) + 3735936685*~y + 3735936685*~(x|~y) + 18446744073709502242*(x|y), 49374 + 3735936685*(x^y)
306631352404758463*(x^y) + 306631348668821778*~(x^y) + 306631348668871152, 49374 + 3735936685*(x^y)
5570534986598063207*~(x|y) + 18446744069973614931*~(x^y) + 5570534986598063207*(x|y) + 5570534982862175896, 49374 + 3735936685*(x^y)
18446744073709502242*~y + 3735887311*~(x|~y) + 18446744069973565557*(x&y) + 3735936685*x, 49374 + 3735936685*(x^y)
15027401654121859087*~(x^y) + 3419342415851755844*(x|~y) + 3419342415851755844*~(x&~y) + 3419342412115868533, 49374 + 3735936685*(x^y)
3735887311*(x&~y) + 17615744733850934338*~(x|~y) + 17615744730114997653*~(x^y) + 830999343594504589*~(x&~y), 49374 + 3735936685*(x^y)
7471823996*~(x|~y) + 3735936685*x + 18446744073709502242*(x|~y) + 18446744069973614931*y, 49374 + 3735936685*(x^y)
3735887311*~(x|y) + 18446744066237727620*~(x^y) + 3735887311*(x|~y) + 3735887311*y, 49374 + 3735936685*(x^y)
382328198649919353*~(x&y) + 382328194913982668*~(x^y) + 382328198649919353*(x|y) + 764656393563951395, 49374 + 3735936685*(x^y)
49374*~y + 3735936685*(x^y) + 18446744073709502242*~(x&y) + 18446744073709502242*(x|~y), 49374 + 3735936685*(x^y)
3735936685*~(x&y) + 3735936685*y + 18446744069973614931*~(x&~y) + 49374, 49374 + 3735936685*(x^y)
49374*~y + 3735986059*(x^y) + 18446744073709452868*~(x&y) + 18446744073709502242*x, 49374 + 3735936685*(x^y)
17971095664333823685*(x^y) + 17971095660597887000*~(x^y) + 17971095660597936374, 49374 + 3735936685*(x^y)
14432450775517597344*~(x&y) + 10418157473589755761*(x&y) + 4014293298191904898*~(x^y) + 4014293301927841583*(x|y), 49374 + 3735936685*(x^y)
18446744069973614931*~(x|y) + 18446744069973614931*(x|~y) + 18446744069973614931*y + 18446744066237727620, 49374 + 3735936685*(x^y)
18446744069973614931*~y + 11207760681*~x + 7471823996*x + 18446744066237678246*~(x&~y), 49374 + 3735936685*(x^y)
7471873370*~(x|~y) + 3735936685*x + 18446744069973614931*y + 49374, 49374 + 3735936685*(x^y)
3557267116998311887*(x^y) + 16668110517078339328*~(x&y) + 1778633556631162914*~(x^y) + 16668110517078339328*(x|y), 49374 + 3735936685*(x^y)
3735936685*~y + 18446744073709502242*~(x|~y) + 18446744069973565557*(x|~y) + 3735936685*(x|y), 49374 + 3735936685*(x^y)
7471823996*(x&~y) + 18446744069973664305*x + 18446744073709502242*(x|~y) + 3735887311*y, 49374 + 3735936685*(x^y)
7471774622*~(x|y) + 18446744066237727620*~(x^y) + 3735887311*x + 3735887311*y, 49374 + 3735936685*(x^y)
1959051817942402600*~(x|y) + 3735887311*~(x&y) + 1959051821678289911*(x&y) + 16487692252031212331*~(x^y), 49374 + 3735936685*(x^y)
18446744073709502242*~(x^y) + 18446744069973664305*x + 18446744069973664305*y + 7471774622*(x|y), 49374 + 3735936685*(x^y)
3735936685*~(x|~y) + 18446744073709502242*~(x&y) + 18446744069973565557*(x&y) + 3735936685*x, 49374 + 3735936685*(x^y)
13057332175526168882*~(x|y) + 3735887311*(x^y) + 13057332175526168882*(x&y) + 5389411898183333360*~(x^y), 49374 + 3735936685*(x^y)
18446744069973614931*~y + 18446744069973614931*~x + 18446744066237678246*(x&y) + 18446744066237727620, 49374 + 3735936685*(x^y)
3735887311*(x^y) + 18446744073709502242*(x&y) + 49374*y + 18446744073709502242*~(x&~y), 49374 + 3735936685*(x^y)
18446744073709502242*~x + 3735887311*(x^y) + 18446744073709452868*(x&y) + 49374*y, 49374 + 3735936685*(x^y)
49374*~x + 3735887311*~(x&y) + 3735936685*y + 18446744069973565557*~(x&~y), 49374 + 3735936685*(x^y)
13234485517395254092*(x&~y) + 3735936685*~(x|~y) + 13234485513659317407*~(x&~y) + 13234485513659366781, 49374 + 3735936685*(x^y)
18446744066237678246*~(x|y) + 3735936685*~y + 3735887311*~x + 18446744073709502242*x, 49374 + 3735936685*(x^y)
1741853565258152276*(x&~y) + 1741853565258152276*~(x|~y) + 1741853561522215591*~(x^y) + 1741853561522264965, 49374 + 3735936685*(x^y)
3735936685*~(x&y) + 3735986059*y + 18446744069973565557*~(x&~y) + 18446744073709502242*(x|y), 49374 + 3735936685*(x^y)
17888836516940873429*(x&y) + 557907553032741502*~(x^y) + 557907556768678187*(x|y) + 557907553032790876, 49374 + 3735936685*(x^y)
18446744066237678246*~(x|y) + 3735887311*~y + 3735936685*~x + 18446744073709502242*y, 49374 + 3735936685*(x^y)
3735936685*~(x|~y) + 18446744069973664305*y + 18446744073709502242*~(x&~y) + 3735887311*(x|y), 49374 + 3735936685*(x^y)
16151146358274979516*~y + 3735936685*(x^y) + 16151146358274979516*y + 16151146358275028890, 49374 + 3735936685*(x^y)
3735887311*(x&~y) + 18446744073709502242*~x + 18446744069973565557*(x&y) + 3735936685*y, 49374 + 3735936685*(x^y)
3957860115750744262*~(x|y) + 14488883957958807354*~(x&y) + 14488883954222870669*~(x^y) + 14488883954222920043, 49374 + 3735936685*(x^y)
16817260937295203676*(x^y) + 16817260933559316365*(x&y) + 18446744073709502242*~(x^y) + 1629483140150235251*(x|y), 49374 + 3735936685*(x^y)
18446744069973614931*~x + 7471873370*~(x&y) + 3735936685*y + 3735986059, 49374 + 3735936685*(x^y)
18446744069973614931*~(x|y) + 7471823996*(x&~y) + 18446744069973614931*x + 3735887311*~(x&~y), 49374 + 3735936685*(x^y)
2355941529381617417*~(x|y) + 2355941533117554102*(x^y) + 2355941529381617417*(x&y) + 2355941529381666791, 49374 + 3735936685*(x^y)
3735936685*~x + 49374*y + 18446744069973565557*~(x&~y) + 3735887311*(x|y), 49374 + 3735936685*(x^y)
321270770502546202*~(x|y) + 3735936685*(x^y) + 321270770502546202*(x|y) + 321270770502595576, 49374 + 3735936685*(x^y)
49374*~(x|~y) + 18446744073709502242*~x + 3735936685*(x^y) + 18446744073709502242*(x|y), 49374 + 3735936685*(x^y)
3735887311*(x^y) + 18446744073709502242*(x|~y) + 18446744073709502242*y + 49374*(x|y), 49374 + 3735936685*(x^y)
18446744069973614931*x + 18446744069973614931*y + 7471873370*(x|y) + 49374, 49374 + 3735936685*(x^y)
18446744069973614931*~(x^y) + 18446744069973664305*x + 3735887311*(x|~y) + 3735887311*(x|y), 49374 + 3735936685*(x^y)
49374*(x&~y) + 18446744073709502242*~y + 18446744069973614931*(x&y) + 3735887311*(x|y), 49374 + 3735936685*(x^y)
3735936685*~y + 18446744069973614931*(x|~y) + 3735936685*(x|y) + 49374, 49374 + 3735936685*(x^y)
49374*~(x|~y) + 3735936685*(x^y) + 18446744073709502242*~(x&y) + 18446744073709502242*y, 49374 + 3735936685*(x^y)
1572877696172503831*~(x|~y) + 3735887311*(x^y) + 1572877696172454457*~(x^y) + 16873866377537047785*~(x&~y), 49374 + 3735936685*(x^y)
18446744069973614931*~y + 18446744069973664305*~x + 7471823996*~(x&y) + 18446744073709502242*~(x&~y), 49374 + 3735936685*(x^y)
3735887311*~y + 3735887311*~x + 7471774622*(x&y) + 18446744066237727620*~(x^y), 49374 + 3735936685*(x^y)
18446744069973614931*~(x|y) + 3735887311*~x + 18446744069973614931*(x&y) + 3735887311*x, 49374 + 3735936685*(x^y)
3735936685*~(x&y) + 3735986059*x + 18446744069973565557*(x|~y) + 18446744073709502242*(x|y), 49374 + 3735936685*(x^y)
7735239282613928633*(x^y) + 14579124434270530955*~(x&y) + 3867619639438971287*~(x^y) + 14579124434270530955*(x|y), 49374 + 3735936685*(x^y)
15583431822641286914*~(x&y) + 15583431818905350229*~(x^y) + 15583431822641286914*(x|y) + 12720119567837134901, 49374 + 3735936685*(x^y)
18446744073709502242*~y + 3735887311*(x^y) + 18446744073709452868*(x&y) + 49374*x, 49374 + 3735936685*(x^y)
18446744073709502242*~(x|y) + 3735887311*(x&~y) + 3735936685*~(x|~y) + 18446744073709502242*y, 49374 + 3735936685*(x^y)
18446744069973565557*~(x|y) + 49374*~y + 3735887311*~(x&y) + 18446744073709502242*x, 49374 + 3735936685*(x^y)
18446744069973614931*~x + 18446744062501790935*(x&y) + 3735887311*(x|~y) + 7471823996*y, 49374 + 3735936685*(x^y)
18446744073709502242*~(x|y) + 3735936685*(x&~y) + 3735887311*~(x|~y) + 18446744073709502242*x, 49374 + 3735936685*(x^y)
8280511607859393415*(x^y) + 8280511604123456730*~(x^y) + 8280511604123506104, 49374 + 3735936685*(x^y)
49374*(x&~y) + 3735887311*~(x&y) + 3735887311*x + 18446744069973614931*(x|~y), 49374 + 3735936685*(x^y)
18446744069973565557*~y + 18446744069973614931*~x + 7471873370*~(x&y) + 18446744073709502242*y, 49374 + 3735936685*(x^y)
18446744069973614931*~x + 3735936685*~(x&y) + 18446744069973614931*(x|~y) + 18446744069973664305, 49374 + 3735936685*(x^y)
18446744073709502242*~y + 18446744073709502242*~(x|~y) + 3735986059*(x^y) + 18446744073709502242*(x|y), 49374 + 3735936685*(x^y)
3735936685*~(x|~y) + 18446744069973614931*~x + 3735936685*~(x&y) + 49374, 49374 + 3735936685*(x^y)
11383995551886620842*~(x^y) + 7062748518086994089*(x|~y) + 7062748518086994089*~(x&~y) + 7062748514351106778, 49374 + 3735936685*(x^y)
18446744073709502242*~y + 3735986059*(x^y) + 49374*x + 18446744073709452868*(x|y), 49374 + 3735936685*(x^y)
5042570493264193049*~y + 13404173584181245878*(x^y) + 13404173580445309193*~(x^y) + 5042570493264193049*y, 49374 + 3735936685*(x^y)
3735986059*(x&~y) + 18446744073709502242*~y + 3735936685*~(x|~y) + 18446744073709502242*(x|y), 49374 + 3735936685*(x^y)
17407895198486760458*(x^y) + 17407895194750823773*~(x^y) + 17407895194750873147, 49374 + 3735936685*(x^y)
18446744069973614931*~(x|y) + 3735936685*~x + 18446744069973614931*~(x&~y) + 18446744069973664305, 49374 + 3735936685*(x^y)
3735936685*(x&~y) + 3735936685*~(x|~y) + 18446744073709502242*~(x&y) + 18446744073709502242*(x&y), 49374 + 3735936685*(x^y)
18446744069973614931*~y + 18446744069973614931*(x&y) + 18446744069973614931*~(x&~y) + 18446744066237727620, 49374 + 3735936685*(x^y)
9439460777868587365*~(x&y) + 9439460777868587365*(x&y) + 18446744069973614931*~(x^y) + 9439460774132700054, 49374 + 3735936685*(x^y)
14601912250573924778*(x^y) + 14601912246837988093*~(x^y) + 14601912246838037467, 49374 + 3735936685*(x^y)
9812593907728870894*(x&~y) + 9812593907728870894*~(x|~y) + 8634150169716568033*(x^y) + 18446744073709502242*~(x^y), 49374 + 3735936685*(x^y)
18446744066237776994*(x&y) + 18446744073709502242*~(x^y) + 3735887311*x + 3735887311*y, 49374 + 3735936685*(x^y)
16405906061343078747*~(x|y) + 3735887311*~(x&y) + 16405906065078966058*(x&y) + 2040838008630536184*~(x^y), 49374 + 3735936685*(x^y)
15332887866807644509*(x^y) + 15332887863071707824*~(x^y) + 15332887863071757198, 49374 + 3735936685*(x^y)
18446744066237628872*~(x|y) + 3735936685*~y + 3735936685*~x + 18446744073709502242*(x|y), 49374 + 3735936685*(x^y)
49374*(x&~y) + 18446744073709502242*~y + 3735887311*(x^y) + 18446744073709502242*(x&y), 49374 + 3735936685*(x^y)
3735887311*(x&~y) + 18446744069973664305*~y + 3735887311*~(x&y) + 18446744073709502242*~(x^y), 49374 + 3735936685*(x^y)
