# 3735936685*~x
9925453257363832303*~(y|~z) + 7471873370*(y^(~x|(y|z))) + 18446744069973614931*~y + 4260645406304891314*(y^z) + 3735936685*(y^(x|(y^z))) + 9925453264835705673*(y^~(x|(y^z))) + 4260645406304891314*~(x^(y&z)) + 4260645402568954629*~(x^(y|z)), 3735936685*~x
18446744062501741561*(z^(x|(y&z))) + 3735936685*(z^(x|~y)) + 7471873370*(z^~(~x&(~y|z))) + 3735936685*(y^~(x&(~y|z))) + 3735936685*~(x^(y&z)) + 18446744066237678246*((x&z)^~(x^(~y&z))), 3735936685*~x
18446744069973614931*(~x&(~y&z)) + 18446744069973614931*(y^(x|(y|z))) + 7471873370*(y^(x|(~y&z))) + 3735936685*~(x^y) + 18446744069973614931*(x|y), 3735936685*~x
14712871338532460759*(y^(x|(y&z))) + 11424237792763428500*(~(x&y)&~(y^z)) + 7245125871914215730*(z^(x&(~y|z))) + 3511253144208998243*~(x&(y|z)) + 3511253140473061558*(~(x&y)&~(x^(y^z))) + 222619594704029299*((x&y)^(y|z)) + 7467745466618245029*(y^~(x&z)) + 10978998607091306587*~(y^z), 3735936685*~x
18446744062501741561*~(x|~z) + 7471873370*(z^(x&y)) + 18446744066237678246*(x&z) + 3735936685*((x&y)^(x^(~y|z))) + 11207810055*((y&z)|(~x&(y|z))) + 18446744066237678246*(y|~(x|~z)), 3735936685*~x
13605294556326250315*(z^(~x|(y|z))) + 4841449521119237986*~z + 3735936685*(z^(x|(y&z))) + 13605294548854376945*((x&z)^~(x^(y&z))) + 3735936685*((x|y)&(x^(y^z))) + 13605294545118440260*~(~x|(~y&z)) + 4841449521119237986*(~(x^y)|~(x^z)) + 3735936685*(z|~(x|y)), 3735936685*~x
18446744069973614931*x + 18446744069973614931*(y&z) + 3735936685*(y|~(x|z)) + 3735936685*(x|(y&z)) + 18446744069973614931*(y|(x&z)) + 3735936685*(z|~(x|~y)), 3735936685*~x
18446744066237678246*(z^(x&(y|z))) + 3735936685*(z^~(~x&(~y|z))) + 3735936685*(~(x|~y)|(y^z)) + 18446744069973614931*~(~x&(~y|z)) + 3735936685*(y^~(x|(y&z))), 3735936685*~x
3735936685*(y^~(~x&(~y&z))) + 18446744069973614931*(y^(x|~z)) + 18446744069973614931*(y^~(~x&(y&z))) + 18446744066237678246*(~(x^y)&~(x^z)) + 18446744066237678246*((x|~y)&(x^(y^z))) + 3735936685*(z^~(x|(~y&z))) + 11207810055*(~(x|y)|~(y^z)), 3735936685*~x
18446744069973614931*(y^z) + 6148914686255268292*(x^(~y|z)) + 18446744066237678246*(y^~(~x&(~y|z))) + 12297829391190220009*~(x^(y^z)) + 6148914701199015032*((x&y)^(y|z)) + 6148914701199015032*(y^~(x&z)) + 18446744066237678246*(y^(~x|(y^z))) + 12297829379982409954*(~(x|~y)|~(y^z)), 3735936685*~x
8642867237019991610*~(x|(y|z)) + 9803876836689560006*(y^~(x|(~y&z))) + 4321433618509995805*(y^~(x|(y^z))) + 4321433614774059120*((x|~y)&(x^(y^z))) + 18446744069973614931*(~(x|~y)|~(y^z)) + 4321433618509995805*(y&(x|z)) + 14125310462671429181*~(x&(y^z)), 3735936685*~x
11207810055*(~(x&y)&(x^(y^z))) + 14943746740*(~y&~(x^z)) + 18679683425*((x|y)&(y^z)) + 18446744066237678246*~(y&z) + 18446744062501741561*((x|y)&~(x^(y^z))) + 18446744058765804876*(z^(~x&(y|z))) + 18679683425*(y&z) + 18446744069973614931*(~(x|~y)|~(y^z)), 3735936685*~x
18446744069973614931*(~x&(y&z)) + 18446744069973614931*((x|~y)&~(y^z)) + 18446744069973614931*(y^(~x&(y|z))) + 3735936685*(z^(x&~y)) + 3735936685*~(x&~y) + 18446744069973614931*(x|y) + 3735936685*~(~x&(~y&z)), 3735936685*~x
7471873370*(y^~(x&(y^z))) + 3735936685*(z^~(~x&(~y|z))) + 18446744069973614931*(y^~(~x&(y|z))) + 18446744069973614931*(~y|(x^z)) + 18446744069973614931*(y^~(x|(y^z))) + 18446744069973614931*(x^(~y&z)) + 7471873370*(z^~(x|(y&z))), 3735936685*~x
3735936685*~(x^(y^z)) + 7711470092670284896*(x^(~y&z)) + 10735273981039266720*((x&y)|(x^(y^z))) + 10735273981039266720*(~(x|y)|~(y^z)) + 7711470096406221581*~(x&(y^z)) + 18446744069973614931*~(~x&(y^z)), 3735936685*~x
12297829379982409954*(y^~(~x|(y^z))) + 3735936685*~(x&z) + 12297829383718346639*~(x^(~y&z)) + 6148914689991204977*~(~x&(y&z)) + 6148914689991204977*(~(x|y)|~(y^z)) + 12297829383718346639*(~x|(y&z)) + 12297829383718346639*(~(x|~y)|(x^(y^z))), 3735936685*~x
18446744069973614931*(z^(x|y)) + 18446744069973614931*(z^~(~x&(y|z))) + 6148914701199015032*(~z|(x^y)) + 6148914704934951717*(y^(x|(y^z))) + 18679683425*(z^(~x|(~y&z))) + 12297829379982409954*((x&y)|~(y|~z)) + 12297829387454283324*((x|y)&~(y^z)) + 12297829361302726529*((x^y)|~(x^z)), 3735936685*~x
13280760566456378042*~(x|(~y|z)) + 10331967021978220518*~(~x|(~y|z)) + 5165983507253173574*(z^~(x&~y)) + 5165983507253173574*~(y|~z) + 8114777055467267783*(y^~(x&~z)) + 13280760562720441357*(y^(x&z)) + 5165983514725046944*(~x|(~y&z)), 3735936685*~x
18446744069973614931*~(x|(~y|z)) + 7471873370*((x&y)^(y|z)) + 3735936685*(~(x&~y)&(x^(y^z))) + 3735936685*(y|(x&~z)) + 18446744066237678246*(z|(x^y)) + 3735936685*(~x|(~y|z)) + 18446744069973614931*(y|z), 3735936685*~x
18446744062501741561*(~x&(y&z)) + 7471873370*(x^(~y|z)) + 18446744066237678246*~(x^y) + 3735936685*(~(x&~y)&~(y^z)) + 3735936685*((y&z)|(~x&(y|z))), 3735936685*~x
11207810055*(~x&(y^z)) + 3735936685*((x&~y)|~(x^(y^z))) + 18446744069973614931*(y^(x|(~y&z))) + 18446744069973614931*(y^~(x|~z)) + 3735936685*(y&z), 3735936685*~x
12297829383718346639*(y^(x|(~y|z))) + 6148914697463078347*(z^(x&(y|z))) + 12297829387454283324*(z^~(x&y)) + 18446744069973614931*(y^~(x&(y|z))) + 12297829383718346639*(z^(~x&(~y|z))) + 12297829379982409954*(x|y), 3735936685*~x
18446744069973614931*(z^~(x&(~y&z))) + 18446744062501741561*~(x|~y) + 14943746740*(~y|(x^z)) + 14943746740*((x|~y)&~(y^z)) + 7471873370*((x|y)&(x^(y^z))) + 18446744051293931506*((x&y)|~(y|z)) + 11207810055*(y|~(x|z)) + 18446744062501741561*~(y&~z), 3735936685*~x
18446744069973614931*(x^y) + 18117446467207269668*(x&(y&z)) + 329297599030408578*(y^~(x&(y&z))) + 329297602766345263*(y&~(x&~z)) + 18117446478415079723*(~x|(~y|z)), 3735936685*~x
7471873370*(y&~z) + 14286239645781420749*(z^(~x|(y&z))) + 4160504427928130867*((x|y)&(y^z)) + 4160504431664067552*(y^(~x|(y|z))) + 14286239642045484064*((x|~y)&(y^z)) + 18446744069973614931*(z^~(x&(y&z))) + 3735936685*(~(x|y)|~(y^z)), 3735936685*~x
7471873370*~(x|y) + 18446744069973614931*(z^~(x&~y)) + 14943746740*(z&~(x&y)) + 18446744062501741561*(z^(x&y)) + 7471873370*((x&y)|~(y|z)) + 18446744058765804876*(y^~(x&z)) + 7471873370*(~z|~(x^y)), 3735936685*~x
14591071534364440270*~(x|~y) + 14591071530628503585*~(x|(~y&z)) + 3855672543081048031*~(x^(~y&z)) + 14591071526892566900*(x&(~y|z)) + 3735936685*(y^~(x&(y&z))) + 3855672543081048031*(y^(x&~z)), 3735936685*~x
18446744066237678246*(x&(y^z)) + 4167244989612723978*(~(x&y)&~(x^(y^z))) + 4167244982140850608*(y&(x|~z)) + 7471873370*((y&~z)|~(~x|(~y&z))) + 18446744069973614931*(~(x|y)|(x^(y^z))) + 14279499080360890953*((x|y)&~(y^z)) + 4167244989612723978*(z^(x&~y)) + 14279499091568701008*(~x|(y|z)), 3735936685*~x
7471873370*~(x|(y|z)) + 18446744069973614931*(~z&~(x^y)) + 3735936685*~(y|~z) + 18446744069973614931*(x&z) + 3735936685*y, 3735936685*~x
17276927416131694164*(y^~(x&(y^z))) + 17276927416131694164*((x&z)^(x^(~y&z))) + 18446744069973614931*(x|(~y&z)) + 14937294097240042575*((y&z)|(~x&(y|z))) + 2339633318891651589*(z^~(~x|(y&z))) + 16107110754817900027*(z^~(x|y)) + 3509449980205445726*~(x&~z), 3735936685*~x
2409547046958199769*((x&y)^~(x^(y&z))) + 13627649979793152078*((x|y)&(y^z)) + 2409547046958199769*(~x&(~y|z)) + 16037197030487288532*~x + 13627649979793152078*((x&z)^(x^(y&z))) + 7228641140874599307*(x|y) + 16037197026751351847*(~x|(~y|z)), 3735936685*~x
7773095952315755258*(~z&~(x^y)) + 10673648125129733043*(z^(~x|(y|z))) + 18446744069973614931*~z + 10673648121393796358*(z^(x&(~y|z))) + 7773095956051691943*~(x&(y|z)) + 7773095952315755258*(y^(x&z)) + 10673648121393796358*(~(x|~y)|~(x^(y^z))), 3735936685*~x
3735936685*((x&y)^(y|~z)) + 18446744069973614931*(~z|~(x^y)) + 3735936685*(~y|~(x^z)) + 3735936685*(y^~(x|(y&z))) + 18446744069973614931*((x&~y)|~(y^z)), 3735936685*~x
12297829387454283324*(~x&(y|z)) + 12297829383718346639*(z^~(~x&(y|z))) + 6148914689991204977*(y^(x|(y^z))) + 6148914689991204977*(~(x|y)|(x^(y^z))) + 6148914693727141662*((x&z)|~(y|z)) + 6148914689991204977*(y^(~x&(y^z))) + 12297829383718346639*~(x&~y) + 6148914689991204977*(x|y), 3735936685*~x
7471873370*(z^(~x|(~y|z))) + 7471873370*(y^(x&(y|z))) + 18446744058765804876*(x^y) + 7471873370*(y^(x|(~y&z))) + 18446744069973614931*~(x^(y&z)) + 3735936685*(y&z), 3735936685*~x
12297829383718346639*(~x&(y&z)) + 12297829379982409954*((x&y)^(y|z)) + 12297829387454283324*(z^(x&y)) + 6148914693727141662*(~(x|~y)|(x^(y^z))) + 3735936685*((x^y)|~(x^z)) + 6148914686255268292*(x|(y&z)) + 6148914689991204977*(z|(x&~y)), 3735936685*~x
18446744066237678246*(y^(~x|(y&z))) + 3735936685*(y^(~x|(y|z))) + 11207810055*~(x^(y&z)) + 18446744066237678246*(y^~(x|~z)) + 18446744055029868191*(z^(~x&(~y|z))) + 11207810055*~(x^(y|z)) + 3735936685*(z|~(x^y)), 3735936685*~x
18446744069973614931*(y^~(~x&(~y&z))) + 7471873370*(y^(~x|(~y|z))) + 3735936685*(~x&(y&z)) + 18446744069973614931*(z^~(~x|(~y&z))) + 18446744069973614931*(x|(~y&z)) + 3735936685*(z|(x^y)), 3735936685*~x
7471873370*~(x|z) + 3735936685*(~x&(y|z)) + 3735936685*((x&y)|~(y|z)) + 18446744069973614931*~(x^(y&z)) + 18446744069973614931*(y|~z) + 3735936685*(z&~(x&~y)), 3735936685*~x
18446744069973614931*((x&z)^~(x^(y&z))) + 18446744055029868191*(y^~(~x&(~y|z))) + 7471873370*(y^(x&(~y|z))) + 14943746740*((y&~z)^(~x|(y^z))) + 18446744062501741561*(x&z) + 18679683425*(x&(~y|z)) + 18446744066237678246*(x|~y), 3735936685*~x
10540996611947199487*(~(x&y)&(x^(y^z))) + 15811494923524704258*(~(x^y)&(x^z)) + 13176245765867983530*(z^~(x&(~y&z))) + 5270498307841568086*~(x&(y|z)) + 15811494923524704258*(~x|(~y&z)) + 2635249153920784043*(z^(~x|(~y&z))) + 7905747461762352129*(y^(x&~z)) + 7905747458026415444*(z|(x&y)), 3735936685*~x
5102387714335982474*~z + 6672178179686784571*(y^(~x|(y&z))) + 6672178183422721256*(y^~(~x&(y&z))) + 6672178179686784571*~(~x|(y^z)) + 13344356363109505827*(y|(x&~z)) + 7471873370*(z&~(x&~y)) + 5102387706864109104*(z^(x&~y)) + 11774565890286830360*((y&z)|(x&(y|z))), 3735936685*~x
3735936685*(z^(~x|(y|z))) + 18446744069973614931*((x&y)|~(y|z)) + 3735936685*(~(x|y)|~(y^z)), 3735936685*~x
6632845136491578483*~(~x|(y&z)) + 11813898937217973133*(y^(x|(y|z))) + 11813898937217973133*((y&~z)|~(x|(~y&z))) + 6632845140227515168*~(x&(y|z)) + 6632845140227515168*(z^~(x|~y)) + 11813898933482036448*((x&~y)|(x^(y^z))), 3735936685*~x
1959506351633626014*((x&~y)|(y^z)) + 1959506351633626014*((x|y)&~(x^(y^z))) + 1959506355369562699*(y^(x|(~y&z))) + 3735936685*(~x|(y^z)) + 14527731366706362903*((x^y)|(x^z)) + 1959506355369562699*(~(x&~y)&(x^(y^z))) + 16487237718339988917*(z^~(x|~y)), 3735936685*~x
3735936685*(z^(~x|(y|z))) + 7471873370*~(x|~z) + 18446744069973614931*(~x|(y^z)) + 18446744069973614931*~(~x|(~y&z)) + 3735936685*(x|~z), 3735936685*~x
3735936685*~(x|~z) + 3735936685*((x|y)&~(x^(y^z))) + 18446744069973614931*(y^(x|(y^z))) + 18446744069973614931*(~(x&~y)&~(y^z)) + 7471873370*~(x&(y^z)) + 18446744069973614931*(y|(x^z)), 3735936685*~x
3735936685*(~x&(y&z)) + 18446744069973614931*(x&(y&z)) + 3735936685*~(x^(y&z)), 3735936685*~x
18446744058765804876*(x&~z) + 11207810055*(z^(x|(~y|z))) + 3735936685*~z + 18446744069973614931*(y^(~x|(~y|z))) + 18446744069973614931*(z^~(x&(y&z))) + 18446744069973614931*(z^~(x|(y&z))) + 7471873370*(x|(y|z)), 3735936685*~x
3735936685*~(x&z) + 18446744069973614931*(z^~(~x|(~y&z))) + 5288796725649221474*(y&~(x^z)) + 13157947344324393457*(y&(x|~z)) + 13157947348060330142*(z|~(x|~y)) + 5288796729385158159*(y|z), 3735936685*~x
16389158096408991729*~(x|z) + 6834776684915349396*(~(x|y)|(y^z)) + 6834776684915349396*~(x|(~y&z)) + 6834776681179412711*(x&(y|z)) + 6834776684915349396*(~x|(y&z)) + 4777190707614789509*(z|(x&y)), 3735936685*~x
3735936685*~(x|z) + 3735936685*((x|~y)&~(x^(y^z))) + 18446744069973614931*(~x&(y&z)) + 3735936685*(y&(x|~z)) + 18446744066237678246*(x|~z) + 18446744069973614931*(z^~(x|(~y&z))) + 7471873370*(~x|(~y|z)), 3735936685*~x
2635249146448910673*(x&~z) + 15811494919788767573*(~(x&y)&~(y^z)) + 13176245769603920215*(y^~(~x&(y|z))) + 13176245769603920215*(~y|(x^z)) + 13176245773339856900*((x&y)|(x^(y^z))) + 15811494916052830888*((x&~y)|(x^(y^z))) + 13176245765867983530*(~(x^y)|~(x^z)) + 13176245765867983530*(y&(x|z)), 3735936685*~x
6148914689991204977*(z^~(x&~y)) + 6148914693727141662*(y^z) + 6148914693727141662*(~(x&~y)&(x^(y^z))) + 12297829376246473269*(y^(~x&(y|z))) + 12297829387454283324*(y^~(x|(y&z))) + 6148914689991204977*(z&(x|y)), 3735936685*~x
3735936685*~(x|(y&z)) + 6275982118602522516*(x&~y) + 6275982114866585831*(~(x^y)&~(x^z)) + 12170761955107029100*((x&z)|~(y|z)) + 3735936685*(~(x&~y)&~(y^z)), 3735936685*~x
3735936685*(x^(y|z)) + 3735936685*((x&z)^~(x^(~y&z))) + 18446744069973614931*(y^(x&~z)), 3735936685*~x
6182121318259853795*((x&y)^~(x^(y&z))) + 12264622759185634506*((x|~y)&~(x^(y^z))) + 12264622759185634506*(z^(x&(~y|z))) + 12264622755449697821*(y&(x|~z)) + 3735936685*(y&~(x&~z)) + 6182121314523917110*(x|(y&z)), 3735936685*~x
12297829383718346639*(~z&(x^y)) + 12297829379982409954*(x&~z) + 6148914693727141662*(y^~(~x|(y^z))) + 6148914693727141662*(~(x|y)|~(x^(y^z))) + 12297829383718346639*((x|~y)&(x^(y^z))) + 12297829383718346639*(~(x&~y)&~(y^z)) + 12297829379982409954*(x|(y&z)), 3735936685*~x
3735936685*~(x|(y|z)) + 18446744069973614931*(~(x^y)&(x^z)) + 14233830406947819503*(y^(~x|(y|z))) + 8425827340995337596*(~(x|~y)|~(x^(y^z))) + 12638741011493006394*((x|~y)&(x^(y^z))) + 14233830399475946133*((x&z)|~(y|z)) + 10020916736450150705*(y|(x^z)), 3735936685*~x
7471873370*(x&(y^z)) + 3735936685*((x|~y)&~(x^(y^z))) + 18446744051293931506*(~z|(x^y)) + 22415620110*~(x&y) + 18446744069973614931*(y&(x|~z)) + 14943746740*(y&(x|z)) + 7471873370*(y^(x&(y^z))) + 18446744055029868191*z, 3735936685*~x
18446744069973614931*~(y|z) + 3735936685*((x&y)^~(x^(y&z))) + 18446744069973614931*((x|y)&(y^z)) + 3735936685*(y^~(~x&(y|z))), 3735936685*~x
18446744069973614931*(x&~z) + 18446744069973614931*~(x|~y) + 7471873370*(y&~(x&z)) + 18446744069973614931*(y&(x|~z)) + 3735936685*(y^(~x|(y^z))) + 3735936685*~(x&(y^z)) + 18446744069973614931*(z|~(x|y)), 3735936685*~x
3735936685*(y^~(~x&(y^z))) + 18446744069973614931*(y^(x|z)) + 18446744066237678246*~(~x|(~y&z)) + 7471873370*((x&y)|(x^(y^z))) + 18446744069973614931*(x|~z) + 3735936685*~(~x&(y^z)), 3735936685*~x
18446744069973614931*((x&y)^~(x^(~y|z))) + 3735936685*((x&~y)|(y^z)) + 3735936685*~(y&z) + 18446744069973614931*(z^~(~x|(~y&z))) + 18446744066237678246*~(x^y) + 7471873370*(y^~(x|(y&z))), 3735936685*~x
18446744069973614931*(x&(y&z)) + 18446744066237678246*(x|~z) + 7471873370*(y^~(x&(y&z))) + 18446744069973614931*(y&z) + 3735936685*(~(x|~y)|~(y^z)) + 7471873370*y + 18446744069973614931*(z^(x&~y)), 3735936685*~x
17450938187820738362*~(~x|(y|z)) + 3735936685*~(y|z) + 3735936685*(~x&(y|z)) + 17450938191556675047*((y&z)|(~x&(y|z))) + 995805882152876569*(~(x|~y)|(x^(y^z))), 3735936685*~x
3735936685*~(x|(~y&z)) + 18446744069973614931*(y^(x&(y|z))) + 3735936685*((x&y)^(y|z)), 3735936685*~x
722026772969141974*~(x|~z) + 5667563510502401451*((x|y)&~(x^(y^z))) + 12779180563207150165*((x|~y)&~(y^z)) + 12057153790238008191*(x|(y^z)) + 5667563506766464766*((x&z)^(x^(y&z))) + 11335127021004802902*~(x&(y^z)) + 12779180566943086850*~(x&(~y&z)) + 722026772969141974*(x|y), 3735936685*~x
9155965051426419157*~(x&(y|z)) + 9155965051426419157*(x^(~y|z)) + 134813974592649987*(z^~(~x&(y|z))) + 9290779026019069144*((x&y)^(y|z)) + 9155965047690482472*(z^~(~x|(~y&z))), 3735936685*~x
3735936685*~(x|~y) + 3735936685*(y^(x|~z)) + 18446744066237678246*(x^y) + 18446744066237678246*(x&y) + 3735936685*((x&y)|(y^z)) + 3735936685*(y|(x&~z)), 3735936685*~x
14943746740*~(x|y) + 18446744069973614931*(y^~(~x&(~y&z))) + 18446744066237678246*(~(x|y)|(y^z)) + 11207810055*((x&y)^(y|z)) + 18446744069973614931*(z^(x&y)) + 14943746740*~(~x&(y|z)) + 18446744062501741561*(y^~(x&(y&z))) + 18446744069973614931*(y^~(x|z)), 3735936685*~x
6148914686255268292*((x^y)&(x^z)) + 3735936685*(y^~(~x|(~y&z))) + 3735936685*((y&~z)^(~x|(y^z))) + 12297829383718346639*((x|y)&(x^(y^z))) + 12297829383718346639*(x^(y^z)) + 12297829379982409954*(z^(~x&(y|z))) + 6148914689991204977*(x|(~y&z)) + 12297829383718346639*(y&(x|z)), 3735936685*~x
6148914693727141662*~(y|z) + 12297829383718346639*((x|~y)&~(x^(y^z))) + 12297829383718346639*(~(x&~y)&~(x^(y^z))) + 6148914689991204977*(z^~(~x&(y&z))) + 3735936685*(~x&(y|z)) + 12297829383718346639*((y&z)|(~x&(y|z))) + 6148914689991204977*(x|z), 3735936685*~x
22415620110*(~(x&y)&(x^(y^z))) + 18446744058765804876*(z^(x|y)) + 3735936685*(x^z) + 11207810055*(~(x&y)&~(x^(y^z))) + 18446744069973614931*(y^(x|(~y&z))) + 11207810055*(y&(x|~z)) + 18446744069973614931*(~(x&~y)&(x^(y^z))) + 18446744066237678246*((x^y)|~(x^z)), 3735936685*~x
2988749348*(z^(x|y)) + 5977498696*~(x|(~y&z)) + 18446744070720802268*((y&~z)|~(x|(~y&z))) + 18446744072962364279*(z^(x&(~y|z))) + 2241562011*(~(x&y)&~(x^(y^z))) + 18446744071467989605*(x^y) + 18446744072215176942*~(~x&(y|z)) + 1494374674*(x|z), 3735936685*~x
3735936685*~(x|(y&z)) + 3735936685*(z^(x|y)) + 18446744066237678246*((x&z)^(x^(~y&z))) + 7471873370*(~(x|y)|~(x^(y^z))) + 18446744069973614931*(~x|(y^z)) + 18446744069973614931*(y|~(x|z)) + 3735936685*(x|y), 3735936685*~x
15662225340198234487*~(~x|(y|z)) + 15662225343934171172*(~(x&~y)&~(x^(y^z))) + 2784518733511317129*((x&~y)|~(x^(y^z))) + 2784518737247253814*(y&~(x^z)) + 18446744069973614931*((x&y)|~(y|z)) + 15662225336462297802*(z^(~x&(y|z))) + 3735936685*(~y|~(x^z)), 3735936685*~x
3735936685*~(~x|(y|z)) + 3735936685*(~x&(y&z)) + 18446744069973614931*~(~x|(y^z)) + 3735936685*~(x^(y&z)), 3735936685*~x
18446744066237678246*((y&~z)^(~x|(y^z))) + 7471873370*((x&y)^(y|z)) + 3735936685*(y&~(x^z)) + 18446744066237678246*(y&(x|~z)) + 18446744062501741561*(z^~(~x|(y&z))) + 14943746740*(~(x^y)|(x^z)) + 18446744069973614931*((x&~y)|~(y^z)) + 3735936685*((y&z)|(x&(y|z))), 3735936685*~x
3735936685*(y^(x|z)) + 3735936685*((x|~y)&(y^z)) + 18446744069973614931*(z^~(~x&(y|z))) + 7471873370*(y^(~x&(y|z))) + 18446744058765804876*((x&y)|~(y|~z)) + 7471873370*(z|~(x^y)), 3735936685*~x
18446744066237678246*~(~x|(~y|z)) + 18446744058765804876*(z&(x^y)) + 7471873370*~(x^(y^z)) + 3735936685*(~y|(x^z)) + 18446744062501741561*(~(x|y)|(x^(y^z))) + 3735936685*(y^(~x|(~y&z))) + 14943746740*(~(x|~y)|(x^(y^z))) + 18446744066237678246*(z^~(~x|(y&z))), 3735936685*~x
14943746740*(~x&(y|z)) + 18446744066237678246*(z&(x^y)) + 18446744069973614931*(y&(x|~z)) + 3735936685*(x|~z) + 3735936685*(z^~(x|(~y&z))) + 11207810055*~(y^z) + 18446744058765804876*~(x&(y^z)), 3735936685*~x
913108771272092226*(~z&(x^y)) + 17533635294965586020*(x&~z) + 7471873370*(z^(x|(~y|z))) + 17533635302437459390*(z^~(x&y)) + 913108767536155541*((x&y)|~(y|z)) + 3735936685*(y|(x^z)), 3735936685*~x
11207810055*((x&~y)|(y^z)) + 18446744069973614931*((y&~z)|~(x|(~y&z))) + 7471873370*(x^(y^z)) + 7471873370*((x&y)|~(y|~z)) + 18446744051293931506*(x|(y^z)) + 3735936685*y + 18446744069973614931*(x|(y&z)) + 7471873370*~(~x&(~y&z)), 3735936685*~x
747187337*(~z&(x^y)) + 18446744070720802268*((x&y)^~(x^(~y|z))) + 2988749348*(y&~(x&z)) + 2988749348*(z^(x&(~y|z))) + 18446744072962364279*(y^(x|(~y&z))) + 18446744069973614931*(z&~(x^y)) + 5230311359*(z^~(x|(~y&z))) + 18446744072215176942*(z^~(x|(y&z))), 3735936685*~x
18446744069973614931*(~x&(y&z)) + 3735936685*(y^~(~x&(y|z))) + 18446744069973614931*~(x^(~y|z)) + 3735936685*((y&z)|(~x&(y|z))), 3735936685*~x
3735936685*~(~x|(~y|z)) + 18446744069973614931*(x&~z) + 3735936685*~(x&(y|z)), 3735936685*~x
3735936685*(z^(~x|(~y|z))) + 18679683425*~(x|y) + 18446744066237678246*(y^~(x&(~y&z))) + 11207810055*~(y|~z) + 18446744058765804876*(y^(~x|(y|z))) + 18446744069973614931*(~(x&~y)&(x^(y^z))) + 3735936685*((x^y)|~(x^z)), 3735936685*~x
7471873370*(z^(~x|(y|z))) + 18446744066237678246*(y^(x&z)) + 18446744058765804876*~(~x&(~y|z)) + 26151556795*(x|(~y&z)) + 18446744051293931506*(x|~y) + 18446744066237678246*((x&z)^(x^(y&z))) + 18679683425*~(~x&(~y&z)), 3735936685*~x
7471873370*~(x|(y|z)) + 18446744069973614931*((x|~y)&~(y^z)) + 3735936685*(~(x|~y)|(x^(y^z))), 3735936685*~x
3264850130065867181*(z^(~x|(y|z))) + 15181893936171811065*~(~x|(y&z)) + 3735936685*(~z|(x^y)) + 3264850133801803866*(~(x|y)|~(x^(y^z))) + 6529700263867671047*~(~x|(y^z)) + 15181893943643684435*(~z|~(x^y)) + 15181893939907747750*(~(x&~y)&~(y^z)), 3735936685*~x
18446744055029868191*~(y|z) + 3735936685*~(x|z) + 14943746740*(y^~(x&(y^z))) + 18446744069973614931*((x|~y)&(y^z)) + 18446744066237678246*(z^(x&(y|z))) + 7471873370*(y^~(~x&(~y|z))) + 18446744069973614931*(x|(~y&z)) + 3735936685*((x&y)^(x^(~y|z))), 3735936685*~x
18679683425*(y^~(~x&(~y&z))) + 18446744058765804876*~(y&z) + 14943746740*((y&~z)|~(x|(~y&z))) + 18446744069973614931*(y^(x|(~y&z))) + 18446744058765804876*(z^~(x&(y|z))) + 22415620110*((x&~y)|(x^(y^z))) + 18446744066237678246*((x&y)^(x^(y&z))), 3735936685*~x
3735936685*(z^(~x|(y|z))) + 18446744069973614931*(z^~(x&(~y&z))) + 3735936685*~(x&y), 3735936685*~x
18446744058765804876*(z^(x|y)) + 18446744066237678246*(x&(~y&z)) + 18679683425*(y^(~x|(~y|z))) + 18446744069973614931*(~(x&y)&~(y^z)) + 7471873370*((y&~z)|~(x|(~y&z))) + 11207810055*(~(x|~y)|~(y^z)) + 18679683425*(x|(y&z)) + 18446744043822058136*~(~x&(y^z)), 3735936685*~x
11207810055*(z&(x^y)) + 11207810055*((x|y)&~(x^(y^z))) + 18446744058765804876*(y^(x&(~y|z))) + 11207810055*(x^(~y&z)) + 18446744043822058136*((x&y)|~(y|~z)) + 22415620110*~(~x&(y&z)) + 14943746740*(y&~(x&~z)) + 18446744055029868191*(~(x|~y)|~(y^z)), 3735936685*~x
18446744066237678246*(z^(~x|(~y|z))) + 3735936685*((x&z)^(x^(~y&z))) + 11207810055*~(x|(~y&z)) + 18446744066237678246*(y^(x&(~y|z))) + 18446744069973614931*(x^(~y&z)) + 18446744055029868191*(z&(x|~y)) + 14943746740*((y&~z)^(x|(y^z))) + 7471873370*((x&y)|(y^z)), 3735936685*~x
12297829379982409954*(~y&(x^z)) + 12297829387454283324*(y&(x^z)) + 3735936685*((x&z)^~(y&~z)) + 6148914689991204977*(x^(~y&z)) + 6148914697463078347*(z^~(x|(~y&z))) + 12297829383718346639*(y&~(x&~z)) + 18446744069973614931*(y|~(x^z)) + 12297829379982409954*(z|~(x|y)), 3735936685*~x
18446744066237678246*(y^(x&z)) + 7471873370*((x^y)|(x^z)) + 18446744069973614931*(x^(~y&z)) + 7471873370*(x&(y|z)) + 18446744066237678246*x + 3735936685*(y|~z), 3735936685*~x
11207810055*(z^~(~x&(~y&z))) + 18446744066237678246*((x|y)&(y^z)) + 7471873370*(y^~(x&~z)) + 18446744062501741561*(z^(x|(~y&z))) + 18446744058765804876*(y^~(x&(~y|z))) + 14943746740*(y&z), 3735936685*~x
3735936685*(z^(~x|(y|z))) + 18446744066237678246*(y^(x|(y&z))) + 18446744069973614931*(z^(x&(y|z))) + 7471873370*(x^y) + 18446744066237678246*(z^~(x&(y&z))) + 7471873370*(~z|~(x^y)), 3735936685*~x
