# 3735936685*~x
4554857727453019050*~(x|y) + 4554857727453019050*~(x|~y) + 13891886349992469251*~x, 3735936685*~x
5931584240980739623*~y + 12515159836464748678*~x + 12515159832728811993*(x|~y) + 5931584240980739623*~(x&~y), 3735936685*~x
3735936685*~y + 3735936685*(x^y) + 7471873370*y + 18446744066237678246*(x|y), 3735936685*~x
9334172245751708947*~(x|y) + 18446744069973614931*(x&~y) + 9334172245751708947*(x^y) + 9112571831693779354*~(x&y), 3735936685*~x
9804575007844327342*~(x|y) + 8642169069601160959*~x + 8642169065865224274*x + 9804575007844327342*(x|y), 3735936685*~x
18446744069973614931*(x&y) + 3735936685*~(x^y) + 18446744069973614931*(x|~y) + 18446744069973614931, 3735936685*~x
3735936685*~(x|y) + 10392082268631390895*~y + 10392082272367327580*~(x|~y) + 8054661805078160721*~(x&y), 3735936685*~x
3735936685*(x&~y) + 18446744066237678246*x + 3735936685*(x|~y) + 3735936685*y, 3735936685*~x
4765413273970321043*~(x|~y) + 4765413266498447673*x + 3735936685*(x|~y) + 13681330803475167258*(x|y), 3735936685*~x
18159632492702619941*~x + 18159632488966683256*(x&y) + 287111584742868360*~(x&~y), 3735936685*~x
18446744069973614931*~(x^y) + 3735936685*y + 18446744066237678246*(x|y) + 18446744066237678246, 3735936685*~x
16012854860252740646*(x&~y) + 16012854863988677331*~x + 2433889213456810970*~(x&y), 3735936685*~x
3735936685*(x&~y) + 18446744069973614931*(x|~y) + 18446744069973614931*y + 7471873370*~(x&~y), 3735936685*~x
514324188262818069*(x&~y) + 18189581981446110924*~(x&y) + 18189581977710174239*x + 257162095999377377*~(x&~y), 3735936685*~x
3245257433184493272*~(x|y) + 3245257433184493272*~(x|~y) + 15201486644260995029*~x, 3735936685*~x
12207726993422407712*~(x&y) + 12207726989686471027*x + 12207726993422407712*~(x&~y) + 5968709909399327123, 3735936685*~x
10461069413353480375*~x + 10461069409617543690*x + 10461069409617543690, 3735936685*~x
10932748635131269293*~y + 7513995442314219008*~x + 7513995438578282323*(x|~y) + 10932748635131269293*~(x&~y), 3735936685*~x
3708362716906717655*(x&~y) + 3708362720642654340*~x + 14738381356802833961*~(x&y), 3735936685*~x
16489749292750657977*~x + 14532754504319890968*(x&y) + 1956994784694830324*~(x^y) + 1956994784694830324*y, 3735936685*~x
17612473400144505562*~x + 17612473396408568877*x + 17612473396408568877, 3735936685*~x
14953555385066773363*~(x|y) + 14953555385066773363*~(x|~y) + 3493188692378714938*~x, 3735936685*~x
10130634532656183626*~x + 10130634528920246941*x + 10130634528920246941, 3735936685*~x
1243141787584210883*~x + 1243141783848274198*(x&y) + 17203602289861277418*~(x&~y), 3735936685*~x
18446744069973614931*(x&~y) + 18446744069973614931*~(x^y) + 18446744069973614931*(x|y) + 18446744066237678246, 3735936685*~x
11445670657164454551*~x + 11445670653428517866*x + 11445670653428517866, 3735936685*~x
4667771927488762317*(x&~y) + 4667771931224699002*~x + 13778972146220789299*~(x&y), 3735936685*~x
18446744069973614931*(x&~y) + 3735936685*(x^y) + 18446744069973614931*x + 3735936685*(x|~y), 3735936685*~x
3735936685*~(x|y) + 17066736169033243112*~y + 17066736172769179797*~(x|~y) + 1380007904676308504*~(x&y), 3735936685*~x
7471873370*~y + 18446744069973614931*~(x^y) + 11207810055*y + 18446744066237678246*(x|y), 3735936685*~x
7471873370*(x^y) + 3735936685*~(x^y) + 3735936685*y + 18446744066237678246*(x|y), 3735936685*~x
3735936685*~(x|y) + 1879190562810389673*~(x|~y) + 1879190559074452988*(x|~y) + 1879190559074452988, 3735936685*~x
3735936685*~(x^y) + 18446744066237678246*(x|~y) + 18446744069973614931*y + 18446744066237678246, 3735936685*~x
1280463118161154315*~(x|y) + 18446744069973614931*(x&~y) + 1280463118161154315*(x^y) + 17166280959284333986*~(x&y), 3735936685*~x
6361534726614409045*(x&~y) + 6361534730350345730*~x + 12085209347095142571*~(x&y), 3735936685*~x
14157655131404409967*~(x|y) + 14157655127668473282*(x&~y) + 14157655131404409967*~(x|~y) + 4289088946041078334*~(x&y), 3735936685*~x
16217257161034474197*~(x|~y) + 3735936685*~x + 16217257161034474197*~(x^y) + 2229486912675077419*~(x&~y), 3735936685*~x
3159837089140851023*~x + 3159837085404914338*x + 3159837085404914338, 3735936685*~x
15322967146148756354*~x + 15322967142412819669*(x&y) + 3123776931296731947*~(x&~y), 3735936685*~x
7471873370*~(x|~y) + 18446744069973614931*(x^y) + 18446744069973614931*y + 18446744069973614931, 3735936685*~x
1804466471719508788*~(x|~y) + 1804466464247635418*(x&y) + 3735936685*~(x^y) + 16642277605725979513*y, 3735936685*~x
11146604693630632762*~(x|y) + 3735936685*~(x|~y) + 11146604689894696077*y + 7300139383814855539*~(x&~y), 3735936685*~x
12624358902579242298*~(x|y) + 5822385174866246003*~y + 5822385178602182688*~(x|~y) + 12624358898843305613*(x^y), 3735936685*~x
12129403553434525878*~x + 12129403549698589193*(x&y) + 6317340524010962423*~(x&~y), 3735936685*~x
18446744069973614931*~(x^y) + 3735936685*~(x&~y) + 18446744069973614931*(x|y) + 18446744069973614931, 3735936685*~x
193100951042396722*~(x|y) + 193100947306460037*x + 18253643122667154894*(x|~y) + 18446744069973614931, 3735936685*~x
12673490072964457714*~(x|~y) + 5773254004481030587*~x + 5773254000745093902*x + 12673490072964457714*(x|~y), 3735936685*~x
3735936685*(x^y) + 18446744069973614931*(x&y) + 7471873370*~(x^y) + 18446744069973614931*(x|~y), 3735936685*~x
539389320275609690*~(x|y) + 539389316539673005*(x&~y) + 539389320275609690*~(x|~y) + 17907354757169878611*~(x&y), 3735936685*~x
7950470335008212169*(x&~y) + 7950470338744148854*~x + 10496273738701339447*~(x&y), 3735936685*~x
6119620971114275872*~x + 6119620967378339187*(x&y) + 12327123106331212429*~(x&~y), 3735936685*~x
3735936685*~y + 7471873370*~(x|~y) + 3735936685*(x&y) + 18446744069973614931*(x|y), 3735936685*~x
14767148508485532215*~(x|y) + 14767148508485532215*~(x|~y) + 3679595568959956086*~x, 3735936685*~x
18446744069973614931*(x&~y) + 3735936685*~y + 18446744069973614931*x + 3735936685*(x|y), 3735936685*~x
3735936685*~(x^y) + 18446744066237678246*x + 18446744069973614931*y + 7471873370*(x|y), 3735936685*~x
3735936685*~y + 3735936685*(x^y) + 7471873370*(x&y) + 18446744066237678246*x, 3735936685*~x
3735936685*~(x|y) + 14719040399928059422*(x&~y) + 14719040403663996107*~(x|~y) + 3727703673781492194*(x^y), 3735936685*~x
18446744069973614931*~y + 3735936685*(x^y) + 18446744066237678246*y + 7471873370*~(x&~y), 3735936685*~x
17878518335510702991*~(x|~y) + 17878518331774766306*~(x^y) + 18446744069973614931*y + 568225745670721995*~(x&~y), 3735936685*~x
8248103042499226847*~x + 10198641034946261454*~(x&y) + 10198641034946261454*~(x&~y) + 10198641034946261454, 3735936685*~x
12745350348074642326*~y + 5701393729370845975*~x + 5701393725634909290*x + 12745350348074642326*y, 3735936685*~x
9723916304779414622*~(x|y) + 9723916304779414622*~(x|~y) + 8722827772666073679*~x, 3735936685*~x
14630036541955471627*(x&~y) + 3735936685*~(x&y) + 14630036545691408312*y + 3816707528018143304*(x|y), 3735936685*~x
15255609953124284041*~(x|~y) + 15255609949388347356*x + 3191134120585267575*(x|y) + 18446744069973614931, 3735936685*~x
18446744069973614931*~(x^y) + 18446744069973614931*x + 3735936685*(x|~y) + 3735936685*~(x&~y), 3735936685*~x
8404553525071788802*(x&~y) + 8404553528807725487*~x + 10042190548637762814*~(x&y), 3735936685*~x
16723315361794221105*~(x|y) + 3735936685*~(x|~y) + 16723315358058284420*(x|y) + 16723315358058284420, 3735936685*~x
3405303094659332702*(x&~y) + 3735936685*~x + 3405303094659332702*y + 15041440979050218914*(x|y), 3735936685*~x
18446744069973614931*~y + 3735936685*~(x&y) + 18446744069973614931*y + 3735936685*~(x&~y), 3735936685*~x
329003187597601378*(x&~y) + 3735936685*~(x&y) + 329003191333538063*y + 18117740882376013553*(x|y), 3735936685*~x
9051680048714552164*(x&~y) + 9051680052450488849*~x + 9395064024994999452*~(x&y), 3735936685*~x
7888963727739254005*(x&~y) + 7888963731475190690*~x + 10557780345970297611*~(x&y), 3735936685*~x
3735936685*~y + 3735936685*~(x|~y) + 3735936685*y + 18446744069973614931*(x|y), 3735936685*~x
376675451430047281*~(x|y) + 3735936685*~(x|~y) + 376675447694110596*y + 18070068626015441020*~(x&~y), 3735936685*~x
3735936685*~(x|y) + 18446744069973614931*(x&~y) + 18446744069973614931*~(x^y) + 18446744069973614931, 3735936685*~x
7148290560007490458*(x&~y) + 3735936685*~x + 7148290560007490458*y + 11298453513702061158*(x|y), 3735936685*~x
5345373149555911010*(x&~y) + 5345373153291847695*~x + 13101370924153640606*~(x&y), 3735936685*~x
3735936685*~(x|y) + 18446744069973614931*(x&~y) + 18446744069973614931*(x&y) + 3735936685*(x|y), 3735936685*~x
5376186076154996875*~x + 5376186072419060190*x + 5376186072419060190, 3735936685*~x
17410182130810229195*(x&~y) + 3735936685*~(x&y) + 17410182134546165880*y + 1036561939163385736*(x|y), 3735936685*~x
7913562977819740503*~x + 7913562974083803818*x + 7913562974083803818, 3735936685*~x
7471873370*~(x|y) + 18446744069973614931*~y + 18446744069973614931*(x&y) + 3735936685*(x|y), 3735936685*~x
4990049878093010596*~(x|y) + 4990049870621137226*(x&~y) + 13456694199352477705*~y + 3735936685*(x^y), 3735936685*~x
10643135153770005647*~(x|~y) + 7803608923675482654*~x + 7803608919939545969*x + 10643135153770005647*(x|~y), 3735936685*~x
10948480922240791715*~(x|~y) + 7498263155204696586*~x + 7498263151468759901*(x|y) + 7498263151468759901, 3735936685*~x
18446744069973614931*~y + 3735936685*(x^y) + 18446744066237678246*x + 7471873370*(x|~y), 3735936685*~x
685575004864233439*~x + 685575001128296754*x + 685575001128296754, 3735936685*~x
18446744069973614931*~y + 18446744069973614931*(x^y) + 18446744066237678246*(x&y) + 18446744066237678246, 3735936685*~x
15376534925340762781*~(x|y) + 3735936685*~x + 15376534925340762781*(x|y) + 15376534925340762781, 3735936685*~x
10756932518752383049*(x&~y) + 3735936685*~x + 10756932518752383049*(x&y) + 7689811554957168567*x, 3735936685*~x
12487715122743134748*~y + 3735936685*~x + 12487715122743134748*y + 12487715122743134748, 3735936685*~x
12230925070963862352*(x&~y) + 3735936685*~(x&y) + 12230925074699799037*~(x^y) + 6215818999009752579*(x|~y), 3735936685*~x
7471873370*~y + 7471873370*~(x^y) + 18446744062501741561*(x|~y) + 3735936685*(x|y), 3735936685*~x
8407582581927932264*~x + 16815165156383991158*(x&y) + 10039161495517556037*~(x^y) + 10039161495517556037*y, 3735936685*~x
1474133158772575108*(x&~y) + 1474133162508511793*~x + 1474133158772575108*(x&y) + 1474133158772575108, 3735936685*~x
5144539597489364824*(x&~y) + 5144539601225301509*~x + 13302204476220186792*~(x&y), 3735936685*~x
7557104139681895896*~(x|~y) + 18446744069973614931*x + 7557104139681895896*(x|~y) + 7557104135945959211, 3735936685*~x
7471873370*(x&~y) + 18446744069973614931*(x|~y) + 7471873370*~(x&~y) + 18446744069973614931*(x|y), 3735936685*~x
18446744069973614931*~y + 7471873370*~(x&y) + 3735936685*~(x^y) + 3735936685, 3735936685*~x
7928716679273566482*~(x|~y) + 7928716675537629797*x + 10518027394435985134*(x|y) + 18446744069973614931, 3735936685*~x
11306857244579069820*~(x|~y) + 11306857237107196450*x + 3735936685*(x|~y) + 7139886832866418481*(x|y), 3735936685*~x
16691957342260284263*~(x|y) + 16691957342260284263*~(x|~y) + 1754786735185204038*~x, 3735936685*~x
18446744066237678246*(x&~y) + 3735936685*(x^y) + 18446744069973614931*y + 18446744069973614931, 3735936685*~x
18446744066237678246*~y + 7471873370*~(x&y) + 3735936685*~(x^y) + 18446744069973614931*y, 3735936685*~x
18114558770664150046*~x + 18114558766928213361*x + 18114558766928213361, 3735936685*~x
10140639147148722078*~(x|y) + 3735936685*~(x|~y) + 10140639143412785393*(x&y) + 8306104930296766223*~(x^y), 3735936685*~x
11697705333927437026*(x&~y) + 3735936685*~y + 11697705341399310396*~(x|~y) + 6749038736046177905*(x^y), 3735936685*~x
8691957814522538842*(x&~y) + 8691957818258475527*~x + 9754786259187012774*~(x&y), 3735936685*~x
3735936685*~y + 18446744069973614931*~(x^y) + 7471873370*~(x&~y) + 3735936685, 3735936685*~x
3735936685*~x + 17419277861862371460*~(x&y) + 17419277861862371460*(x&y) + 17419277861862371460, 3735936685*~x
18446744069973614931*~y + 3735936685*(x^y) + 18446744066237678246*(x&y) + 7471873370*~(x^y), 3735936685*~x
2534478926424255023*(x&~y) + 3735936685*~(x&y) + 2534478930160191708*~(x^y) + 15912265143549359908*(x|~y), 3735936685*~x
3735936685*~y + 18446744069973614931*(x^y) + 18446744066237678246*(x&y) + 7471873370*y, 3735936685*~x
9239169864004604407*~(x|y) + 9207574209704947209*~y + 9207574213440883894*~x + 9239169864004604407*~(x&y), 3735936685*~x
17942829656911354801*~x + 17942829653175418116*x + 17942829653175418116, 3735936685*~x
15280651847977050558*~(x&y) + 15280651844241113873*x + 15280651847977050558*~(x&~y) + 12114559618508612815, 3735936685*~x
17300497592128700769*~x + 17300497588392764084*(x&y) + 1146246485316787532*~(x&~y), 3735936685*~x
8642083393368017195*~(x|y) + 8642083385896143825*(x&~y) + 9804660684077471106*~y + 3735936685*(x^y), 3735936685*~x
2626161767213559021*~(x|~y) + 2626161763477622336*(x|~y) + 18446744069973614931*(x|y) + 2626161759741685651, 3735936685*~x
18312190174925731561*~(x|y) + 18446744069973614931*x + 18312190174925731561*(x|y) + 18312190171189794876, 3735936685*~x
18446744069973614931*~(x|~y) + 3735936685*~(x&y) + 18446744069973614931*(x|~y) + 3735936685*~(x&~y), 3735936685*~x
8309990433277980941*(x&~y) + 18446744069973614931*x + 8309990433277980941*~(x&~y) + 8309990429542044256, 3735936685*~x
16131543541085947082*~(x|~y) + 1157600270047738952*~x + 17289143807397749349*(x|~y) + 1157600266311802267*(x|y), 3735936685*~x
18446744069973614931*(x^y) + 3735936685*~(x&y) + 18446744069973614931*x + 3735936685*(x|y), 3735936685*~x
18446744066237678246*(x&~y) + 3735936685*~y + 18446744069973614931*(x&y) + 3735936685*(x|y), 3735936685*~x
1095653510887510308*~(x|y) + 18446744069973614931*x + 1095653510887510308*(x|y) + 1095653507151573623, 3735936685*~x
13704084325735100910*~(x|~y) + 13704084321999164225*x + 4742659747974450706*(x|y) + 18446744069973614931, 3735936685*~x
9225943655872334716*~(x|y) + 4610400208918608450*~y + 4610400212654545135*~x + 13836343864790943166*(x^y), 3735936685*~x
17607143295178937302*~(x|~y) + 18446744069973614931*x + 17607143295178937302*(x|~y) + 17607143291443000617, 3735936685*~x
6472842406465617010*~x + 6472842402729680325*(x&y) + 11973901670979871291*~(x&~y), 3735936685*~x
10426284945212311522*~(x|y) + 13233601604839332540*~x + 13233601601103395855*(x|~y) + 5213142472606155761*(x|y), 3735936685*~x
14608680353309895523*~(x|~y) + 3735936685*~x + 14608680353309895523*~(x^y) + 3838063720399656093*~(x&~y), 3735936685*~x
12546027568816313373*(x&~y) + 12546027572552250058*~x + 5900716504893238243*~(x&y), 3735936685*~x
18446744069973614931*(x&~y) + 3735936685*~y + 18446744069973614931*~(x^y) + 3735936685*~(x&~y), 3735936685*~x
6420077963950238191*~(x|y) + 6420077956478364821*(x&y) + 12026666113495250110*~(x^y) + 3735936685*y, 3735936685*~x
14978841673332106191*(x&~y) + 14978841677068042876*~x + 3467902400377445425*~(x&y), 3735936685*~x
9959229695658136118*~(x|y) + 18446744069973614931*~y + 9959229691922199433*(x^y) + 8487514385523288868*~(x&y), 3735936685*~x
8508743221171261610*~(x|~y) + 4969000430005081688*~x + 13477743647440406613*~(x^y) + 4969000426269145003*y, 3735936685*~x
1880591245062566351*~(x|y) + 18446744069973614931*(x&y) + 1880591245062566351*y + 16566152832382921950*~(x&~y), 3735936685*~x
13318586733825909143*~(x&y) + 13318586730089972458*x + 13318586733825909143*~(x&~y) + 8190429390206329985, 3735936685*~x
3735936685*~(x|y) + 4303707117084132118*~(x|~y) + 4303707113348195433*(x|~y) + 4303707113348195433, 3735936685*~x
5712226122272276908*~x + 5712226118536340223*(x&y) + 12734517955173211393*~(x&~y), 3735936685*~x
6546770147322303188*~(x|~y) + 11899973930123185113*~x + 11899973926387248428*x + 6546770147322303188*(x|~y), 3735936685*~x
7914013534658879247*~(x|y) + 18446744069973614931*(x|~y) + 7914013530922942562*(x|y) + 7914013527187005877, 3735936685*~x
17828335866582143609*~x + 618408210863344692*~(x&y) + 618408210863344692*~(x&~y) + 618408210863344692, 3735936685*~x
11299748985838499726*(x&~y) + 3735936685*~(x&y) + 11299748989574436411*y + 7146995084135115205*(x|y), 3735936685*~x
7285871289334005113*~x + 11160872788111483188*~(x&y) + 11160872788111483188*y + 7285871285598068428*(x|y), 3735936685*~x
3119503873872316161*~x + 3119503870136379476*x + 3119503870136379476, 3735936685*~x
3735936685*~(x|y) + 9930720298663347751*~(x|~y) + 9930720294927411066*~(x^y) + 8516023778782140550*~(x&~y), 3735936685*~x
562579477008541568*~x + 17884164600436946733*~(x&y) + 17884164600436946733*(x&y) + 562579473272604883*x, 3735936685*~x
12861353156278560875*~(x|~y) + 5585390921166927426*~x + 5585390917430990741*(x|y) + 5585390917430990741, 3735936685*~x
2648055721330048117*~y + 15798688356115440184*~x + 15798688352379503499*(x|~y) + 2648055721330048117*~(x&~y), 3735936685*~x
7169115585074697935*~x + 7169115581338761250*(x&y) + 11277628492370790366*~(x&~y), 3735936685*~x
2911336369888378859*~(x|y) + 2911336369888378859*~(x|~y) + 15535407707557109442*~x, 3735936685*~x
18446744069973614931*(x&~y) + 14881822604316464678*~y + 14881822604316464678*~(x|~y) + 3564921473129023623*~(x&y), 3735936685*~x
10389438622556720749*(x&~y) + 3735936685*~(x&y) + 10389438626292657434*~(x&~y) + 10389438626292657434, 3735936685*~x
17566587313892716721*~(x|y) + 880156763552771580*~y + 880156767288708265*~(x|~y) + 17566587310156780036*(x^y), 3735936685*~x
17481495003742038066*~(x|~y) + 3735936685*~x + 17481495003742038066*(x&y) + 965249069967513550*y, 3735936685*~x
12260405761305403011*(x&~y) + 6186338308668211920*~y + 6186338308668211920*(x^y) + 12260405768777276381*~(x&y), 3735936685*~x
4407754472503891555*~(x|y) + 4407754468767954870*(x&~y) + 4407754472503891555*~(x|~y) + 14038989604941596746*~(x&y), 3735936685*~x
264404938250798264*~(x|y) + 18446744069973614931*(x&~y) + 264404938250798264*(x^y) + 18182339139194690037*~(x&y), 3735936685*~x
1200998154765432690*~x + 1200998151029496005*x + 1200998151029496005, 3735936685*~x
3735936685*~x + 13829843607945674548*(x^y) + 13829843607945674548*(x&y) + 4616900465763877068*(x|y), 3735936685*~x
6663291565273436261*(x&~y) + 6663291565273436261*~(x|~y) + 3735936685*~x + 11783452508436115355*(x^y), 3735936685*~x
18446744069973614931*~y + 3735936685*(x^y) + 18446744066237678246*(x|y) + 18446744066237678246, 3735936685*~x
2696041719828710475*~(x|y) + 2696041716092773790*(x&~y) + 15750702357616777826*~y + 3735936685*~(x|~y), 3735936685*~x
1371301244357753211*~(x|y) + 1371301240621816526*(x&~y) + 17075442833087735090*~y + 3735936685*~(x|~y), 3735936685*~x
3735936685*~x + 14661709593575858887*(x^y) + 14661709593575858887*(x&y) + 3785034480133692729*(x|y), 3735936685*~x
10609453970649873787*~x + 13142017090252583065*~(x&y) + 5304726983456968551*x + 13142017090252583065*~(x&~y), 3735936685*~x
10243955989251968162*~(x|~y) + 8202788088193520139*~x + 8202788084457583454*(x^y) + 10243955989251968162*~(x&y), 3735936685*~x
9410078189927819472*(x&~y) + 9036665887517668829*~x + 9036665883781732144*x + 9410078189927819472*~(x&~y), 3735936685*~x
16046939477010388528*~(x|y) + 16046939477010388528*(x&~y) + 2399804596699163088*~y + 3735936685*~x, 3735936685*~x
9344861879510942474*~x + 9344861875775005789*x + 9344861875775005789, 3735936685*~x
4747229999611900027*~(x|y) + 4747229999611900027*~(x|~y) + 13699514077833588274*~x, 3735936685*~x
14329010203748712828*~(x|y) + 14329010203748712828*~(x|~y) + 4117733873696775473*~x, 3735936685*~x
11678386220943048706*~x + 11678386217207112021*x + 11678386217207112021, 3735936685*~x
13663127550147508072*(x&~y) + 13663127553883444757*~x + 4783616523562043544*~(x&y), 3735936685*~x
6097776503228082153*~x + 6097776499492145468*x + 6097776499492145468, 3735936685*~x
686507141285116604*(x&~y) + 3735936685*~(x&y) + 686507145021053289*~(x^y) + 17760236928688498327*(x|~y), 3735936685*~x
8074690305423784451*(x&~y) + 8074690305423784451*~(x|~y) + 3735936685*~x + 10372053768285767165*(x^y), 3735936685*~x
18446744069973614931*(x&~y) + 3735936685*~(x|~y) + 18446744069973614931*y + 18446744069973614931, 3735936685*~x
3735936685*~x + 6539083942746185774*~(x&y) + 6539083942746185774*(x&y) + 6539083942746185774, 3735936685*~x
3735936685*~(x|y) + 1341629154862020366*(x&~y) + 1341629158597957051*~(x|~y) + 17105114918847531250*(x^y), 3735936685*~x
13883440648530442882*~(x|y) + 4563303425179108734*~y + 4563303428915045419*~x + 13883440648530442882*~(x&y), 3735936685*~x
5806259304050581947*~(x|y) + 5806259304050581947*~(x|~y) + 12640484773394906354*~x, 3735936685*~x
7611261053020700174*(x&~y) + 7611261056756636859*~x + 7611261053020700174*(x&y) + 7611261053020700174, 3735936685*~x
8237125596407425230*~(x|y) + 8237125596407425230*~(x|~y) + 10209618481038063071*~x, 3735936685*~x
18446744069973614931*~y + 3735936685*~(x&y) + 18446744069973614931*(x&y) + 3735936685*~(x^y), 3735936685*~x
2724731419212213268*(x&~y) + 2724731422948149953*~x + 15722012654497338348*~(x&y), 3735936685*~x
6564031459795070310*~(x&y) + 6564031456059133625*(x&y) + 3735936685*~(x&~y) + 6564031459795070310, 3735936685*~x
3226967204705769573*~y + 3226967208441706258*~(x|~y) + 18446744069973614931*(x^y) + 15219776872739718728*~(x&y), 3735936685*~x
7812000543493820280*~(x|y) + 7812000543493820280*~(x|~y) + 7812000539757883595*(x&y) + 10634743533951668021*~(x&~y), 3735936685*~x
13437740000439100878*~x + 13437739996703164193*x + 13437739996703164193, 3735936685*~x
12972895408697542465*~(x|y) + 3735936685*~(x|~y) + 12972895404961605780*x + 5473848668747945836*(x|~y), 3735936685*~x
8748617374237733900*~(x|~y) + 8748617366765860530*x + 3735936685*(x|~y) + 9698126703207754401*(x|y), 3735936685*~x
12117868374584385216*(x&~y) + 3164437849562583200*~y + 15282306227882905101*~x + 3164437849562583200*(x^y), 3735936685*~x
3735936685*~y + 3735936685*(x^y) + 7471873370*~(x^y) + 18446744066237678246*(x|~y), 3735936685*~x
15127586154134872032*~(x|y) + 15127586154134872032*~(x|~y) + 3319157923310616269*~x, 3735936685*~x
6579705771362727550*(x&~y) + 6579705771362727550*~(x|~y) + 3735936685*~x + 11867038302346824066*(x^y), 3735936685*~x
13121042572191696583*~x + 13121042568455759898*x + 13121042568455759898, 3735936685*~x
2649086799765636721*~(x|y) + 2649086799765636721*~(x|~y) + 15797657277679851580*~x, 3735936685*~x
18446744069973614931*(x&~y) + 18446744066237678246*(x&y) + 3735936685*~(x^y) + 3735936685*(x|y), 3735936685*~x
12142033158904035800*~(x|y) + 12142033158904035800*~(x|~y) + 12142033155168099115*(x&y) + 6304710918541452501*~(x&~y), 3735936685*~x
17548644329733163990*~x + 898099747712324311*~(x&y) + 898099747712324311*(x&y) + 17548644325997227305*x, 3735936685*~x
1434963137653441477*~(x|~y) + 17011780939792046824*~x + 17011780936056110139*x + 1434963137653441477*(x|~y), 3735936685*~x
11977092303686690638*~(x|y) + 11977092303686690638*~(x|~y) + 6469651773758797663*~x, 3735936685*~x
6588903218759751028*~x + 6588903215023814343*x + 6588903215023814343, 3735936685*~x
16355675920712361992*~(x|~y) + 2091068156733126309*~x + 2091068152997189624*(x&y) + 16355675920712361992*~(x^y), 3735936685*~x
12112871361954903675*~y + 6333872715490584626*~x + 6333872711754647941*(x|~y) + 12112871361954903675*~(x&~y), 3735936685*~x
9725520581747383555*(x&~y) + 9725520585483320240*~x + 8721223491962168061*~(x&y), 3735936685*~x
2060952669926736252*(x&y) + 16385791400046878679*~(x^y) + 16385791400046878679*y + 2060952677398609622*~(x&~y), 3735936685*~x
5014201944380521164*(x&~y) + 5014201948116457849*~x + 13432542129329030452*~(x&y), 3735936685*~x
11286526130416928972*~x + 11286526126680992287*x + 11286526126680992287, 3735936685*~x
8128994975769556356*~(x|y) + 8128994975769556356*~(x|~y) + 8128994972033619671*(x&y) + 10317749101675931945*~(x&~y), 3735936685*~x
15202025911316012751*(x&~y) + 15202025915051949436*~x + 3244718162393538865*~(x&y), 3735936685*~x
5167273136972155344*~x + 5167273133236218659*x + 5167273133236218659, 3735936685*~x
7471873370*(x^y) + 3735936685*(x|~y) + 7471873370*y + 18446744062501741561*(x|y), 3735936685*~x
6067769169904515071*(x&~y) + 6067769173640451756*~x + 12378974903805036545*~(x&y), 3735936685*~x
18446744069973614931*(x&~y) + 7471873370*(x^y) + 3735936685*~(x^y) + 18446744069973614931*(x|y), 3735936685*~x
3735936685*~x + 3044403878551177647*~(x&y) + 3044403878551177647*(x&y) + 3044403878551177647, 3735936685*~x
6142279048924392595*~(x|y) + 6142279045188455910*(x&~y) + 12304465024785159021*~y + 3735936685*~(x&y), 3735936685*~x
17983080906214076259*~x + 17983080902478139574*x + 17983080902478139574, 3735936685*~x
18358648757289389207*~(x|~y) + 18358648753553452522*(x|~y) + 18446744069973614931*(x|y) + 18358648749817515837, 3735936685*~x
1866998964561463036*~(x|~y) + 16579745112884025265*~x + 16579745109148088580*(x^y) + 1866998964561463036*~(x&y), 3735936685*~x
13101522513237881350*~(x|y) + 11895982820826547626*~x + 11895982817090610941*~(x^y) + 6550761256618940675*y, 3735936685*~x
2879345355280699800*(x&~y) + 15567398718428851816*~y + 15567398718428851816*~(x|~y) + 2879345359016636485*~x, 3735936685*~x
3612591083379701597*~(x|y) + 14834152990329850019*~y + 14834152994065786704*~x + 3612591083379701597*~(x&y), 3735936685*~x
14679572739846298081*(x&~y) + 14679572743582234766*~x + 3767171333863253535*~(x&y), 3735936685*~x
13698287371376702657*~x + 13698287367640765972*(x&y) + 4748456706068785644*~(x&~y), 3735936685*~x
11797856652727384161*~x + 11797856648991447476*(x&y) + 6648887424718104140*~(x&~y), 3735936685*~x
6076252602133820884*~y + 6076252602133820884*~(x|~y) + 3735936685*~x + 12370491471575730732*~(x&y), 3735936685*~x
5211665730875469388*(x^y) + 5211665730875469388*~(x^y) + 18446744069973614931*x + 5211665727139532703, 3735936685*~x
18446744069973614931*~y + 11207810055*(x^y) + 7471873370*~(x^y) + 18446744066237678246*(x|y), 3735936685*~x
12297829383718346639*~y + 12297829383718346639*(x^y) + 12297829379982409954*x + 6148914693727141662*~(x&~y), 3735936685*~x
8319765280177966647*(x&~y) + 3735936685*~(x&y) + 8319765283913903332*(x&y) + 10126978789795648284*x, 3735936685*~x
6863895012086420197*~x + 6863895008350483512*x + 6863895008350483512, 3735936685*~x
12826286807726584201*~y + 12826286803990647516*(x&y) + 5620457265982967415*(x|~y) + 3735936685*~(x&~y), 3735936685*~x
11588748098401573429*~(x|~y) + 11588748090929700059*x + 3735936685*(x|~y) + 6857995979043914872*(x|y), 3735936685*~x
12512385471561128570*~(x|y) + 12190551341664924016*~x + 12190551337928987331*~(x^y) + 6256192735780564285*y, 3735936685*~x
8488218214330589009*~x + 9958525863114899292*(x^y) + 9958525863114899292*~(x&~y) + 8488218210594652324*(x|y), 3735936685*~x
9880546446704066758*~y + 18446744069973614931*x + 9880546446704066758*y + 9880546442968130073, 3735936685*~x
