# 49374 + 3735936685*x
18446744069973614931*~(x|(~y|z)) + 3735936685*(y&~z) + 18446744069973614931*~(x&(~y|z)) + 18446744069973664305, 49374 + 3735936685*x
7471922744*(~(x&y)&(x^(y^z))) + 3735936685*(z^~(x&(~y&z))) + 18446744066237628872*(y^(x|z)) + 18446744066237628872*~(x&(y|z)) + 18446744069973614931*(y^(x&(y|z))) + 7471873370*(y^(x|(~y&z))) + 18446744073709502242*(x&y) + 3735936685*(z^~(x|y)), 49374 + 3735936685*x
49374*(~(x&y)&(x^(y^z))) + 12326863896004627530*(~(x&y)&~(y^z)) + 6119880177704874712*(z^~(~x&(y|z))) + 12326863896004676904*(y^(x|(y^z))) + 12326863899740564215*(y^~(x|~z)) + 12326863896004775652*(y&z) + 6119880173968888653*((y&z)|(~x&(y|z))) + 6119880181440762023*((x&y)^(x^(y&z))), 49374 + 3735936685*x
18446744062501840309*(y^(~x|(y&z))) + 18446744069973516183*((x&z)^(x^(~y&z))) + 11207810055*(y^(~x|(~y|z))) + 18446744069973516183*((y&~z)|~(x|(~y&z))) + 3735986059*(y^~(~x|(y^z))) + 18446744066237678246*(y^~(~x&(~y|z))) + 3735986059*((x|y)&~(x^(y^z))) + 3735887311*(y^~(x|(y&z))), 49374 + 3735936685*x
12297829379982377038*(x&~z) + 6148914693727125204*(~y&~(x^z)) + 12297829383718313723*((x&y)^(y|z)) + 6148914697463061889*~(~x|(~y&z)) + 6148914689991188519*(y^~(x&(~y|z))) + 6148914689991188519*((x&z)^~(x^(~y&z))), 49374 + 3735936685*x
12297829383718313723*((x&y)^~(x^(~y|z))) + 12297829383718363097*((x|~y)&(y^z)) + 3735986059*(x&y) + 12297829383718363097*(y^~(x&(~y|z))) + 6148914689991139145*~(x^y) + 18446744069973614931*(y|~(x|~z)) + 6148914693727125204*(y|(x^z)) + 12297829383718313723*(z&(x|y)), 49374 + 3735936685*x
18446744073709502242*~(y|~z) + 18446744069973516183*~(x|~y) + 49374*(~x&(y|z)) + 3735936685*(x^z) + 3735936685*~(~x|(y^z)) + 18446744069973565557*(y^~(x&(y|z))) + 3735936685*(z^~(x&(~y|z))), 49374 + 3735936685*x
18446744069973614931*((x^y)&~(x^z)) + 49374*~(x|(y^z)) + 18446744073709502242*((x&y)^(y|~z)) + 7471922744*(y^~(x&z)) + 18446744069973565557*(y^(~x|(~y&z))) + 18446744062501692187*(~(x|y)|~(y^z)) + 3735936685*(y^(x&(y^z))) + 7471873370*(x|(~y|z)), 49374 + 3735936685*x
13068566508662730607*~(x|(y&z)) + 13068566508662730607*(x&(~y&z)) + 5378177565046870383*((x&z)^~(x^(y&z))) + 18446744073709502242*~(y&z) + 3735936685*x + 18446744073709502242*~(x&~z), 49374 + 3735936685*x
18446744066237678246*~(y|z) + 49374*(z^~(x&(~y&z))) + 7471823996*(~(x&y)&(y^z)) + 18446744073709502242*(~z|(x^y)) + 11207760681*((x&y)|~(y|z)) + 18446744069973614931*(y^~(x|~z)) + 18446744069973614931*(~(x^y)|~(x^z)), 49374 + 3735936685*x
18446744069973614931*((x^y)&(x^z)) + 3735936685*(z^(x|(~y&z))) + 18446744073709502242*~(x&(~y|z)) + 3735887311*(x&(~y|z)), 49374 + 3735936685*x
10248191152475955113*((x&z)^~(x^(y&z))) + 4099276458748829909*((x&z)^~(y&~z)) + 6148914689991188519*(~x|(y^z)) + 14347467611224785022*(z^~(x&(y&z))) + 14347467614960721707*(x|~y) + 2049638231242358610*(z^(x&~y)) + 4099276458748829909*(z^~(x|(y&z))) + 2049638234978295295*~(~x&(~y&z)), 49374 + 3735936685*x
18446744069973614931*(z^~(x&~y)) + 18446744073709502242*(z^(x|~y)) + 3735986059*(z^~(~x&(y&z))) + 18446744069973565557*~(x&(y|z)) + 3735936685*(y^~(~x&(y&z))) + 7471823996*((x&z)|(y&~z)) + 18446744069973614931*(y|(x&z)), 49374 + 3735936685*x
3735936685*(~z&~(x^y)) + 18446744058765854250*(~x&(~y&z)) + 18446744069973664305*(x&~y) + 11207760681*((x&~y)|(y^z)) + 18446744066237678246*(~z|(x^y)) + 18446744069973614931*~(~x&(y&z)) + 7471823996*~(y&~z), 49374 + 3735936685*x
3736035433*~(x|(~y|z)) + 3735986059*((x|~y)&~(x^(y^z))) + 18446744069973516183*((x|y)&(y^z)) + 18446744073709502242*((x^y)&(x^z)) + 3735986059*~(~x|(~y&z)) + 18446744073709502242*(y^~(x|(y^z))) + 18446744069973565557*(y^~(x&z)) + 3735936685*((y&~z)^(x|(y^z))), 49374 + 3735936685*x
11207760681*((x^y)&~(x^z)) + 7471873370*(~(x^y)&~(x^z)) + 18446744073709502242*(y^~(x|(y^z))) + 18446744069973614931*~(x^y) + 49374*(z^(~x&(y|z))) + 7471873370*(y^~(x|z)) + 18446744062501741561*(z^~(x|(y&z))) + 3735887311*(z|(x&~y)), 49374 + 3735936685*x
12297829383718280807*(~z&(x^y)) + 12297829379982344122*(z^(x|(~y|z))) + 12297829379982393496*(z^(x|y)) + 12297829383718379555*(y^(x|(~y|z))) + 18446744073709502242*(z^~(~x|(~y&z))) + 6148914686255136628*(y^~(x&(~y|z))) + 6148914697463193553*(y^~(x&(y|z))) + 6148914693727108746*(x&(y|z)), 49374 + 3735936685*x
1067403428*~(y&z) + 18446744071041018359*~(x|~z) + 1067403428*(x^(~y|z)) + 18446744072108421787*(~(x|~y)|~(x^(y^z))) + 533677027*(~(x|y)|(x^(y^z))) + 18446744072642148188*(y|~z) + 3202210284*(x|(y&z)) + 1067403428*(y|(x&z)), 49374 + 3735936685*x
18446744062501823851*(z^~(~x&(~y|z))) + 3735870853*(y^~(~x&(y|z))) + 7471823996*(y^(x|(~y&z))) + 7471840454*~(~x|(~y&z)) + 18446744069973631389*(y^~(x&z)) + 18446744073709535158*(z^(~x&(y|z))) + 7471774622*(y^(~x&(y^z))) + 18446744066237760536*(z&(x|y)), 49374 + 3735936685*x
5484902742374734*(~(x&~y)&~(x^(y^z))) + 18441259170967176882*((y&~z)|~(x|(~y&z))) + 18441259170967176882*(~x&(~y|z)) + 5484899006438049*~x + 3735887311*((x&~y)|~(x^(y^z))) + 3735887311*(~(x&~y)&(x^(y^z))), 49374 + 3735936685*x
12297829376246456811*(z^(~x|(y&z))) + 12297829391190203551*(y^z) + 18446744069973614931*((x&~y)|(y^z)) + 18446744066237678246*(z^(x&(y|z))) + 3735936685*((x&~y)|~(x^(y^z))) + 6148914693727108746*(~(x^y)|(x^z)) + 12297829383718330181*(y^~(~x|(y&z))), 49374 + 3735936685*x
3735936685*(y^z) + 3735936685*(y^~(x&z)) + 18446744073709502242*((x^y)|~(x^z)) + 7471922744*(y|~(x^z)) + 11207908803*z + 18446744062501692187*~(x&~z) + 18446744066237579498*(z|(x&y)), 49374 + 3735936685*x
18446744066237530124*((x^y)&(x^z)) + 49374*~(x|~y) + 3735936685*((y&~z)|~(x|(~y&z))) + 3735936685*(x&(~y|z)) + 18446744069973516183*((x&y)|(y^z)) + 18446744069973565557*(z|~(x^y)) + 7471972118*(x|z), 49374 + 3735936685*x
1373734203906475746*(~x&(~y&z)) + 686867101953237873*(y^~(x&(y^z))) + 17073009869803075870*((x|~y)&~(x^(y^z))) + 18446744073709502242*~x + 17759876971756313743*(x^z) + 17759876975492201054*((x|~y)&(x^(y^z))) + 17759876968020426432*(~(x|y)|~(y^z)) + 1373734207642363057*~(~x&(y^z)), 49374 + 3735936685*x
49374*~(y|~z) + 3735887311*((x|~y)&(y^z)) + 18446744069973614931*(y^(~x|(~y|z))) + 3735936685*(z^~(~x&(~y|z))) + 7471873370*((x&z)|~(y|z)) + 3735986059*(z^~(x&(~y|z))) + 18446744069973565557*(z^~(x|(~y&z))) + 18446744069973565557*~(~x&(~y&z)), 49374 + 3735936685*x
3735837937*(~(x^y)&(x^z)) + 14943697366*(x&(~y&z)) + 18446744062501790935*~(y|~z) + 3735887311*(y^~(x&z)) + 49374*~(x^y) + 18446744069973565557*(z^~(x|(y&z))) + 3735936685*(z|~(x|~y)), 49374 + 3735936685*x
18446744066237727620*~(x|y) + 7471823996*~(~x|(y&z)) + 18446744069973664305*~(x|~z) + 11207661933*(x^(y|z)) + 18446744062501840309*(y^(x&(~y|z))) + 18446744069973664305*((x|y)&~(y^z)) + 7471774622*((x&y)|~(x^(y^z))), 49374 + 3735936685*x
3735936685*(y^z) + 11068046447214460568*(z^~(~x&(y&z))) + 7378697626495091048*~(x&(y|z)) + 3689348816983432835*(~x|(~y&z)) + 3689348813247545524*(~(x|y)|~(x^(y^z))) + 3689348809511608839*(~(x|~y)|(y^z)) + 11068046443478523883*(~z|~(x^y)) + 7378697633966915044*(x|z), 49374 + 3735936685*x
18446744069973614931*~(x|(y|z)) + 18446744069973614931*(z^(x|(~y&z))) + 18446744069973614931*(x^(~y|z)) + 3735887311*~(x&z) + 18446744069973614931*(y^(~x&(~y|z))) + 18446744069973565557*(x&z) + 7471873370*~(x^(y|z)) + 3735936685*(z^~(~x|(y&z))), 49374 + 3735936685*x
18446744066237628872*(~(x|y)|~(x^(y^z))) + 18446744066237628872*(z^(~x|(~y&z))) + 18446744069973614931*((x&z)|~(y|z)) + 7471873370*(~(x^y)|~(x^z)) + 18446744069973614931*((y&z)|(~x&(y|z))) + 3735986059*~(x&~y) + 18446744073709502242*(y|(x^z)) + 7471873370*((x&~y)|~(y^z)), 49374 + 3735936685*x
18446744069973614931*((y&z)^~(~x&(y^z))) + 18446744069973614931*(z^~(x&~y)) + 7471823996*((x&y)^~(x^(~y|z))) + 3735986059*(y^~(~x&(~y|z))) + 18446744073709452868*((y&~z)^(~x|(y^z))) + 49374*(~x|(y^z)) + 7471873370*(y^~(x|(~y&z))) + 18446744069973565557*(y|(x&~z)), 49374 + 3735936685*x
3735887311*(~(x^y)&(x^z)) + 3735887311*(y^(~x|(y|z))) + 3735936685*(x^(~y&z)) + 11207760681*(z^~(x&(~y|z))) + 3735887311*(z^~(x|~y)) + 18446744058765903624*(~(x^y)|~(x^z)) + 18446744073709502242*(y|~z), 49374 + 3735936685*x
18446744066237727620*~(x|~z) + 7471823996*(z^(x&(~y|z))) + 11207760681*(x^(~y|z)) + 18446744066237678246*~(x&(~y|z)) + 18446744069973614931*(~(x&y)&~(x^(y^z))) + 18446744069973614931*((x|~y)&(x^(y^z))) + 7471823996*(z^(~x&(y|z))), 49374 + 3735936685*x
3735887311*~(x|(~y&z)) + 18446744066237727620*(~x&(~y|z)) + 3735887311*(z^~(~x&(y|z))) + 7471823996*(z&(x|~y)) + 18446744069973614931*(z^~(x|~y)), 49374 + 3735936685*x
3735887311*(y^~(~x&(y^z))) + 18446744069973614931*((x&z)^~(x^(y&z))) + 3735936685*(x&z) + 18446744073709502242*(y&z) + 18446744069973664305*(z&(x|y)) + 3735887311*(z|(x&y)), 49374 + 3735936685*x
18446744073709502242*(x^y) + 18446744073709502242*((x&y)|~(y|z)) + 18446744073709502242*(x|(~y&z)) + 18446744073709502242*((x&y)|(y^z)) + 3736035433*(x|(y^z)) + 3735986059*((x|y)&~(y^z)) + 18446744069973565557*(~(x|~y)|(x^(y^z))), 49374 + 3735936685*x
12257811348541178750*~(x&z) + 12317838399438937554*~(x^(y&z)) + 18386717026547729497*((x&z)|~(y|z)) + 18326689971914083382*(y&(x|z)) + 6248959776066082296*((x&y)|~(y^z)) + 6128905670534677377*(z^~(x|y)) + 60027054633646115*((y&z)|(x&(y|z))) + 12317838399438937554*(z|~(x|~y)), 49374 + 3735936685*x
12297829379982377038*~z + 12297829383718363097*(y^~(x&~z)) + 11207810055*(z^~(~x|(~y&z))) + 12297829394926173152*(~(x^y)&~(x^z)) + 6148914693727125204*(z^~(x|~y)) + 3735936685*((x&~y)|~(y^z)) + 6148914682519315149*~(y&~z) + 12297829376246440353*(z|~(x^y)), 49374 + 3735936685*x
18446744066237628872*(y&~z) + 18446744066237628872*(~y&~(x^z)) + 49374*((x|~y)&~(x^(y^z))) + 3735936685*(~(x|y)|(y^z)) + 18446744066237678246*~(x|~z) + 3735936685*(y^(x&z)) + 3735887311*(x|(~y|z)), 49374 + 3735936685*x
18446744069973614931*((x&y)^~(x^(~y|z))) + 37359070606*(y^(~x|(~y|z))) + 18446744062501840309*(z^(x|(~y&z))) + 18446744043822255632*(~x&(~y|z)) + 11207711307*(x^(y^z)) + 18446744055030016313*(y^(~x&(~y|z))) + 18446744043822305006*(z^~(x&(y|z))) + 41094957917*((x&z)^~(x^(~y&z))), 49374 + 3735936685*x
18446744062501741561*(~x&(y&z)) + 12297829383718313723*(z^~(~x&(~y|z))) + 12297829383718363097*((x&~y)|~(x^(y^z))) + 18446744069973614931*~(x^y) + 6148914689991188519*(x|~z) + 6148914697463061889*(y&(x|z)) + 6148914689991237893*(z^(x&~y)) + 3735887311*~(y&~z), 49374 + 3735936685*x
18446744069973614931*(~(x^y)&(x^z)) + 3735887311*(z^(x|y)) + 18446744069973614931*(z^(~x|(y&z))) + 18446744073709502242*(z&(x^y)) + 3735887311*(~(x^y)&~(x^z)) + 18446744066237678246*(~(x^y)|(x^z)) + 18446744069973614931*~(y&~z) + 11207810055*(x|(~y|z)), 49374 + 3735936685*x
18446744062501790935*(z^~(x&~y)) + 14943647992*(y^z) + 18446744040086269573*(y^~(~x|(~y&z))) + 7471823996*((x&z)^~(y&~z)) + 18446744047558093569*(y^~(x&(~y|z))) + 3735936685*(~(x|y)|(x^(y^z))) + 26151408673*(~(x|~y)|~(y^z)), 49374 + 3735936685*x
3735887311*(~z&(x^y)) + 18446744073709502242*~(~x|(~y|z)) + 49374*(z^(x|(~y&z))) + 7471774622*(~y|(x^z)) + 18446744066237727620*~(x&(y&z)) + 3735936685*((x&z)|(y&~z)) + 18446744073709502242*(y&~(x&~z)), 49374 + 3735936685*x
12297829379982393496*~z + 12297829383718330181*(y^(x|z)) + 6148914686255284750*~(x|~y) + 3735936685*(x^y) + 18446744069973565557*(z&~(x&y)) + 6148914693727158120*(z^(x&y)) + 12297829383718330181*~(~x|(~y&z)) + 6148914693727108746*(y|~(x|z)), 49374 + 3735936685*x
7471823996*(z^(x|(~y|z))) + 18446744069973614931*(z^(x|y)) + 3735936685*(y^(x|z)) + 18446744069973614931*~(x&(y|z)) + 3735936685*(~x|(y&z)) + 7471823996*(z|~(x|~y)) + 18446744066237678246*~(x&~z), 49374 + 3735936685*x
18446744069973664305*~(~x|(~y|z)) + 3735887311*(z^(x|y)) + 18446744069973614931*~(x&(y|z)) + 6148914693727125204*((x&~y)|~(x^(y^z))) + 12297829383718363097*~(~x|(y^z)) + 12297829383718313723*(z^(~x&(~y|z))) + 12297829383718313723*(y&(x|z)), 49374 + 3735936685*x
3735887311*~(~x|(y&z)) + 18446744069973614931*(~(x|y)|(y^z)) + 49374*(z&~(x^y)) + 18446744073709452868*~(x^(y&z)) + 3735986059*(~(x^y)|~(x^z)) + 18446744073709502242*(z|(x&y)), 49374 + 3735936685*x
5817693502981968468*(~x&(y^z)) + 15537897322218567382*(z^(x|y)) + 18446744073709502242*(~(x|y)|~(x^(y^z))) + 15537897322218567382*(y&~(x^z)) + 2908846751490934860*((x|y)&(x^(y^z))) + 2908846755226920919*x + 15537897322218567382*((x&~y)|(x^(y^z))), 49374 + 3735936685*x
18446744073709502242*(y^(x|(~y|z))) + 5488025253732017393*(x^y) + 2744012628733977039*~(~x|(~y&z)) + 2744012624997990980*~(x^(y&z)) + 2744012628733977039*((x&z)|(y&~z)) + 2744012628733927665*(y^~(x&(y&z))) + 12958718819977632971*(~y|~(x^z)) + 12958718819977484849*(x|y), 49374 + 3735936685*x
16391718749102225859*~(~x|(y|z)) + 18446744066237678246*(~y&(x^z)) + 18446744069973565557*(x&~y) + 3735936685*(z^~(x&(~y&z))) + 16391718737894366430*(z^(x&y)) + 2055025339551121871*(z^~(~x|(~y&z))) + 7471873370*(z&~(x^y)) + 18446744069973565557*~(x&(~y&z)), 49374 + 3735936685*x
18446744073709502242*(y^~(~x&(y|z))) + 49374*((x|y)&(x^(y^z))) + 18446744069973713679*(~(x|y)|(x^(y^z))) + 18446744073709452868*(y^(~x&(~y|z))) + 3735837937*((x&y)|(x^(y^z))) + 3735788563*((x&z)|~(y|z)) + 98748*~(~x&(y|z)) + 49374*(~(x^y)|~(x^z)), 49374 + 3735936685*x
3735936685*(~x&(~y&z)) + 18446744073709518700*((x&y)^~(x^(~y|z))) + 3735936685*(z^(x|~y)) + 18446744069973631389*(y^~(~x|(y^z))) + 18446744069973582015*(y^~(~x&(~y|z))) + 7471889828*(y^(x&z)) + 7471873370*~(~x|(y^z)) + 18446744069973565557*~(x&~y), 49374 + 3735936685*x
18446744072215127568*(~(x&y)&(x^(y^z))) + 18446744071467940231*((x|~y)&~(x^(y^z))) + 7471922744*(y^(~x|(y|z))) + 18446744070720802268*~(x&y) + 2241562011*((x|~y)&~(y^z)) + 18446744072215176942*~(x^z) + 5977498696*(x|y) + 18446744070720752894*(z|~(x|y)), 49374 + 3735936685*x
7471823996*(x&(~y&z)) + 18446744066237678246*(~(x&y)&(y^z)) + 3735887311*((x&~y)|(y^z)) + 18446744069973664305*(z^(x&(~y|z))) + 3735887311*(~x&(y|z)) + 3735936685*((x|~y)&(x^(y^z))) + 18446744073709452868*~(y^z) + 49374*((x^y)|~(x^z)), 49374 + 3735936685*x
18446744073709452868*(y&~z) + 18446744073709502242*(x&~y) + 18446744073709403494*~(x|(y^z)) + 49374*(~(x&y)&~(y^z)) + 49374*((x&~y)|~(x^(y^z))) + 49374*(y^~(x|(y^z))) + 18446744073709502242*(y^~(x&z)) + 3735887311*x, 49374 + 3735936685*x
12297829383718363097*((x|~y)&~(x^(y^z))) + 12297829379982377038*(~(x|y)|(y^z)) + 6148914689991188519*(~(x&y)&~(y^z)) + 12297829387454250408*((x|y)&(x^(y^z))) + 12297829379982426412*~(x^(y&z)) + 18446744069973614931*(y&z) + 12297829387454250408*(z|~(x^y)), 49374 + 3735936685*x
18446744066237678246*(z^(~x|(~y|z))) + 12297829391190187093*(z^(~x|(y|z))) + 6148914686255251834*~(y|~z) + 6148914693727125204*(y^(x&z)) + 6148914697463061889*((x&z)|~(y|z)) + 18446744066237678246*(y|~(x|z)) + 12297829383718313723*(z^(x&~y)) + 3735936685*(~(x|~y)|(x^(y^z))), 49374 + 3735936685*x
7471823996*((x&y)^~(x^(y&z))) + 11207760681*(z^(x|(~y&z))) + 18446744062501790935*~(x&z) + 3735887311*(y^(x|~z)) + 3735887311*(~(x&~y)&(x^(y^z))) + 3735936685*(z^~(x|~y)) + 18446744069973614931*(y|z), 49374 + 3735936685*x
7471823996*(~(x&y)&(y^z)) + 18446744069973614931*((x&y)^(y|z)) + 3735936685*(x&(~y|z)) + 18446744069973713679*(z^~(x|~y)) + 18446744073709502242*(z^~(x|(~y&z))) + 18446744073709502242*((x&~y)|(x^(y^z))) + 3735887311*(y&(x|z)), 49374 + 3735936685*x
3735887311*(~(x^y)&(x^z)) + 3735936685*(x&(~y|z)) + 18446744069973614931*(y^~(x&(y&z))) + 3735936685*(y^(~x|(~y&z))) + 3735887311*((x^y)|~(x^z)) + 18446744069973614931*(~x|(y|z)), 49374 + 3735936685*x
18446744069973614931*(x^z) + 14943697366*(y^(x&z)) + 18446744069973614931*(~(x|y)|~(x^(y^z))) + 18679634051*~(~x|(y^z)) + 3735887311*(z^~(x&y)) + 18446744062501790935*(y&(x|~z)) + 18446744058765854250*(y^~(~x|(y&z))) + 7471823996*(y|z), 49374 + 3735936685*x
16458*(~y&~(x^z)) + 3735903769*((y&z)^~(~x&(y^z))) + 18446744069973614931*(~x|(~y&z)) + 18446744073709535158*(~(x|y)|~(y^z)) + 3735920227*z + 18446744069973647847*(z|~(x^y)) + 3735887311*(~x|(y|z)), 49374 + 3735936685*x
18446744066237727620*((y&z)^~(x&(y^z))) + 3735936685*(z^(x&(~y|z))) + 18446744073709502242*~(x&(y|z)) + 18446744069973614931*(z^~(~x&(~y|z))) + 18446744069973614931*~(x^(y|z)) + 7471823996*~(~x&(y&z)) + 18446744069973614931*(z&~(x&~y)) + 3735936685*~(x&(~y&z)), 49374 + 3735936685*x
18446744066237678246*((y&z)^~(x&(y^z))) + 18446744066237727620*(z^(~x|(y&z))) + 3735887311*(z^~(x&~y)) + 7471823996*(~(x|y)|~(x^(y^z))) + 11207760681*(z^~(x&y)) + 18446744073709502242*(y&z) + 18446744066237727620*(y^~(x|z)), 49374 + 3735936685*x
18446744069973565557*(y^~(~x|(y^z))) + 7471774622*(y^~(x&(~y|z))) + 18446744066237727620*~(x^(y&z)) + 7471873370*(y|(x&~z)) + 18446744066237727620*(z^~(~x|(y&z))) + 18446744069973614931*(y^(x&(y^z))) + 7471823996*(x|(y|z)), 49374 + 3735936685*x
18446744073709502242*(~y&~(x^z)) + 18446744073709502242*~(x|(~y&z)) + 3735887311*(x&y) + 18446744069973614931*(y^(~x&(y^z))) + 49374*((x&y)|~(x^(y^z))) + 3735887311*(x|z), 49374 + 3735936685*x
18446744073709502242*(z^(x|(y&z))) + 3735953143*~(~x|(y&z)) + 3735920227*(y&~(x&z)) + 18446744069973614931*(z^~(~x&(y&z))) + 3735953143*((x&y)|~(y|z)) + 3735887311*~(x^z) + 18446744069973631389*(z^~(x&(~y|z))) + 18446744073709518700*~(~x&(y^z)), 49374 + 3735936685*x
3735986059*(z^(x|(~y|z))) + 18446744073709502242*((y&z)^~(~x&(y^z))) + 18446744069973565557*~(x&(y|z)) + 18446744073709502242*(x&y) + 3735936685*(z|(x^y)), 49374 + 3735936685*x
18446744069973614931*(y^z) + 18446744058765854250*(~x&(y&z)) + 3735837937*(y&(x^z)) + 3735936685*(~(x&y)&~(x^(y^z))) + 3735986059*(x^(y&z)) + 18446744069973565557*(y^~(~x&(y&z))) + 18446744069973565557*~(x^(~y|z)) + 7471873370*(z|(x^y)), 49374 + 3735936685*x
7471873370*(y^(x|(y&z))) + 11207810055*(z^~(x&(~y&z))) + 18446744058765804876*(y^(x|(y|z))) + 11207810055*((x|~y)&(y^z)) + 11207810055*((x^y)&(x^z)) + 22415620110*(z&~(x^y)) + 18446744066237678246*(y^~(x|~z)) + 11207859429, 49374 + 3735936685*x
3735837937*~(~x|(y&z)) + 18446744073709502242*(~(x&y)&~(y^z)) + 49374*(z^(x|~y)) + 18446744073709502242*(~x&(~y|z)) + 18446744069973664305*(y^(x|(y^z))) + 18446744073709502242*((y&z)|(~x&(y|z))) + 3735936685*(z|(x&~y)), 49374 + 3735936685*x
12297829379982393496*(z^(x|(~y|z))) + 6148914689991221435*~(x&(y|z)) + 6148914693727108746*((x^y)|(x^z)) + 12297829387454266866*((x&z)|~(y|z)) + 6148914689991172061*(~x|(y&z)) + 3735936685*(~(x^y)|(x^z)) + 18446744069973614931*~(y&~z), 49374 + 3735936685*x
3689348821466606231*(y^(x|z)) + 14757395255978882070*((x&y)^(y|~z)) + 3735936685*(z^(x|~y)) + 11068046449456022579*((x|y)&~(x^(y^z))) + 18446744066237678246*((x^y)|(x^z)) + 3689348817730669546*((y&~z)|~(~x|(~y&z))) + 3689348813994683487*~(~x&(y&z)) + 11068046445720085894*(~(x|~y)|(x^(y^z))), 49374 + 3735936685*x
12297829383718297265*(~(x^y)&(x^z)) + 12297829383718346639*(y^~(~x|(y^z))) + 12297829379982409954*((x|y)&~(x^(y^z))) + 6148914686255317666*(z^(~x|(~y&z))) + 7471823996*(x&(y|z)) + 12297829387454184576*(~(x|~y)|~(y^z)) + 12297829379982459328*((x&z)^(x^(y&z))) + 6148914689991204977*(y|z), 49374 + 3735936685*x
9057573763935407718*~(x|(y|z)) + 13917957191741823070*((x|~y)&~(x^(y^z))) + 4528786889439552542*(z^~(x&(~y&z))) + 18446744069973614931*((x&~y)|(y^z)) + 13917957188005935759*(~(x&y)&~(y^z)) + 13917957188005886385*~(x|(~y&z)) + 9389170306038207213*((x|~y)&(x^(y^z))) + 9057573771407231714*(z^(x&~y)), 49374 + 3735936685*x
18446744051294079628*(y^(x|(y|z))) + 18446744073709502242*(y^(x|(~y|z))) + 14943697366*((x&z)^(x^(~y&z))) + 18446744062501790935*(x^(~y|z)) + 18446744069973664305*~(x^(~y&z)) + 18446744069973614931*(x^(y&z)) + 14943647992*(y^~(~x&(y&z))) + 3735887311*(y|z), 49374 + 3735936685*x
7471774622*~(~x|(~y|z)) + 3735887311*(y^~(~x&(y^z))) + 18446744062501889683*(z^~(~x&(y|z))) + 18446744073709502242*~(x^(~y&z)) + 7471774622*(~y|(x^z)) + 7471774622*((x|y)&~(y^z)) + 3735837937*(~(x|~y)|(x^(y^z))) + 18446744066237826368*(y^~(~x|(y&z))), 49374 + 3735936685*x
98748*(~(x^y)&(x^z)) + 18446744069973565557*(~y&~(x^z)) + 3735837937*((x&y)^~(x^(~y|z))) + 98748*(y^(x|(~y|z))) + 3736084807*(z^~(~x&(y&z))) + 18446744066237480750*~(x&z) + 3735936685*(~y|(x^z)) + 3735887311*(y^~(x&(~y|z))), 49374 + 3735936685*x
3735936685*(~y&~(x^z)) + 18446744069973614931*(y^(~x|(y|z))) + 18446744069973614931*~(x|(~y&z)) + 3735887311*~(x^(y^z)) + 3735887311*(x^(y^z)), 49374 + 3735936685*x
6148914689991237893*~(~x|(y|z)) + 18446744069973614931*(z^(x|(y|z))) + 7471873370*((x&y)^~(x^(~y|z))) + 12297829379982426412*(y&~(x&z)) + 12297829379982377038*~(x&(y&z)) + 6148914689991188519*~(x^(~y|z)) + 6148914693727125204*(y|~z) + 6148914693727125204*(z^~(~x|(y&z))), 49374 + 3735936685*x
3735887311*~(~x|(y&z)) + 18446744069973614931*~(x&z) + 18446744073709502242*((x&y)^(y|z)) + 49374*((x^y)|(x^z)) + 3735887311*~(x&(~y&z)), 49374 + 3735936685*x
3735986059*~(y&z) + 18446744066237628872*(z^(x|(~y&z))) + 18446744066237628872*((y&~z)^(~x|(y^z))) + 3735887311*(z^(x&y)) + 18446744073709502242*((x|~y)&~(y^z)) + 18446744069973614931*~(x^(y|z)) + 18446744069973516183*(x|~z) + 11207908803*~(~x&(y^z)), 49374 + 3735936685*x
18446744073709502242*(x&(~y&z)) + 7557234405603611337*~(x|~y) + 18446744069973664305*~(x^(y&z)) + 7557234409339498648*~(x^y) + 3735936685*(x&(y|z)) + 7557234405603660711*(~(x|y)|~(y^z)) + 10889509671841778216*~(x&(y^z)) + 10889509664370003594*(y^~(x|(y&z))), 49374 + 3735936685*x
7471823996*(~y&~(x^z)) + 18446744066237678246*((x&z)^~(x^(y&z))) + 3735936685*(y^(x|z)) + 3735887311*(x^z) + 3735887311*(y&~(x^z)) + 3735936685*(x&z) + 18446744069973614931*((x&y)^(x^(y&z))), 49374 + 3735936685*x
11068046444972898557*((x&z)^~(x^(y&z))) + 18446744069973614931*~(x|(~y&z)) + 11068046444972898557*(z^(x|~y)) + 11068046448708835242*((y&~z)|~(x|(~y&z))) + 11068046448708835242*~(~x|(y^z)) + 3689348812500358187*(y^~(x&(~y|z))) + 7378697632472540370*(z&(x|~y)) + 14757395257473256744*(y|(x^z)), 49374 + 3735936685*x
18446744069973516183*(~x&(~y&z)) + 18446744073709502242*((x|y)&~(x^(y^z))) + 18446744073709452868*(x&(~y|z)) + 3736035433*(x|(~y&z)) + 18446744073709502242*(~(x^y)|~(x^z)) + 18446744073709502242*(y|(x&~z)) + 49374*(y^(x&(y^z))), 49374 + 3735936685*x
16148974844953327996*~z + 3735887311*(z^~(x&(~y&z))) + 16148974841217391311*~(x&(y|z)) + 16148974848689215307*(x^z) + 2297769228756272994*(z^~(~x&(y|z))) + 2297769225020286935*~(x&z) + 16148974844953278622*((x&y)^(x^(~y|z))) + 2297769232492160305*~(x&(y^z)), 49374 + 3735936685*x
